"","part_id","mean_entropy"
"1","blast_c_002",0.837
"2","blast_c_009",0.136
"3","blast_c_019",0.953
"4","blast_c_034",0.994
"5","blast_c_036",0.905
"6","blast_c_038",0.611
"7","blast_c_045",0.329
"8","blast_c_059",0.869
"9","blast_c_061",0.839
"10","blast_c_071",0.9
"11","blast_c_073",0.952
"12","blast_c_081",0.849
"13","blast_c_085",0.983
"14","blast_c_088",0.983
"15","blast_c_092",0.816
"16","blast_c_095",0.905
"17","blast_c_097",0.612
"18","blast_c_109",0.9
"19","blast_c_118",0.983
"20","blast_c_119",0.971
"21","blast_c_122",0.907
"22","blast_c_124",0.453
"23","blast_c_126",0.823
"24","blast_c_147",0.882
"25","blast_c_149",0.964
"26","blast_c_164",0.923
"27","blast_c_168",0.983
"28","blast_c_193",0.815
"29","blast_c_204",0.929
"30","blast_c_206",0.843
"31","blast_c_209",0.936
"32","blast_c_210",0.941
"33","blast_c_213",0.866
"34","blast_c_216",0.952
"35","blast_c_471",0.941
"36","blast_c_101",0.919
"37","blast_c_150",0.93
"38","blast_c_211",0.954
"39","blast_c_220",0.713
"40","blast_c_230",0.977
"41","blast_c_232",0.76
"42","blast_c_233",0.906
"43","blast_c_265",0.68
"44","blast_c_267",0.919
"45","blast_c_268",0.894
"46","blast_c_269",0.93
"47","blast_c_406",0.894
"48","blast_c_409",0.883
"49","blast_c_420",0.613
"50","blast_c_427",0.93
"51","blast_c_428",0.977
"52","blast_c_429",0.78
"53","blast_c_438",0.93
"54","blast_c_439",0.977
"55","blast_c_440",0.919
"56","blast_c_444",0.919
"57","blast_c_451",0.374
"58","blast_c_454",0.966
"59","blast_c_456",0.816
"60","blast_c_457",0.93
"61","blast_c_458",0.93
"62","blast_c_462",1
"63","blast_c_467",0.93
"64","blast_c_469",0.894
"65","blast_c_470",0.966
"66","blast_c_474",0.816
"67","blast_c_475",0.977
"68","blast_c_476",0.827
"69","blast_c_478",0.966
"70","blast_c_481",0.966
"71","blast_c_483",0.966
"72","blast_c_484",0.749
"73","blast_c_485",0.874
"74","blast_c_487",0.894
"75","blast_c_488",0.941
"76","blast_c_491",0.977
"77","blast_c_492",0.919
"78","blast_c_493",0.827
"79","blast_c_497",0.883
"80","blast_c_499",0.919
"81","blast_c_503",0.68
"82","blast_c_512",0.93
"83","blast_c_515",0.919
"84","blast_c_516",0.977
"85","blast_c_520",0.966
"86","blast_c_522",0.93
"87","blast_c_540",0.977
"88","blast_c_549",0.906
"89","blast_c_554",0.977
