"","acc_id","subj_corr"
"1","blast_c_002",0.469
"2","blast_c_009",0.5
"3","blast_c_019",0.594
"4","blast_c_028",0.531
"5","blast_c_034",0.469
"6","blast_c_036",0.531
"7","blast_c_038",0.531
"8","blast_c_045",1
"9","blast_c_059",0.531
"10","blast_c_061",0.719
"11","blast_c_071",0.469
"12","blast_c_073",0.531
"13","blast_c_085",0.438
"14","blast_c_088",0.531
"15","blast_c_092",0.781
"16","blast_c_095",0.438
"17","blast_c_096",0.562
"18","blast_c_097",0.719
"19","blast_c_109",0.562
"20","blast_c_118",0.5
"21","blast_c_122",0.5
"22","blast_c_124",0.625
"23","blast_c_147",0.906
"24","blast_c_149",0.344
"25","blast_c_164",0.438
"26","blast_c_165",0.938
"27","blast_c_168",0.344
"28","blast_c_186",0.75
"29","blast_c_193",0.5
"30","blast_c_204",0.469
"31","blast_c_206",0.906
"32","blast_c_209",0.625
"33","blast_c_210",0.375
"34","blast_c_213",0.594
"35","blast_c_216",0.438
"36","blast_c_471",0.406
"37","blast_c_101",0.375
"38","blast_c_150",0.25
"39","blast_c_211",0.5
"40","blast_c_220",0.5
"41","blast_c_224",0.531
"42","blast_c_231",0.594
"43","blast_c_232",0.844
"44","blast_c_233",0.969
"45","blast_c_265",1
"46","blast_c_267",0.875
"47","blast_c_268",0.719
"48","blast_c_406",0.5
"49","blast_c_409",0.625
"50","blast_c_410",0.625
"51","blast_c_420",0.5
"52","blast_c_423",0.75
"53","blast_c_426",0.969
"54","blast_c_427",0.656
"55","blast_c_428",0.5
"56","blast_c_429",0.562
"57","blast_c_438",1
"58","blast_c_439",0.844
"59","blast_c_440",0.406
"60","blast_c_444",0.875
"61","blast_c_449",0.5
"62","blast_c_450",0.781
"63","blast_c_451",0.969
"64","blast_c_454",0.312
"65","blast_c_456",0.875
"66","blast_c_457",0.625
"67","blast_c_461",0.719
"68","blast_c_462",0.5
"69","blast_c_467",0.75
"70","blast_c_468",0.5
"71","blast_c_469",0.5
"72","blast_c_470",0.531
"73","blast_c_475",0.562
"74","blast_c_476",1
"75","blast_c_478",0.656
"76","blast_c_479",0.938
"77","blast_c_481",0.688
"78","blast_c_483",0.875
"79","blast_c_484",1
"80","blast_c_485",0.594
"81","blast_c_487",0.562
"82","blast_c_488",0.781
"83","blast_c_491",0.406
"84","blast_c_492",0.875
"85","blast_c_493",0.625
"86","blast_c_497",0.469
"87","blast_c_498",0.469
"88","blast_c_499",0.625
"89","blast_c_503",0.688
"90","blast_c_512",0.75
"91","blast_c_515",0.438
"92","blast_c_516",0.75
"93","blast_c_520",0.531
"94","blast_c_522",0.562
"95","blast_c_540",0.812
"96","blast_c_549",0.562
"97","blast_c_554",0.5
"98","blast_c_555",0.812
