"","acc_id","subj_corr"
"1","blast_c_002",0.438
"2","blast_c_009",0.844
"3","blast_c_019",0.562
"4","blast_c_028",0.5
"5","blast_c_034",0.625
"6","blast_c_036",0.594
"7","blast_c_038",0.375
"8","blast_c_045",0.844
"9","blast_c_059",0.562
"10","blast_c_061",0.531
"11","blast_c_071",0.719
"12","blast_c_073",0.344
"13","blast_c_088",0.531
"14","blast_c_092",0.625
"15","blast_c_095",0.781
"16","blast_c_096",0.438
"17","blast_c_097",0.375
"18","blast_c_109",0.469
"19","blast_c_112",0.594
"20","blast_c_118",0.531
"21","blast_c_122",0.531
"22","blast_c_124",0.812
"23","blast_c_147",0.969
"24","blast_c_149",0.594
