"","subj","0_A","0_B","0_C","0_D","1_A","1_B","1_C","1_D"
"1","blast_c_002",6,4,5,3,2,4,3,5
"2","blast_c_009",2,0,1,2,6,8,7,6
"3","blast_c_019",4,3,3,4,4,5,5,4
"4","blast_c_028",4,4,4,4,4,4,4,4
"5","blast_c_034",3,2,3,4,5,6,5,4
"6","blast_c_036",0,5,2,6,8,3,6,2
"7","blast_c_038",5,5,5,5,3,3,3,3
"8","blast_c_045",0,1,2,2,8,7,6,6
"9","blast_c_059",4,3,4,3,4,5,4,5
"10","blast_c_061",3,4,4,4,5,4,4,4
"11","blast_c_064",5,3,4,5,3,5,4,3
"12","blast_c_071",3,2,3,1,5,6,5,7
"13","blast_c_073",5,7,4,5,3,1,4,3
"14","blast_c_088",3,4,2,6,5,4,6,2
"15","blast_c_092",2,2,3,5,6,6,5,3
"16","blast_c_095",3,0,2,2,5,8,6,6
"17","blast_c_096",3,7,5,3,5,1,3,5
"18","blast_c_097",6,5,4,5,2,3,4,3
"19","blast_c_106",3,6,2,5,5,2,6,3
"20","blast_c_109",4,5,4,4,4,3,4,4
"21","blast_c_112",4,3,2,4,4,5,6,4
"22","blast_c_118",1,4,6,4,7,4,2,4
"23","blast_c_122",4,6,4,1,4,2,4,7
"24","blast_c_124",0,0,4,2,8,8,4,6
"25","blast_c_136",1,5,6,5,7,3,2,3
"26","blast_c_147",0,1,0,0,8,7,8,8
"27","blast_c_149",3,4,4,2,5,4,4,6
