"","subj","0_A","0_B","0_C","0_D","1_A","1_B","1_C","1_D"
"1","blast_c_150",4,4,8,4,4,4,0,4
"2","blast_c_211",4,5,4,3,4,3,4,5
"3","blast_c_220",8,3,6,8,0,5,2,0
"4","blast_c_230",2,0,2,3,6,8,6,5
"5","blast_c_232",2,0,2,0,6,8,6,8
"6","blast_c_233",0,0,1,0,8,8,7,8
"7","blast_c_168",8,2,1,6,1,6,7,1
"8","blast_c_170",4,5,2,4,5,3,6,3
"9","blast_c_193",6,3,7,3,3,5,1,4
"10","blast_c_204",6,3,4,3,3,5,4,4
"11","blast_c_206",4,4,4,3,5,4,4,4
"12","blast_c_209",4,1,3,4,5,7,5,3
"13","blast_c_210",3,3,1,5,6,5,7,2
"14","blast_c_213",0,6,3,5,9,2,5,2
"15","blast_c_216",4,5,4,3,5,3,4,4
