"","subj","0_A","0_B","0_C","0_D","1_A","1_B","1_C","1_D"
"1","blast_c_002",4,6,4,5,5,2,4,2
"2","blast_c_011",3,4,6,5,6,4,2,2
"3","blast_c_019",5,2,4,4,4,6,4,3
"4","blast_c_028",5,4,0,6,4,4,8,1
"5","blast_c_034",3,5,4,7,6,3,4,0
"6","blast_c_036",6,2,5,3,3,6,3,4
"7","blast_c_038",7,3,4,5,2,5,4,2
"8","blast_c_045",6,4,4,3,3,4,4,4
"9","blast_c_059",6,3,4,5,3,5,4,2
"10","blast_c_061",7,5,1,5,2,3,7,2
"11","blast_c_064",4,5,4,2,5,3,4,5
"12","blast_c_071",4,2,3,1,5,6,5,6
"13","blast_c_073",6,5,4,5,3,3,4,2
"14","blast_c_081",5,3,7,4,4,5,1,3
"15","blast_c_085",7,2,1,6,2,6,7,1
"16","blast_c_088",3,7,3,4,6,1,5,3
"17","blast_c_092",4,4,6,4,5,4,2,3
"18","blast_c_095",3,2,4,3,6,6,4,4
"19","blast_c_096",4,3,7,2,5,5,1,5
"20","blast_c_097",2,2,6,5,7,6,2,2
"21","blast_c_106",4,4,3,5,5,4,5,2
"22","blast_c_109",3,2,5,4,6,6,3,3
"23","blast_c_121",3,3,2,4,6,5,6,3
"24","blast_c_124",3,2,6,0,6,6,2,7
"25","blast_c_136",6,7,4,3,3,1,4,4
"26","blast_c_147",4,4,5,4,5,4,3,3
"27","blast_c_149",3,3,3,5,6,5,5,2
"28","blast_c_168",5,5,4,3,4,3,4,4
"29","blast_c_186",5,4,8,3,4,4,0,4
"30","blast_c_193",2,5,5,2,7,3,3,5
"31","blast_c_204",5,3,5,3,4,5,3,4
"32","blast_c_206",4,0,6,4,5,8,2,3
"33","blast_c_207",5,1,7,3,4,7,1,4
"34","blast_c_209",5,5,3,3,4,3,5,4
"35","blast_c_210",5,3,4,3,4,5,4,4
"36","blast_c_213",5,4,5,3,4,4,3,4
"37","blast_c_216",5,4,3,1,4,4,5,6
"38","blast_c_150",4,1,2,5,4,7,6,3
"39","blast_c_220",4,4,4,4,4,4,4,4
"40","blast_c_224",4,6,4,4,4,2,4,4
"41","blast_c_231",3,5,5,3,5,3,3,5
"42","blast_c_232",4,1,3,2,4,7,5,6
"43","blast_c_233",4,2,1,1,4,6,7,7
