"","subj","0_A","0_B","0_C","0_D","1_A","1_B","1_C","1_D"
"1","blast_c_002",5,6,3,1,4,2,5,6
"2","blast_c_009",0,0,1,0,9,8,7,7
"3","blast_c_019",3,3,5,3,6,5,3,4
"4","blast_c_034",4,4,4,3,5,4,4,4
"5","blast_c_036",5,2,5,2,4,6,3,5
"6","blast_c_038",2,1,1,1,7,7,7,6
"7","blast_c_045",1,2,0,0,8,6,8,7
"8","blast_c_059",4,2,2,5,5,6,6,2
"9","blast_c_061",2,4,4,1,7,4,4,6
"10","blast_c_064",3,3,3,3,6,5,5,4
"11","blast_c_071",4,2,2,3,5,6,6,4
"12","blast_c_073",4,3,4,5,5,5,4,2
"13","blast_c_081",5,7,4,5,4,1,4,2
"14","blast_c_085",4,5,4,3,5,3,4,4
"15","blast_c_088",4,5,4,4,5,3,4,3
"16","blast_c_092",2,5,3,1,7,3,5,6
"17","blast_c_095",4,6,3,2,5,2,5,5
"18","blast_c_097",6,0,1,4,3,8,7,3
"19","blast_c_106",2,2,3,2,7,6,5,5
"20","blast_c_109",4,2,2,3,5,6,6,4
"21","blast_c_118",4,4,5,3,5,4,3,4
"22","blast_c_119",4,5,5,4,5,3,3,3
"23","blast_c_122",7,4,4,5,2,4,4,2
"24","blast_c_124",0,4,2,0,9,4,6,7
"25","blast_c_126",2,4,1,4,7,4,7,3
"26","blast_c_136",3,4,7,3,6,4,1,4
"27","blast_c_138",4,4,6,4,5,4,2,3
"28","blast_c_147",3,6,6,3,6,2,2,4
"29","blast_c_149",6,4,5,4,3,4,3,3
"30","blast_c_164",3,3,5,2,6,5,3,5
"31","blast_c_168",5,5,4,4,4,3,4,3
"32","blast_c_193",6,7,2,4,3,1,6,3
"33","blast_c_204",3,6,4,3,6,2,4,4
"34","blast_c_206",2,2,2,3,7,6,6,4
"35","blast_c_209",4,5,6,4,5,3,2,3
"36","blast_c_210",5,3,5,2,4,5,3,5
"37","blast_c_213",3,5,4,1,6,3,4,6
"38","blast_c_216",4,5,4,5,5,3,4,2
"39","blast_c_101",3,2,5,3,5,6,3,5
"40","blast_c_150",3,4,3,2,5,4,5,6
"41","blast_c_211",5,3,5,3,3,5,3,5
"42","blast_c_220",6,1,5,1,2,7,3,7
"43","blast_c_230",4,3,4,5,4,5,4,3
"44","blast_c_232",1,4,1,3,7,4,7,5
"45","blast_c_233",4,6,4,2,4,2,4,6
