"","trial","reaction_time","id","targ_index","scaled_rt"
"1",24,478.999999999995,"blast_c_002",1,-0.121144016865221
"2",33,553.999999999998,"blast_c_002",1,0.156009072116862
"3",39,815.000000000001,"blast_c_002",2,1.12050182177449
"4",54,-464.000000000002,"blast_c_002",3,-3.6058821889998
"5",69,698.000000000004,"blast_c_002",4,0.688143002962462
"6",78,561.000000000003,"blast_c_002",5,0.181876693755208
"7",96,439.000000000003,"blast_c_002",6,-0.26895899765563
"8",102,770.000000000006,"blast_c_002",7,0.954209968385262
"9",111,421.000000000003,"blast_c_002",8,-0.33547573901133
"10",126,NA,"blast_c_002",9,NA
"11",135,444.000000000013,"blast_c_002",10,-0.25048212505679
"12",144,NA,"blast_c_002",11,NA
"13",165,559.999999999998,"blast_c_002",12,0.178181319235429
"14",186,878.000000000006,"blast_c_002",13,1.35331041651945
"15",198,NA,"blast_c_002",14,NA
"16",210,NA,"blast_c_002",15,NA
"17",222,NA,"blast_c_002",16,NA
"18",234,560.000000000013,"blast_c_002",17,0.178181319235481
"19",246,NA,"blast_c_002",18,NA
"20",258,NA,"blast_c_002",19,NA
"21",270,NA,"blast_c_002",20,NA
"22",282,NA,"blast_c_002",21,NA
"23",288,NA,"blast_c_002",22,NA
"24",297,114.000000000004,"blast_c_002",23,-1.46995571657794
"25",309,752.00000000002,"blast_c_002",24,0.887693227029614
"26",315,NA,"blast_c_002",25,NA
"27",327,477.99999999999,"blast_c_002",26,-0.124839391385
"28",333,NA,"blast_c_002",27,NA
"29",348,449.999999999999,"blast_c_002",28,-0.228309877938276
"30",357,595.000000000009,"blast_c_002",29,0.307519427427103
"31",369,506.999999999987,"blast_c_002",30,-0.0176735303119449
"32",384,466.999999999995,"blast_c_002",31,-0.165488511102354
"33",390,NA,"blast_c_002",32,NA
"34",405,NA,"blast_c_002",33,NA
"35",420,NA,"blast_c_002",34,NA
"36",435,NA,"blast_c_002",35,NA
"37",447,NA,"blast_c_002",36,NA
"38",456,NA,"blast_c_002",37,NA
"39",465,NA,"blast_c_002",38,NA
"40",471,768.999999999987,"blast_c_002",39,0.950514593865431
"41",486,NA,"blast_c_002",40,NA
"42",498,427.000000000003,"blast_c_002",41,-0.313303491892764
"43",516,NA,"blast_c_002",42,NA
"44",537,496.999999999939,"blast_c_002",43,-0.054627275509731
"45",543,NA,"blast_c_002",44,NA
"46",558,NA,"blast_c_002",45,NA
"47",567,NA,"blast_c_002",46,NA
"48",582,NA,"blast_c_002",47,NA
"49",16,NA,"blast_c_011",48,NA
"50",31,NA,"blast_c_011",1,NA
"51",49,NA,"blast_c_011",2,NA
"52",58,NA,"blast_c_011",3,NA
"53",67,NA,"blast_c_011",4,NA
"54",76,NA,"blast_c_011",5,NA
"55",91,NA,"blast_c_011",6,NA
"56",100,NA,"blast_c_011",7,NA
"57",115,108.979591836743,"blast_c_011",8,-0.68956028026444
"58",133,364.399092970501,"blast_c_011",9,0.0909066607422431
"59",148,NA,"blast_c_011",10,NA
"60",157,NA,"blast_c_011",11,NA
"61",169,NA,"blast_c_011",12,NA
"62",181,NA,"blast_c_011",13,NA
"63",193,NA,"blast_c_011",14,NA
"64",208,NA,"blast_c_011",15,NA
"65",220,NA,"blast_c_011",16,NA
"66",232,588.979591836743,"blast_c_011",17,0.777141087565045
"67",244,NA,"blast_c_011",18,NA
"68",256,NA,"blast_c_011",19,NA
"69",262,699.274376417246,"blast_c_011",20,1.1141609029998
"70",280,NA,"blast_c_011",21,NA
"71",292,NA,"blast_c_011",22,NA
"72",301,NA,"blast_c_011",23,NA
"73",313,NA,"blast_c_011",24,NA
"74",325,NA,"blast_c_011",25,NA
"75",343,NA,"blast_c_011",26,NA
"76",352,NA,"blast_c_011",27,NA
"77",364,NA,"blast_c_011",28,NA
"78",373,NA,"blast_c_011",29,NA
"79",379,NA,"blast_c_011",30,NA
"80",394,NA,"blast_c_011",31,NA
"81",403,NA,"blast_c_011",32,NA
"82",415,NA,"blast_c_011",33,NA
"83",427,NA,"blast_c_011",34,NA
"84",445,NA,"blast_c_011",35,NA
"85",451,NA,"blast_c_011",36,NA
"86",463,NA,"blast_c_011",37,NA
"87",481,NA,"blast_c_011",38,NA
"88",493,NA,"blast_c_011",39,NA
"89",505,NA,"blast_c_011",40,NA
"90",511,NA,"blast_c_011",41,NA
"91",520,NA,"blast_c_011",42,NA
"92",529,NA,"blast_c_011",43,NA
"93",541,NA,"blast_c_011",44,NA
"94",556,NA,"blast_c_011",45,NA
"95",562,NA,"blast_c_011",46,NA
"96",574,-88.3900226758101,"blast_c_011",47,-1.29264837104265
"97",13,601.3287354,"blast_c_019",48,1.33536156136466
"98",19,347.9980469,"blast_c_019",1,-0.717395056182941
"99",37,470.667724609,"blast_c_019",2,0.276606081936499
"100",46,718.6688232,"blast_c_019",3,2.28617665274301
"101",61,529.33776855,"blast_c_019",4,0.752013627957898
"102",73,380.0109863,"blast_c_019",5,-0.457991927451854
"103",85,547.99926758,"blast_c_019",6,0.90322908414291
"104",94,NA,"blast_c_019",7,NA
"105",109,540.00366211,"blast_c_019",8,0.838440123369837
"106",121,NA,"blast_c_019",9,NA
"107",130,419.99328613,"blast_c_019",10,-0.13401250337665
"108",139,NA,"blast_c_019",11,NA
"109",151,438.67004395,"blast_c_019",12,0.0173265958708492
"110",160,580.012207,"blast_c_019",13,1.16263221303606
"111",175,550.66955566,"blast_c_019",14,0.924866618700744
"112",184,478.663330078,"blast_c_019",15,0.34139504270147
"113",196,438.65478516,"blast_c_019",16,0.0172029528083618
"114",205,659.9987793,"blast_c_019",17,1.81076910705384
"115",214,689.3261719,"blast_c_019",18,2.04841105873182
"116",229,452.02148437,"blast_c_019",19,0.125514268822078
"117",241,NA,"blast_c_019",20,NA
"118",250,409.32739258,"blast_c_019",21,-0.220438998707558
"119",265,401.36230469,"blast_c_019",22,-0.284980673355656
"120",277,470.667724609,"blast_c_019",23,0.276606081936499
"121",295,398.64624023,"blast_c_019",24,-0.306989137181984
"122",307,459.98657227,"blast_c_019",25,0.190055943551207
"123",322,369.329834,"blast_c_019",26,-0.544542065521127
"124",337,NA,"blast_c_019",27,NA
"125",355,435.99975586,"blast_c_019",28,-0.00431093876801477
"126",376,409.32739258,"blast_c_019",29,-0.220438998707558
"127",388,387.99560547,"blast_c_019",30,-0.393291989450403
"128",397,438.65478516,"blast_c_019",31,0.0172029528083618
"129",409,409.32739258,"blast_c_019",32,-0.220438998707558
"130",418,489.344482422,"blast_c_019",33,0.427945181127277
"131",430,179.9987793,"blast_c_019",34,-2.07870509071139
"132",439,350.6530762,"blast_c_019",35,-0.695881164606565
"133",454,NA,"blast_c_019",36,NA
"134",469,329.3212891,"blast_c_019",37,-0.86873415526838
"135",478,572.01660156,"blast_c_019",38,1.09784325250608
"136",490,310.6445312,"blast_c_019",39,-1.02007325516413
"137",502,NA,"blast_c_019",40,NA
"138",514,139.9902344,"blast_c_019",41,-2.40289718045864
"139",523,259.9853516,"blast_c_019",42,-1.43056819669361
"140",532,299.9938965,"blast_c_019",43,-1.10637610694636
"141",550,372.0153809,"blast_c_019",44,-0.522780887657713
"142",565,310.6445312,"blast_c_019",45,-1.02007325516413
"143",577,412.01293945,"blast_c_019",46,-0.198677821087237
"144",21,902.666666666661,"blast_c_028",47,0.807832671788965
"145",27,593.33333333333,"blast_c_028",48,-0.163240798962531
"146",42,699.999999999999,"blast_c_028",1,0.171612121986271
"147",51,593.33333333333,"blast_c_028",2,-0.163240798962531
"148",63,806.666666666668,"blast_c_028",3,0.506465042935073
"149",81,NA,"blast_c_028",4,NA
"150",87,NA,"blast_c_028",5,NA
"151",105,-430.666666666663,"blast_c_028",6,-3.37782884007094
"152",117,NA,"blast_c_028",7,NA
"153",123,NA,"blast_c_028",8,NA
"154",141,NA,"blast_c_028",9,NA
"155",153,NA,"blast_c_028",10,NA
"156",162,NA,"blast_c_028",11,NA
"157",171,NA,"blast_c_028",12,NA
"158",177,NA,"blast_c_028",13,NA
"159",189,NA,"blast_c_028",14,NA
"160",201,NA,"blast_c_028",15,NA
"161",216,NA,"blast_c_028",16,NA
"162",225,NA,"blast_c_028",17,NA
"163",237,657.333333333337,"blast_c_028",18,0.0376709536067679
"164",252,891.999999999988,"blast_c_028",19,0.774347379694067
"165",267,NA,"blast_c_028",20,NA
"166",273,710.666666666679,"blast_c_028",21,0.205097414081191
"167",285,NA,"blast_c_028",22,NA
"168",303,NA,"blast_c_028",23,NA
"169",318,NA,"blast_c_028",24,NA
"170",330,NA,"blast_c_028",25,NA
"171",339,NA,"blast_c_028",26,NA
"172",345,NA,"blast_c_028",27,NA
"173",360,NA,"blast_c_028",28,NA
"174",366,NA,"blast_c_028",29,NA
"175",381,401.333333333337,"blast_c_028",30,-0.765976056670339
"176",399,NA,"blast_c_028",31,NA
"177",411,956.000000000009,"blast_c_028",32,0.97525913226341
"178",423,593.333333333344,"blast_c_028",33,-0.163240798962487
"179",432,NA,"blast_c_028",34,NA
"180",441,774.666666666672,"blast_c_028",35,0.406009166650446
"181",459,NA,"blast_c_028",36,NA
"182",474,774.666666666615,"blast_c_028",37,0.406009166650267
"183",483,689.333333333291,"blast_c_028",38,0.138126829891261
"184",495,NA,"blast_c_028",39,NA
"185",507,710.66666666665,"blast_c_028",40,0.205097414081102
"186",525,NA,"blast_c_028",41,NA
"187",534,NA,"blast_c_028",42,NA
"188",546,NA,"blast_c_028",43,NA
"189",552,NA,"blast_c_028",44,NA
"190",570,NA,"blast_c_028",45,NA
"191",579,NA,"blast_c_028",46,NA
"192",12,877.000000000016,"blast_c_034",47,2.42554369317651
"193",18,-394.999999999992,"blast_c_034",48,-1.12709788402476
"194",36,NA,"blast_c_034",1,NA
"195",45,-71.9999999999885,"blast_c_034",2,-0.224972703650534
"196",60,NA,"blast_c_034",3,NA
"197",72,300.999999999988,"blast_c_034",4,0.816800337462658
"198",84,NA,"blast_c_034",5,NA
"199",93,230.999999999995,"blast_c_034",6,0.621293332428018
"200",108,NA,"blast_c_034",7,NA
"201",120,NA,"blast_c_034",8,NA
"202",129,838.000000000004,"blast_c_034",9,2.31661836180002
"203",138,NA,"blast_c_034",10,NA
"204",150,-261.000000000006,"blast_c_034",11,-0.752841617244164
"205",159,-243.000000000005,"blast_c_034",12,-0.702568387378106
"206",174,NA,"blast_c_034",13,NA
"207",183,NA,"blast_c_034",14,NA
"208",195,91.0000000000082,"blast_c_034",15,0.230279322358736
"209",204,NA,"blast_c_034",16,NA
"210",213,NA,"blast_c_034",17,NA
"211",228,NA,"blast_c_034",18,NA
"212",240,NA,"blast_c_034",19,NA
"213",249,NA,"blast_c_034",20,NA
"214",264,NA,"blast_c_034",21,NA
"215",276,133.00000000001,"blast_c_034",22,0.347583525379537
"216",294,-29.9999999999727,"blast_c_034",23,-0.107668500629694
"217",306,NA,"blast_c_034",24,NA
"218",321,NA,"blast_c_034",25,NA
"219",336,NA,"blast_c_034",26,NA
"220",354,-273.000000000063,"blast_c_034",27,-0.786357103821694
"221",375,NA,"blast_c_034",28,NA
"222",387,-25.0000000000341,"blast_c_034",29,-0.0937037145559609
"223",396,-145.00000000002,"blast_c_034",30,-0.428858580329625
"224",408,NA,"blast_c_034",31,NA
"225",417,-272.00000000003,"blast_c_034",32,-0.78356414660682
"226",429,NA,"blast_c_034",33,NA
"227",438,85.9999999999559,"blast_c_034",34,0.216314536284686
"228",453,NA,"blast_c_034",35,NA
"229",468,-475.000000000005,"blast_c_034",36,-1.35053446120726
"230",477,160.999999999945,"blast_c_034",37,0.425786327393218
"231",489,NA,"blast_c_034",38,NA
"232",501,NA,"blast_c_034",39,NA
"233",513,NA,"blast_c_034",40,NA
"234",522,-262.000000000039,"blast_c_034",41,-0.755634574459037
"235",531,-93.9999999999941,"blast_c_034",42,-0.286417762375728
"236",549,NA,"blast_c_034",43,NA
"237",564,NA,"blast_c_034",44,NA
"238",576,NA,"blast_c_034",45,NA
"239",15,390.666666666664,"blast_c_036",46,-0.322014530315235
"240",30,361.333333333327,"blast_c_036",47,-0.478996613843935
"241",48,409.333333333332,"blast_c_036",48,-0.222116840796975
"242",57,NA,"blast_c_036",1,NA
"243",66,441.333333333329,"blast_c_036",2,-0.0508636587657054
"244",75,339.999999999996,"blast_c_036",3,-0.593165401864782
"245",90,332.000000000008,"blast_c_036",4,-0.635978697372542
"246",99,428.000000000008,"blast_c_036",5,-0.122219151278678
"247",114,398.666666666667,"blast_c_036",6,-0.279201234807399
"248",132,449.333333333338,"blast_c_036",7,-0.00805036325783088
"249",147,-339.999999999999,"blast_c_036",8,-4.23229552002965
"250",156,438.666666666673,"blast_c_036",9,-0.0651347572682542
"251",168,380.000000000006,"blast_c_036",10,-0.37909892432562
"252",180,310.666666666677,"blast_c_036",11,-0.750147485393389
"253",192,601.33333333334,"blast_c_036",12,0.805402251390796
"254",207,489.333333333331,"blast_c_036",13,0.206016114281238
"255",219,609.333333333335,"blast_c_036",14,0.848215546898595
"256",231,350.666666666655,"blast_c_036",15,-0.536081007854396
"257",243,460.000000000018,"blast_c_036",16,0.0490340307526685
"258",255,NA,"blast_c_036",17,NA
"259",261,470.666666666669,"blast_c_036",18,0.106118424763016
"260",279,NA,"blast_c_036",19,NA
"261",291,NA,"blast_c_036",20,NA
"262",300,350.666666666683,"blast_c_036",21,-0.536081007854244
"263",312,489.333333333331,"blast_c_036",22,0.206016114281238
"264",324,449.333333333338,"blast_c_036",23,-0.00805036325783088
"265",342,387.999999999987,"blast_c_036",24,-0.336285628817898
"266",351,918.666666666687,"blast_c_036",25,2.50366297320115
"267",363,441.333333333357,"blast_c_036",26,-0.0508636587655533
"268",372,419.999999999998,"blast_c_036",27,-0.165032446786552
"269",378,609.333333333363,"blast_c_036",28,0.848215546898747
"270",393,NA,"blast_c_036",29,NA
"271",402,449.333333333338,"blast_c_036",30,-0.00805036325783088
"272",414,419.999999999998,"blast_c_036",31,-0.165032446786552
"273",426,419.999999999998,"blast_c_036",32,-0.165032446786552
"274",444,489.333333333331,"blast_c_036",33,0.206016114281238
"275",450,NA,"blast_c_036",34,NA
"276",462,NA,"blast_c_036",35,NA
"277",480,427.999999999979,"blast_c_036",36,-0.12221915127883
"278",492,NA,"blast_c_036",37,NA
"279",504,547.999999999984,"blast_c_036",38,0.519980281338528
"280",510,550.666666666625,"blast_c_036",39,0.534251379841
"281",519,NA,"blast_c_036",40,NA
"282",528,409.333333333318,"blast_c_036",41,-0.222116840797051
"283",540,398.666666666638,"blast_c_036",42,-0.279201234807551
"284",555,739.999999999934,"blast_c_036",43,1.547499373526
"285",561,899.999999999941,"blast_c_036",44,2.40376528368248
"286",573,441.3333333333,"blast_c_036",45,-0.0508636587658575
"287",12,635.999999999999,"blast_c_038",46,0.310298656227982
"288",18,390.666666666664,"blast_c_038",47,-0.589567446833193
"289",36,625.33333333334,"blast_c_038",48,0.271174043051439
"290",45,NA,"blast_c_038",1,NA
"291",60,923.999999999999,"blast_c_038",2,1.36666321199544
"292",72,NA,"blast_c_038",3,NA
"293",84,699.999999999999,"blast_c_038",4,0.545046335287418
"294",93,NA,"blast_c_038",5,NA
"295",108,550.666666666682,"blast_c_038",6,-0.00269824918453859
"296",120,NA,"blast_c_038",7,NA
"297",129,699.999999999999,"blast_c_038",8,0.545046335287418
"298",138,486.666666666675,"blast_c_038",9,-0.237445928244001
"299",150,NA,"blast_c_038",10,NA
"300",159,625.33333333334,"blast_c_038",11,0.271174043051439
"301",174,NA,"blast_c_038",12,NA
"302",183,657.333333333337,"blast_c_038",13,0.388547882581144
"303",195,486.666666666689,"blast_c_038",14,-0.237445928243948
"304",204,NA,"blast_c_038",15,NA
"305",213,593.333333333344,"blast_c_038",16,0.153800203521735
"306",228,NA,"blast_c_038",17,NA
"307",240,817.333333333333,"blast_c_038",18,0.975417080229721
"308",249,NA,"blast_c_038",19,NA
"309",264,NA,"blast_c_038",20,NA
"310",276,-89.3333333333146,"blast_c_038",21,-2.35017503977888
"311",294,678.666666666668,"blast_c_038",22,0.466797108934281
"312",306,497.33333333334,"blast_c_038",23,-0.198321315067432
"313",321,508.00000000002,"blast_c_038",24,-0.159196701890812
"314",336,774.6666666667,"blast_c_038",25,0.818918627523552
"315",354,433.333333333319,"blast_c_038",26,-0.433068994126946
"316",375,550.666666666682,"blast_c_038",27,-0.00269824918453859
"317",387,NA,"blast_c_038",28,NA
"318",396,-25.3333333333217,"blast_c_038",29,-2.11542736071947
"319",408,603.999999999995,"blast_c_038",30,0.192924816698251
"320",417,NA,"blast_c_038",31,NA
"321",429,NA,"blast_c_038",32,NA
"322",438,NA,"blast_c_038",33,NA
"323",453,774.666666666672,"blast_c_038",34,0.818918627523448
"324",468,NA,"blast_c_038",35,NA
"325",477,678.666666666668,"blast_c_038",36,0.466797108934281
"326",489,667.999999999931,"blast_c_038",37,0.427672495757452
"327",501,774.666666666672,"blast_c_038",38,0.818918627523448
"328",513,NA,"blast_c_038",39,NA
"329",522,465.333333333301,"blast_c_038",40,-0.315695154597293
"330",531,-302.666666666692,"blast_c_038",41,-3.13266730331049
"331",549,NA,"blast_c_038",42,NA
"332",564,806.666666666654,"blast_c_038",43,0.936292467053101
"333",576,NA,"blast_c_038",44,NA
"334",12,475.999999999995,"blast_c_045",45,-0.962619401499605
"335",18,529.33333333333,"blast_c_045",46,-0.247803014247459
"336",36,412.000000000002,"blast_c_045",47,-1.82039906620207
"337",45,508.000000000006,"blast_c_045",48,-0.533729569148184
"338",60,572.000000000013,"blast_c_045",1,0.324050095554469
"339",72,476.000000000009,"blast_c_045",2,-0.962619401499415
"340",84,508.000000000006,"blast_c_045",3,-0.533729569148184
"341",93,604.000000000009,"blast_c_045",4,0.7529399279057
"342",108,604.000000000009,"blast_c_045",5,0.7529399279057
"343",120,476.000000000009,"blast_c_045",6,-0.962619401499415
"344",129,571.999999999999,"blast_c_045",7,0.324050095554278
"345",138,540.000000000002,"blast_c_045",8,-0.104839736796953
"346",150,401.333333333337,"blast_c_045",9,-1.96336234365248
"347",159,497.33333333334,"blast_c_045",10,-0.676692846598594
"348",174,550.666666666682,"blast_c_045",11,0.0381235406536479
"349",183,572.000000000013,"blast_c_045",12,0.324050095554469
"350",195,476.000000000009,"blast_c_045",13,-0.962619401499415
"351",204,742.666666666661,"blast_c_045",14,2.61146253476103
"352",213,540.000000000002,"blast_c_045",15,-0.104839736796953
"353",228,593.333333333344,"blast_c_045",16,0.609976650455289
"354",240,508.00000000002,"blast_c_045",17,-0.533729569147993
"355",249,561.333333333333,"blast_c_045",18,0.181086818103868
"356",264,443.999999999999,"blast_c_045",19,-1.39150923385084
"357",276,529.333333333351,"blast_c_045",20,-0.247803014247173
"358",294,507.999999999992,"blast_c_045",21,-0.533729569148374
"359",306,497.33333333334,"blast_c_045",22,-0.676692846598594
"360",321,540.000000000002,"blast_c_045",23,-0.104839736796953
"361",336,593.333333333344,"blast_c_045",24,0.609976650455289
"362",354,561.333333333333,"blast_c_045",25,0.181086818103868
"363",375,507.999999999992,"blast_c_045",26,-0.533729569148374
"364",387,657.333333333337,"blast_c_045",27,1.46775631515775
"365",396,NA,"blast_c_045",28,NA
