"","trial","reaction_time","id","targ_index","scaled_rt"
"1",23,656,"blast_c_002",1,-0.114195093899277
"2",29,483,"blast_c_002",2,-0.674831277866947
"3",41,419,"blast_c_002",3,-0.882234259219149
"4",53,537,"blast_c_002",4,-0.499835012351027
"5",65,547,"blast_c_002",5,-0.467428296514746
"6",80,555,"blast_c_002",6,-0.441502923845721
"7",92,1360,"blast_c_002",7,2.16723770097494
"8",98,735,"blast_c_002",8,0.141817961207346
"9",116,502,"blast_c_002",9,-0.613258517778012
"10",122,641,"blast_c_002",10,-0.1628051676537
"11",137,451,"blast_c_002",11,-0.778532768543048
"12",152,612,"blast_c_002",12,-0.256784643578916
"13",164,1224,"blast_c_002",13,1.72650636560151
"14",173,896,"blast_c_002",14,0.663566086171478
"15",179,NA,"blast_c_002",15,NA
"16",191,432,"blast_c_002",16,-0.840105528631983
"17",206,715,"blast_c_002",17,0.0770045295347833
"18",215,616,"blast_c_002",18,-0.243821957244403
"19",230,581,"blast_c_002",19,-0.357245462671389
"20",242,509,"blast_c_002",20,-0.590573816692615
"21",254,NA,"blast_c_002",21,NA
"22",260,519,"blast_c_002",22,-0.558167100856334
"23",281,NA,"blast_c_002",23,NA
"24",293,1526,"blast_c_002",24,2.70518918385721
"25",547,456,"blast_c_009",1,-0.621667773741849
"26",565,393,"blast_c_009",2,-1.17720067793669
"27",574,466,"blast_c_009",3,-0.533487947679175
"28",580,579,"blast_c_009",4,0.462944086829036
"29",592,426,"blast_c_009",5,-0.886207251929869
"30",613,408,"blast_c_009",6,-1.04493093884268
"31",625,637,"blast_c_009",7,0.974387077992543
"32",637,584,"blast_c_009",8,0.507033999860373
"33",649,438,"blast_c_009",9,-0.780391460654661
"34",658,621,"blast_c_009",10,0.833299356292265
"35",664,521,"blast_c_009",11,-0.0484989043344705
"36",679,544,"blast_c_009",12,0.154314695609679
"37",688,440,"blast_c_009",13,-0.762755495442126
"38",706,461,"blast_c_009",14,-0.577577860710512
"39",715,468,"blast_c_009",15,-0.51585198246664
"40",727,428,"blast_c_009",16,-0.868571286717335
"41",748,476,"blast_c_009",17,-0.445308121616501
"42",754,783,"blast_c_009",18,2.26181253850758
"43",769,719,"blast_c_009",19,1.69746165170647
"44",787,419,"blast_c_009",20,-0.947933130173741
"45",796,493,"blast_c_009",21,-0.295402417309956
"46",805,523,"blast_c_009",22,-0.0308629391219357
"47",820,572,"blast_c_009",23,0.401218208585165
"48",826,781,"blast_c_009",24,2.24417657329504
"49",1085,NA,"blast_c_019",1,NA
"50",1091,-142,"blast_c_019",2,-2.94358163988965
"51",1103,NA,"blast_c_019",3,NA
"52",1115,743,"blast_c_019",4,0.0682918200714341
"53",1127,701,"blast_c_019",5,-0.0746445475199392
"54",1142,795,"blast_c_019",6,0.245260656136944
"55",1154,NA,"blast_c_019",7,NA
"56",1160,844,"blast_c_019",8,0.412019751660213
"57",1178,543,"blast_c_019",9,-0.612357549411296
"58",1184,1315,"blast_c_019",10,2.01494901679204
"59",1199,829,"blast_c_019",11,0.360971048949008
"60",1214,755,"blast_c_019",12,0.109130782240398
"61",1226,NA,"blast_c_019",13,NA
"62",1235,824,"blast_c_019",14,0.34395481471194
"63",1241,NA,"blast_c_019",15,NA
"64",1253,848,"blast_c_019",16,0.425632739049867
"65",1268,658,"blast_c_019",17,-0.220984161958726
"66",1277,NA,"blast_c_019",18,NA
"67",1292,698,"blast_c_019",19,-0.0848542880621802
"68",1304,800,"blast_c_019",20,0.262276890374012
"69",1316,633,"blast_c_019",21,-0.306065333144067
"70",1322,NA,"blast_c_019",22,NA
"71",1343,NA,"blast_c_019",23,NA
"72",1355,NA,"blast_c_019",24,NA
"73",1611,596,"blast_c_028",1,-0.474774143413569
"74",1629,881,"blast_c_028",2,0.59873248449955
"75",1638,96,"blast_c_028",3,-2.35811910466465
"76",1644,749,"blast_c_028",4,0.101529414729263
"77",1656,644,"blast_c_028",5,-0.293973027133465
"78",1677,674,"blast_c_028",6,-0.1809723294584
"79",1689,602,"blast_c_028",7,-0.452174003878556
"80",1701,599,"blast_c_028",8,-0.463474073646062
"81",1713,536,"blast_c_028",9,-0.700775538763699
"82",1722,678,"blast_c_028",10,-0.165905569768391
"83",1728,753,"blast_c_028",11,0.116596174419272
"84",1743,552,"blast_c_028",12,-0.640508500003664
"85",1752,672,"blast_c_028",13,-0.188505709303404
"86",1770,NA,"blast_c_028",14,NA
"87",1779,NA,"blast_c_028",15,NA
"88",1791,605,"blast_c_028",16,-0.440873934111049
"89",1812,683,"blast_c_028",17,-0.14707212015588
"90",1818,1057,"blast_c_028",18,1.26166991085993
"91",1833,600,"blast_c_028",19,-0.45970738372356
"92",1851,892,"blast_c_028",20,0.640166073647074
"93",1860,838,"blast_c_028",21,0.436764817831956
"94",1869,1014,"blast_c_028",22,1.09970224419234
"95",1884,629,"blast_c_028",23,-0.350473375970997
"96",1890,1535,"blast_c_028",24,3.06214769381597
"97",2143,751,"blast_c_034",1,-0.106965771519804
"98",2161,742,"blast_c_034",2,-0.14988834225705
"99",2170,789,"blast_c_034",3,0.0742628604819018
"100",2176,821,"blast_c_034",4,0.226876445325443
"101",2188,555,"blast_c_034",5,-1.0417239786865
"102",2209,622,"blast_c_034",6,-0.72218928542033
"103",2221,713,"blast_c_034",7,-0.288194403521509
"104",2233,867,"blast_c_034",8,0.446258473538034
"105",2245,775,"blast_c_034",9,0.0074944171128524
"106",2254,NA,"blast_c_034",10,NA
"107",2260,802,"blast_c_034",11,0.136262129324591
"108",2275,795,"blast_c_034",12,0.102877907640066
"109",2284,627,"blast_c_034",13,-0.698343412788527
"110",2302,654,"blast_c_034",14,-0.569575700576789
"111",2311,NA,"blast_c_034",15,NA
"112",2323,719,"blast_c_034",16,-0.259579356363345
"113",2344,707,"blast_c_034",17,-0.316809450679673
"114",2350,1134,"blast_c_034",18,1.71962807207633
"115",2365,448,"blast_c_034",19,-1.55202565300709
"116",2383,532,"blast_c_034",20,-1.15141499279279
"117",2392,887,"blast_c_034",21,0.541641964065247
"118",2401,1430,"blast_c_034",22,3.13130373187909
"119",2416,872,"blast_c_034",23,0.470104346169837
"120",2422,NA,"blast_c_034",24,NA
"121",2683,-457,"blast_c_036",1,-3.44635074002124
"122",2689,518,"blast_c_036",2,0.730531658336201
"123",2701,360,"blast_c_036",3,0.0536625107049432
"124",2713,689,"blast_c_036",4,1.46309257127889
"125",2725,306,"blast_c_036",5,-0.177672514434854
"126",2740,299,"blast_c_036",6,-0.207660388064087
"127",2752,345,"blast_c_036",7,-0.0105972185005559
"128",2758,294,"blast_c_036",8,-0.229080297799253
"129",2776,469,"blast_c_036",9,0.52061654293157
"130",2782,360,"blast_c_036",10,0.0536625107049432
"131",2797,161,"blast_c_036",11,-0.798849896754678
"132",2812,309,"blast_c_036",12,-0.164820568593754
"133",2824,302,"blast_c_036",13,-0.194808442222987
"134",2833,364,"blast_c_036",14,0.0707984384930763
"135",2839,668,"blast_c_036",15,1.37312895039119
"136",2851,378,"blast_c_036",16,0.130774185751542
"137",2866,471,"blast_c_036",17,0.529184506825637
"138",2875,437,"blast_c_036",18,0.383529120626505
"139",2890,329,"blast_c_036",19,-0.0791409296530883
"140",2902,NA,"blast_c_036",20,NA
"141",2914,NA,"blast_c_036",21,NA
"142",2920,NA,"blast_c_036",22,NA
"143",2941,NA,"blast_c_036",23,NA
"144",2953,NA,"blast_c_036",24,NA
