"","part_id","hit_trial_number"
"1","blast_c_002",15
"2","blast_c_009",24
"3","blast_c_019",23
"4","blast_c_028",12
"5","blast_c_034",16
"6","blast_c_036",23
"7","blast_c_038",22
"8","blast_c_045",24
"9","blast_c_059",16
"10","blast_c_061",23
"11","blast_c_071",23
"12","blast_c_073",22
"13","blast_c_088",17
"14","blast_c_092",23
"15","blast_c_095",24
"16","blast_c_096",23
"17","blast_c_097",23
"18","blast_c_109",23
"19","blast_c_112",23
"20","blast_c_118",24
"21","blast_c_122",2
"22","blast_c_124",24
"23","blast_c_147",24
"24","blast_c_149",18
"25","blast_c_150",24
"26","blast_c_168",21
"27","blast_c_170",15
"28","blast_c_193",21
"29","blast_c_198",21
"30","blast_c_204",19
"31","blast_c_206",23
"32","blast_c_209",8
"33","blast_c_210",24
"34","blast_c_211",21
"35","blast_c_213",23
"36","blast_c_216",23
"37","blast_c_220",24
"38","blast_c_230",22
"39","blast_c_232",24
"40","blast_c_233",24
"41","blast_c_265",24
"42","blast_c_267",23
"43","blast_c_268",22
"44","blast_c_269",20
"45","blast_c_403",23
"46","blast_c_406",16
"47","blast_c_409",24
"48","blast_c_410",24
"49","blast_c_412",24
"50","blast_c_418",24
"51","blast_c_423",17
"52","blast_c_427",23
"53","blast_c_428",22
"54","blast_c_429",14
"55","blast_c_438",24
"56","blast_c_439",23
"57","blast_c_440",20
"58","blast_c_444",23
"59","blast_c_449",22
"60","blast_c_450",24
"61","blast_c_451",24
"62","blast_c_454",24
"63","blast_c_457",24
"64","blast_c_461",24
"65","blast_c_462",22
"66","blast_c_467",23
"67","blast_c_469",22
"68","blast_c_470",22
"69","blast_c_471",23
"70","blast_c_475",23
"71","blast_c_476",24
"72","blast_c_478",23
"73","blast_c_479",23
"74","blast_c_481",24
"75","blast_c_483",23
"76","blast_c_484",23
"77","blast_c_485",20
"78","blast_c_487",21
"79","blast_c_488",24
"80","blast_c_491",23
"81","blast_c_493",24
"82","blast_c_497",22
"83","blast_c_498",22
"84","blast_c_499",23
"85","spoli_c_008",22
"86","spoli_c_030",21
"87","spoli_c_049",24
"88","spoli_c_071",8
"89","spoli_c_076",21
"90","spoli_c_078",24
"91","spoli_c_088",23
"92","spoli_c_090",19
"93","spoli_c_093",24
"94","spoli_c_097",24
"95","spoli_c_125",15
"96","spoli_c_342",23
"97","spoli_c_343",21
"98","spoli_c_346",2
"99","spoli_c_379",21
"100","spoli_c_391",22
"101","spoli_c_396",19
"102","spoli_c_410",21
"103","spoli_c_419",24
"104","spoli_c_439",24
"105","spoli_c_444",22
"106","spoli_c_447",22
"107","spoli_c_448",23
"108","spoli_c_450",24
"109","spoli_c_451",22
"110","spoli_c_452",23
"111","spoli_c_478",21
"112","spoli_c_487",23
"113","spoli_c_494",20
"114","spoli_c_500",24
"115","spoli_c_501",22
"116","spoli_c_508",21
"117","spoli_c_522",17
"118","spoli_c_537",19
"119","spoli_c_563",23
"120","spoli_c_583",22
"121","spoli_c_608",24
"122","spoli_c_617",24
"123","spoli_c_639",23
"124","spoli_c_640",21
"125","spoli_c_644",19
"126","spoli_c_647",23
"127","spoli_c_651",24
"128","spoli_c_677",9
"129","spoli_c_697",24
"130","spoli_c_705",23
"131","spoli_c_715",0
"132","spoli_c_727",23
"133","spoli_c_730",22
"134","spoli_c_740",23
"135","spoli_c_760",22
"136","spoli_c_768",23
"137","spoli_c_777",23
"138","blast_a_001",24
"139","blast_a_002",24
"140","blast_a_003",24
"141","blast_a_004",23
"142","blast_a_005",23
"143","blast_a_006",24
"144","blast_a_007",24
"145","blast_a_008",24
"146","blast_a_009",19
"147","blast_a_010",24
"148","blast_a_011",22
"149","blast_a_013",24
"150","blast_a_014",23
"151","blast_a_015",24
"152","blast_a_016",21
"153","blast_a_017",24
"154","blast_a_018",24
"155","blast_a_019",24
"156","blast_a_020",24
"157","blast_a_021",23
"158","blast_a_022",24
"159","blast_a_023",21
"160","blast_a_024",24
"161","blast_a_026",22
"162","blast_a_027",23
"163","blast_a_028",24
"164","blast_a_030",24
"165","blast_a_032",19
"166","blast_a_035",24
"167","blast_a_037",23
"168","blast_a_038",24
"169","blast_a_039",24
"170","blast_a_040",23
"171","blast_a_041",24
"172","blast_a_042",23
"173","blast_a_044",24
"174","blast_a_045",24
"175","blast_a_046",24
"176","blast_a_047",24
"177","blast_a_048",24
"178","blast_a_049",23
"179","blast_a_050",24
"180","blast_a_051",24
