"","part_id","hit_trial_number"
"1","blast_c_002",17
"2","blast_c_009",41
"3","blast_c_019",22
"4","blast_c_034",35
"5","blast_c_036",27
"6","blast_c_038",16
"7","blast_c_045",38
"8","blast_c_059",19
"9","blast_c_061",46
"10","blast_c_071",22
"11","blast_c_073",8
"12","blast_c_081",0
"13","blast_c_085",29
"14","blast_c_088",24
"15","blast_c_092",28
"16","blast_c_095",30
"17","blast_c_097",40
"18","blast_c_101",6
"19","blast_c_109",36
"20","blast_c_118",23
"21","blast_c_119",0
"22","blast_c_122",14
"23","blast_c_124",41
"24","blast_c_126",20
"25","blast_c_147",34
"26","blast_c_149",15
"27","blast_c_150",35
"28","blast_c_164",15
"29","blast_c_168",37
"30","blast_c_193",29
"31","blast_c_204",30
"32","blast_c_206",26
"33","blast_c_209",3
"34","blast_c_210",8
"35","blast_c_211",17
"36","blast_c_213",8
"37","blast_c_216",6
"38","blast_c_220",39
"39","blast_c_230",21
"40","blast_c_232",28
"41","blast_c_233",39
"42","blast_c_265",23
"43","blast_c_267",33
"44","blast_c_268",30
"45","blast_c_269",19
"46","blast_c_406",20
"47","blast_c_409",28
"48","blast_c_420",35
"49","blast_c_427",27
"50","blast_c_428",42
"51","blast_c_429",37
"52","blast_c_438",7
"53","blast_c_439",14
"54","blast_c_440",30
"55","blast_c_444",18
"56","blast_c_451",9
"57","blast_c_454",18
"58","blast_c_456",38
"59","blast_c_457",20
"60","blast_c_458",4
"61","blast_c_462",23
"62","blast_c_467",26
"63","blast_c_469",17
"64","blast_c_470",18
"65","blast_c_471",40
"66","blast_c_474",43
"67","blast_c_475",9
"68","blast_c_476",10
"69","blast_c_478",40
"70","blast_c_481",22
"71","blast_c_483",32
"72","blast_c_484",39
"73","blast_c_485",16
"74","blast_c_487",10
"75","blast_c_488",10
"76","blast_c_491",30
"77","blast_c_492",20
"78","blast_c_493",7
"79","blast_c_497",20
"80","blast_c_499",22
"81","spoli_c_008",30
"82","spoli_c_014",10
"83","spoli_c_030",5
"84","spoli_c_049",1
"85","spoli_c_071",25
"86","spoli_c_076",28
"87","spoli_c_078",37
"88","spoli_c_088",16
"89","spoli_c_093",34
"90","spoli_c_097",42
"91","spoli_c_125",5
"92","spoli_c_342",46
"93","spoli_c_346",15
"94","spoli_c_379",22
"95","spoli_c_391",12
"96","spoli_c_396",23
"97","spoli_c_404",2
"98","spoli_c_409",28
"99","spoli_c_410",24
"100","spoli_c_419",22
"101","spoli_c_439",21
"102","spoli_c_444",37
"103","spoli_c_447",6
"104","spoli_c_448",33
"105","spoli_c_450",14
"106","spoli_c_451",27
"107","spoli_c_452",16
"108","spoli_c_477",28
"109","spoli_c_487",17
"110","spoli_c_494",14
"111","spoli_c_501",15
"112","spoli_c_522",34
"113","spoli_c_537",27
"114","spoli_c_583",8
"115","spoli_c_617",41
"116","spoli_c_640",40
"117","spoli_c_644",17
"118","spoli_c_647",12
"119","spoli_c_677",0
"120","spoli_c_724",13
"121","spoli_c_730",7
"122","spoli_c_740",17
"123","spoli_c_743",21
"124","spoli_c_760",33
"125","spoli_c_768",20
"126","blast_a_001",26
"127","blast_a_002",38
"128","blast_a_003",28
"129","blast_a_004",4
"130","blast_a_005",5
"131","blast_a_006",43
"132","blast_a_007",24
"133","blast_a_008",28
"134","blast_a_009",4
"135","blast_a_010",15
"136","blast_a_011",8
"137","blast_a_012",8
"138","blast_a_013",13
"139","blast_a_014",27
"140","blast_a_015",21
"141","blast_a_016",10
"142","blast_a_017",4
"143","blast_a_018",24
"144","blast_a_019",21
"145","blast_a_020",38
"146","blast_a_021",43
"147","blast_a_022",47
"148","blast_a_023",6
"149","blast_a_024",34
"150","blast_a_026",27
"151","blast_a_027",31
"152","blast_a_028",37
"153","blast_a_030",12
"154","blast_a_032",27
"155","blast_a_035",21
"156","blast_a_037",26
"157","blast_a_038",28
"158","blast_a_039",48
"159","blast_a_040",37
"160","blast_a_042",36
"161","blast_a_043",21
"162","blast_a_044",7
"163","blast_a_045",12
"164","blast_a_046",45
"165","blast_a_047",31
"166","blast_a_048",11
"167","blast_a_049",23
"168","blast_a_050",31
"169","blast_a_051",40
"170","blast_a_052",4
