soundFile,trialnum,condition,word,location,repetition
1A.wav,409,S,2,1,34
1B.wav,410,S,2,2,34
1C.wav,411,S,2,3,34
3A.wav,412,S,1,1,36
3B.wav,413,S,1,2,36
3C.wav,414,S,1,3,36
1A.wav,415,S,2,1,35
1B.wav,416,S,2,2,35
1C.wav,417,S,2,3,35
2A.wav,418,S,4,1,35
2B.wav,419,S,4,2,35
2C.wav,420,S,4,3,35
4A.wav,421,S,3,1,35
4B.wav,422,S,3,2,35
4C.wav,423,S,3,3,35
2A.wav,424,S,4,1,36
2B.wav,425,S,4,2,36
2C.wav,426,S,4,3,36
4A.wav,427,S,3,1,36
4B.wav,428,S,3,2,36
4C.wav,429,S,3,3,36
1A.wav,430,S,2,1,36
1B.wav,431,S,2,2,36
1C.wav,432,S,2,3,36
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
