cond,sound,speaker,trial,eventcode,order
s,ba,e,10,115,1
s,ba,e,12,115,2
s,ba,e,28,115,3
s,ba,e,10,115,4
s,ba,e,19,115,5
s,ba,e,40,115,6
bd,ba,s,34,124,7
s,ba,e,24,115,8
s,ba,e,36,115,9
s,ba,e,14,115,10
s,ba,e,24,115,11
s,ba,e,7,115,12
bd,ba,s,6,124,13
s,ba,e,29,115,14
s,ba,e,43,115,15
s,ba,e,8,115,16
s,ba,e,0,115,17
s,ba,e,9,115,18
s,ba,e,9,115,19
s,ba,e,47,115,20
s,ba,e,21,115,21
bd,ba,s,32,124,22
s,ba,e,12,115,23
s,ba,e,27,115,24
s,ba,e,47,115,25
s,ba,e,49,115,26
s,ba,e,33,115,27
s,ba,e,33,115,28
bd,ba,s,30,124,29
s,ba,e,43,115,30
s,ba,e,40,115,31
s,ba,e,42,115,32
s,ba,e,18,115,33
s,ba,e,35,115,34
bd,ba,s,24,124,35
s,ba,e,0,115,36
s,ba,e,32,115,37
s,ba,e,17,115,38
s,ba,e,46,115,39
s,ba,e,19,115,40
s,ba,e,40,115,41
bd,ba,s,27,124,42
s,ba,e,38,115,43
s,ba,e,9,115,44
s,ba,e,20,115,45
s,ba,e,7,115,46
s,ba,e,30,115,47
s,ba,e,25,115,48
s,ba,e,48,115,49
sd,da,e,38,214,50
s,ba,e,42,115,51
s,ba,e,47,115,52
s,ba,e,46,115,53
s,ba,e,23,115,54
s,ba,e,14,115,55
sd,da,e,42,214,56
s,ba,e,39,115,57
s,ba,e,19,115,58
s,ba,e,2,115,59
s,ba,e,22,115,60
s,ba,e,40,115,61
sd,da,e,27,214,62
s,ba,e,18,115,63
s,ba,e,29,115,64
s,ba,e,1,115,65
s,ba,e,17,115,66
s,ba,e,5,115,67
s,ba,e,19,115,68
s,ba,e,39,115,69
s,ba,e,38,115,70
sd,da,e,32,214,71
s,ba,e,22,115,72
s,ba,e,10,115,73
s,ba,e,20,115,74
s,ba,e,31,115,75
s,ba,e,38,115,76
s,ba,e,14,115,77
s,ba,e,12,115,78
bd,ba,s,27,124,79
s,ba,e,17,115,80
s,ba,e,27,115,81
s,ba,e,10,115,82
s,ba,e,5,115,83
s,ba,e,24,115,84
s,ba,e,34,115,85
s,ba,e,14,115,86
s,ba,e,46,115,87
s,ba,e,25,115,88
s,ba,e,8,115,89
s,ba,e,12,115,90
bd,ba,s,16,124,91
s,ba,e,47,115,92
s,ba,e,24,115,93
s,ba,e,39,115,94
s,ba,e,41,115,95
s,ba,e,1,115,96
s,ba,e,45,115,97
bd,ba,s,3,124,98
s,ba,e,34,115,99
s,ba,e,49,115,100
s,ba,e,21,115,101
s,ba,e,25,115,102
bd,ba,s,16,124,103
s,ba,e,8,115,104
s,ba,e,32,115,105
s,ba,e,38,115,106
s,ba,e,7,115,107
s,ba,e,23,115,108
bd,ba,s,0,124,109
s,ba,e,26,115,110
s,ba,e,6,115,111
s,ba,e,8,115,112
s,ba,e,35,115,113
s,ba,e,39,115,114
s,ba,e,20,115,115
s,ba,e,20,115,116
s,ba,e,0,115,117
sd,da,e,4,214,118
s,ba,e,25,115,119
s,ba,e,3,115,120
s,ba,e,29,115,121
s,ba,e,5,115,122
s,ba,e,18,115,123
bd,ba,s,17,124,124
s,ba,e,36,115,125
