15.5338 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'white', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x156AA630>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.5339 	EXP 	window1: recordFrameIntervals = False
15.6994 	EXP 	window1: recordFrameIntervals = True
15.8831 	EXP 	window1: recordFrameIntervals = False
19.3764 	EXP 	Set  sound=C
19.4688 	EXP 	Set  sound=lsl_instr1.wav
19.4716 	EXP 	Sound  set volume 1.000
19.9838 	EXP 	Created instr1_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr1_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
20.0015 	EXP 	Set  sound=lsl_instr2.wav
20.0018 	EXP 	Sound  set volume 1.000
20.0664 	EXP 	Created instr2_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr2_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
20.0755 	EXP 	Set  sound=lsl_instr3.wav
20.0755 	EXP 	Sound  set volume 1.000
20.1117 	EXP 	Created instr3_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr3_text', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 0.,  0.,  0.]), text=u'This is Klaptoo!', units=u'norm', win=Window(...), wrapWidth=1)
20.1136 	ERROR 	Couldn't find image Alien9.BMP; check path? (tried: D:\work\work1\fmri for lsl\Alien9.BMP)
12.3962 	DATA 	Mouse: Left button down, pos=(808,1)
12.3969 	DATA 	Mouse:  Left button up, pos=(808,1)
12.9329 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'white', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1561B630>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.9330 	EXP 	window1: recordFrameIntervals = False
13.0984 	EXP 	window1: recordFrameIntervals = True
13.2821 	EXP 	window1: recordFrameIntervals = False
16.3528 	EXP 	Set  sound=C
14.1169 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'white', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x15570630>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.1171 	EXP 	window1: recordFrameIntervals = False
14.2829 	EXP 	window1: recordFrameIntervals = True
14.4669 	EXP 	window1: recordFrameIntervals = False
17.4041 	EXP 	Set  sound=C
17.4814 	EXP 	Set  sound=lsl_instr1.wav
17.4818 	EXP 	Sound  set volume 1.000
17.9897 	EXP 	Created instr1_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr1_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.0089 	EXP 	Set  sound=lsl_instr2.wav
18.0091 	EXP 	Sound  set volume 1.000
18.0736 	EXP 	Created instr2_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr2_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.0810 	EXP 	Set  sound=lsl_instr3.wav
18.0811 	EXP 	Sound  set volume 1.000
18.1228 	EXP 	Created instr3_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr3_text', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 0.,  0.,  0.]), text=u'This is Klaptoo!', units=u'norm', win=Window(...), wrapWidth=1)
18.1398 	EXP 	Created instr3_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'klaptoo.png', interpolate=True, mask=None, maskParams=None, name='instr3_image', opacity=1.0, ori=0.0, pos=array([ 0. ,  0.3]), size=array([ 0.28111274,  0.69010417]), texRes=128, units=u'norm', win=Window(...))
18.1918 	EXP 	Set  sound=lsl_instr4.wav
18.1921 	EXP 	Sound  set volume 1.000
18.3333 	EXP 	Created instr4_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr4_text', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.3504 	EXP 	Created instr4_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'klaptoo.png', interpolate=True, mask=None, maskParams=None, name='instr4_image', opacity=1.0, ori=0.0, pos=array([ 0. ,  0.3]), size=array([ 0.28111274,  0.69010417]), texRes=128, units=u'norm', win=Window(...))
18.4095 	EXP 	Created target_letter_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='K.png', interpolate=True, mask=None, maskParams=None, name='target_letter_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.70278184,  1.51041667]), texRes=128, units=u'norm', win=Window(...))
18.5091 	EXP 	Set  sound=lsl_instr5.wav
18.5094 	EXP 	Sound  set volume 1.000
18.7140 	EXP 	Created instr5_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr5_text', opacity=1.0, ori=0, pos=array([-0.4,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.7704 	EXP 	Created instr5_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='K.png', interpolate=True, mask=None, maskParams=None, name='instr5_image', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.70278184,  1.51041667]), texRes=128, units=u'norm', win=Window(...))
18.7798 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
18.8347 	EXP 	Created fam_trials_blank = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'blank.png', interpolate=True, mask=None, maskParams=None, name='fam_trials_blank', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.70278184,  1.51041667]), texRes=128, units=u'norm', win=Window(...))
18.8419 	EXP 	Set  sound=ssl_instr8.wav
18.8419 	EXP 	Sound  set volume 1.000
18.8823 	EXP 	Created instr6_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr6_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Great! You did it!', units=u'norm', win=Window(...), wrapWidth=1)
18.8843 	EXP 	Sound  started
18.8956 	EXP 	window1: blendMode = 'avg'
18.9205 	EXP 	instr1_text: autoDraw = True
18.9225 	EXP 	window1: blendMode = 'avg'
18.9341 	EXP 	window1: blendMode = 'avg'
18.9510 	EXP 	window1: blendMode = 'avg'
18.9672 	EXP 	window1: blendMode = 'avg'
18.9839 	EXP 	window1: blendMode = 'avg'
19.0013 	EXP 	window1: blendMode = 'avg'
19.0171 	EXP 	window1: blendMode = 'avg'
19.0350 	EXP 	window1: blendMode = 'avg'
19.0506 	EXP 	window1: blendMode = 'avg'
19.0674 	EXP 	window1: blendMode = 'avg'
19.0837 	EXP 	window1: blendMode = 'avg'
19.1005 	EXP 	window1: blendMode = 'avg'
19.1177 	EXP 	window1: blendMode = 'avg'
19.1352 	EXP 	window1: blendMode = 'avg'
19.1516 	EXP 	window1: blendMode = 'avg'
19.1688 	EXP 	window1: blendMode = 'avg'
19.1855 	EXP 	window1: blendMode = 'avg'
19.2015 	EXP 	window1: blendMode = 'avg'
19.2180 	EXP 	window1: blendMode = 'avg'
19.2350 	EXP 	window1: blendMode = 'avg'
19.2517 	EXP 	window1: blendMode = 'avg'
19.2681 	EXP 	window1: blendMode = 'avg'
19.2850 	EXP 	window1: blendMode = 'avg'
19.3015 	EXP 	window1: blendMode = 'avg'
19.3179 	EXP 	window1: blendMode = 'avg'
19.3350 	EXP 	window1: blendMode = 'avg'
19.3529 	EXP 	window1: blendMode = 'avg'
19.3680 	EXP 	window1: blendMode = 'avg'
19.3853 	EXP 	window1: blendMode = 'avg'
19.4017 	EXP 	window1: blendMode = 'avg'
19.4177 	EXP 	window1: blendMode = 'avg'
19.4360 	EXP 	window1: blendMode = 'avg'
19.4519 	EXP 	window1: blendMode = 'avg'
19.4689 	EXP 	window1: blendMode = 'avg'
19.4849 	EXP 	window1: blendMode = 'avg'
19.5019 	EXP 	window1: blendMode = 'avg'
19.5184 	EXP 	window1: blendMode = 'avg'
19.5349 	EXP 	window1: blendMode = 'avg'
19.5519 	EXP 	window1: blendMode = 'avg'
19.5680 	EXP 	window1: blendMode = 'avg'
19.5857 	EXP 	window1: blendMode = 'avg'
19.6023 	EXP 	window1: blendMode = 'avg'
19.6184 	EXP 	window1: blendMode = 'avg'
19.6357 	EXP 	window1: blendMode = 'avg'
19.6518 	EXP 	window1: blendMode = 'avg'
19.6679 	EXP 	window1: blendMode = 'avg'
19.6915 	EXP 	window1: blendMode = 'avg'
19.7182 	EXP 	window1: blendMode = 'avg'
19.7365 	EXP 	window1: blendMode = 'avg'
19.7514 	EXP 	window1: blendMode = 'avg'
19.7682 	EXP 	window1: blendMode = 'avg'
19.7851 	EXP 	window1: blendMode = 'avg'
19.7884 	DATA 	Keypress: space
19.8005 	EXP 	Sound  stopped
19.8038 	EXP 	Sound  started
19.8075 	EXP 	window1: blendMode = 'avg'
19.8330 	EXP 	instr1_text: autoDraw = False
19.8330 	EXP 	instr2_text: autoDraw = True
19.8349 	EXP 	window1: blendMode = 'avg'
19.8525 	EXP 	window1: blendMode = 'avg'
19.8694 	EXP 	window1: blendMode = 'avg'
19.8850 	EXP 	window1: blendMode = 'avg'
19.9016 	EXP 	window1: blendMode = 'avg'
19.9182 	EXP 	window1: blendMode = 'avg'
19.9349 	EXP 	window1: blendMode = 'avg'
19.9515 	EXP 	window1: blendMode = 'avg'
19.9686 	EXP 	window1: blendMode = 'avg'
19.9850 	EXP 	window1: blendMode = 'avg'
20.0017 	EXP 	window1: blendMode = 'avg'
20.0184 	EXP 	window1: blendMode = 'avg'
20.0355 	EXP 	window1: blendMode = 'avg'
20.0524 	EXP 	window1: blendMode = 'avg'
20.0681 	EXP 	window1: blendMode = 'avg'
20.0851 	EXP 	window1: blendMode = 'avg'
20.1016 	EXP 	window1: blendMode = 'avg'
20.1182 	EXP 	window1: blendMode = 'avg'
20.1361 	EXP 	window1: blendMode = 'avg'
20.1517 	EXP 	window1: blendMode = 'avg'
20.1686 	EXP 	window1: blendMode = 'avg'
20.1852 	EXP 	window1: blendMode = 'avg'
20.2025 	EXP 	window1: blendMode = 'avg'
20.2179 	EXP 	window1: blendMode = 'avg'
20.2352 	EXP 	window1: blendMode = 'avg'
20.2518 	EXP 	window1: blendMode = 'avg'
20.2674 	DATA 	Keypress: space
20.2679 	EXP 	Sound  stopped
20.2717 	EXP 	Sound  started
20.2760 	EXP 	window1: blendMode = 'avg'
20.3166 	EXP 	instr2_text: autoDraw = False
20.3166 	EXP 	instr3_text: autoDraw = True
20.3166 	EXP 	instr3_image: autoDraw = True
20.3185 	EXP 	window1: blendMode = 'avg'
20.3351 	EXP 	window1: blendMode = 'avg'
20.3527 	EXP 	window1: blendMode = 'avg'
20.3684 	EXP 	window1: blendMode = 'avg'
20.3849 	EXP 	window1: blendMode = 'avg'
20.4027 	EXP 	window1: blendMode = 'avg'
20.4183 	EXP 	window1: blendMode = 'avg'
20.4353 	EXP 	window1: blendMode = 'avg'
20.4525 	EXP 	window1: blendMode = 'avg'
20.4690 	EXP 	window1: blendMode = 'avg'
20.4868 	EXP 	window1: blendMode = 'avg'
20.5016 	EXP 	window1: blendMode = 'avg'
20.5189 	EXP 	window1: blendMode = 'avg'
20.5351 	EXP 	window1: blendMode = 'avg'
20.5513 	EXP 	window1: blendMode = 'avg'
20.5699 	EXP 	window1: blendMode = 'avg'
20.5849 	EXP 	window1: blendMode = 'avg'
20.6021 	EXP 	window1: blendMode = 'avg'
20.6180 	EXP 	window1: blendMode = 'avg'
20.6349 	EXP 	window1: blendMode = 'avg'
20.6514 	EXP 	window1: blendMode = 'avg'
20.6681 	EXP 	window1: blendMode = 'avg'
20.6863 	EXP 	window1: blendMode = 'avg'
20.7019 	EXP 	window1: blendMode = 'avg'
20.7180 	EXP 	window1: blendMode = 'avg'
20.7350 	EXP 	window1: blendMode = 'avg'
20.7521 	EXP 	window1: blendMode = 'avg'
20.7680 	EXP 	window1: blendMode = 'avg'
20.7851 	EXP 	window1: blendMode = 'avg'
20.8017 	EXP 	window1: blendMode = 'avg'
20.8179 	EXP 	window1: blendMode = 'avg'
20.8371 	EXP 	window1: blendMode = 'avg'
20.8515 	EXP 	window1: blendMode = 'avg'
20.8684 	EXP 	window1: blendMode = 'avg'
20.8843 	DATA 	Keypress: space
20.8849 	EXP 	Sound  stopped
20.8879 	EXP 	Sound  started
20.8931 	EXP 	window1: blendMode = 'avg'
20.9163 	EXP 	instr3_text: autoDraw = False
