8.1646 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F8C5670>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.1647 	EXP 	window1: recordFrameIntervals = False
8.2485 	EXP 	window1: recordFrameIntervals = True
8.3403 	EXP 	window1: recordFrameIntervals = False
8.4111 	EXP 	Created start_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='start_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u"Are you ready? Let's get started!", units=u'norm', win=Window(...), wrapWidth=1)
8.4173 	EXP 	Created vreminder_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=u'Alien3.BMP', interpolate=True, mask=None, maskParams=None, name='vreminder_image', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), size=array([ 0.20520833,  0.67407407]), texRes=128, units=u'norm', win=Window(...))
8.4254 	EXP 	Created vreminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='vreminder_text', opacity=1.0, ori=0, pos=array([ 0. ,  0.2]), rgb=array([ 0.,  0.,  0.]), text=u'Press the button when you see this!', units=u'norm', win=Window(...), wrapWidth=1)
9.2755 	EXP 	Set  sound=C
9.2802 	EXP 	Set  sound=reminder.wav
9.2802 	EXP 	Sound  set volume 1.000
9.3020 	EXP 	Created lreminder_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='F.png', interpolate=True, mask=None, maskParams=None, name='lreminder_image', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), size=array([ 0.5       ,  1.07407407]), texRes=128, units=u'norm', win=Window(...))
9.3067 	EXP 	Created lreminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='lreminder_text', opacity=1.0, ori=0, pos=array([-0. ,  0.4]), rgb=array([ 0.,  0.,  0.]), text=u'Press the button when you see this!', units=u'norm', win=Window(...), wrapWidth=1)
9.3093 	EXP 	Set  sound=reminder.wav
9.3093 	EXP 	Sound  set volume 1.000
9.3113 	EXP 	Created l_block_trial_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='l_block_trial_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
9.3329 	EXP 	Created l_block_trial_blank = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'blanka.png', interpolate=True, mask=None, maskParams=None, name='l_block_trial_blank', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5       ,  1.07407407]), texRes=128, units=u'norm', win=Window(...))
9.3346 	EXP 	Created v_block_trial_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='v_block_trial_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
9.3387 	EXP 	Created blank_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'blank.PNG', interpolate=True, mask=None, maskParams=None, name='blank_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3       ,  0.26666667]), texRes=128, units=u'norm', win=Window(...))
9.3402 	EXP 	Created blank_block_trial_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='blank_block_trial_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
9.3411 	EXP 	window1: blendMode = 'avg'
9.3686 	EXP 	start_text: autoDraw = True
9.3689 	EXP 	window1: blendMode = 'avg'
9.3710 	EXP 	window1: blendMode = 'avg'
9.3733 	EXP 	window1: blendMode = 'avg'
9.3818 	EXP 	window1: blendMode = 'avg'
9.3900 	EXP 	window1: blendMode = 'avg'
9.3984 	EXP 	window1: blendMode = 'avg'
9.4067 	EXP 	window1: blendMode = 'avg'
9.4150 	EXP 	window1: blendMode = 'avg'
9.4233 	EXP 	window1: blendMode = 'avg'
9.4317 	EXP 	window1: blendMode = 'avg'
9.4401 	EXP 	window1: blendMode = 'avg'
9.4486 	EXP 	window1: blendMode = 'avg'
9.4567 	EXP 	window1: blendMode = 'avg'
9.4650 	EXP 	window1: blendMode = 'avg'
9.4733 	EXP 	window1: blendMode = 'avg'
9.4817 	EXP 	window1: blendMode = 'avg'
9.4900 	EXP 	window1: blendMode = 'avg'
9.4984 	EXP 	window1: blendMode = 'avg'
9.5067 	EXP 	window1: blendMode = 'avg'
9.5150 	EXP 	window1: blendMode = 'avg'
9.5276 	EXP 	window1: blendMode = 'avg'
9.5316 	EXP 	window1: blendMode = 'avg'
9.5403 	EXP 	window1: blendMode = 'avg'
9.5484 	EXP 	window1: blendMode = 'avg'
9.5569 	EXP 	window1: blendMode = 'avg'
9.5652 	EXP 	window1: blendMode = 'avg'
9.5737 	EXP 	window1: blendMode = 'avg'
9.5818 	EXP 	window1: blendMode = 'avg'
9.5902 	EXP 	window1: blendMode = 'avg'
9.5984 	EXP 	window1: blendMode = 'avg'
9.6067 	EXP 	window1: blendMode = 'avg'
9.6150 	EXP 	window1: blendMode = 'avg'
9.6234 	EXP 	window1: blendMode = 'avg'
9.6317 	EXP 	window1: blendMode = 'avg'
9.6400 	EXP 	window1: blendMode = 'avg'
9.6484 	EXP 	window1: blendMode = 'avg'
9.6567 	EXP 	window1: blendMode = 'avg'
9.6650 	EXP 	window1: blendMode = 'avg'
9.6734 	EXP 	window1: blendMode = 'avg'
9.6817 	EXP 	window1: blendMode = 'avg'
9.6900 	EXP 	window1: blendMode = 'avg'
9.6982 	EXP 	window1: blendMode = 'avg'
9.7065 	EXP 	window1: blendMode = 'avg'
9.7149 	EXP 	window1: blendMode = 'avg'
9.7232 	EXP 	window1: blendMode = 'avg'
9.7315 	EXP 	window1: blendMode = 'avg'
9.7399 	EXP 	window1: blendMode = 'avg'
9.7482 	EXP 	window1: blendMode = 'avg'
9.7565 	EXP 	window1: blendMode = 'avg'
9.7649 	EXP 	window1: blendMode = 'avg'
9.7732 	EXP 	window1: blendMode = 'avg'
9.7815 	EXP 	window1: blendMode = 'avg'
9.7898 	EXP 	window1: blendMode = 'avg'
9.7982 	EXP 	window1: blendMode = 'avg'
9.8065 	EXP 	window1: blendMode = 'avg'
9.8149 	EXP 	window1: blendMode = 'avg'
9.8232 	EXP 	window1: blendMode = 'avg'
9.8316 	EXP 	window1: blendMode = 'avg'
9.8399 	EXP 	window1: blendMode = 'avg'
9.8482 	EXP 	window1: blendMode = 'avg'
9.8566 	EXP 	window1: blendMode = 'avg'
9.8649 	EXP 	window1: blendMode = 'avg'
9.8732 	EXP 	window1: blendMode = 'avg'
9.8817 	EXP 	window1: blendMode = 'avg'
9.8899 	EXP 	window1: blendMode = 'avg'
9.8982 	EXP 	window1: blendMode = 'avg'
9.9065 	EXP 	window1: blendMode = 'avg'
9.9149 	EXP 	window1: blendMode = 'avg'
9.9232 	EXP 	window1: blendMode = 'avg'
9.9316 	EXP 	window1: blendMode = 'avg'
9.9399 	EXP 	window1: blendMode = 'avg'
9.9482 	EXP 	window1: blendMode = 'avg'
9.9566 	EXP 	window1: blendMode = 'avg'
9.9649 	EXP 	window1: blendMode = 'avg'
9.9732 	EXP 	window1: blendMode = 'avg'
9.9816 	EXP 	window1: blendMode = 'avg'
9.9899 	EXP 	window1: blendMode = 'avg'
9.9982 	EXP 	window1: blendMode = 'avg'
10.0067 	EXP 	window1: blendMode = 'avg'
10.0149 	EXP 	window1: blendMode = 'avg'
10.0233 	EXP 	window1: blendMode = 'avg'
10.0316 	EXP 	window1: blendMode = 'avg'
10.0400 	EXP 	window1: blendMode = 'avg'
10.0483 	EXP 	window1: blendMode = 'avg'
10.0566 	EXP 	window1: blendMode = 'avg'
10.0649 	EXP 	window1: blendMode = 'avg'
10.0733 	EXP 	window1: blendMode = 'avg'
10.0816 	EXP 	window1: blendMode = 'avg'
10.0900 	EXP 	window1: blendMode = 'avg'
10.0983 	EXP 	window1: blendMode = 'avg'
10.1066 	EXP 	window1: blendMode = 'avg'
10.1149 	EXP 	window1: blendMode = 'avg'
10.1233 	EXP 	window1: blendMode = 'avg'
10.1316 	EXP 	window1: blendMode = 'avg'
10.1399 	EXP 	window1: blendMode = 'avg'
10.1483 	EXP 	window1: blendMode = 'avg'
10.1566 	EXP 	window1: blendMode = 'avg'
10.1649 	EXP 	window1: blendMode = 'avg'
10.1733 	EXP 	window1: blendMode = 'avg'
10.1816 	EXP 	window1: blendMode = 'avg'
10.1899 	EXP 	window1: blendMode = 'avg'
10.1983 	EXP 	window1: blendMode = 'avg'
10.2066 	EXP 	window1: blendMode = 'avg'
10.2149 	EXP 	window1: blendMode = 'avg'
10.2233 	EXP 	window1: blendMode = 'avg'
10.2316 	EXP 	window1: blendMode = 'avg'
10.2399 	EXP 	window1: blendMode = 'avg'
10.2483 	EXP 	window1: blendMode = 'avg'
10.2566 	EXP 	window1: blendMode = 'avg'
10.2649 	EXP 	window1: blendMode = 'avg'
10.2733 	EXP 	window1: blendMode = 'avg'
10.2817 	EXP 	window1: blendMode = 'avg'
10.2900 	EXP 	window1: blendMode = 'avg'
10.2983 	EXP 	window1: blendMode = 'avg'
10.3066 	EXP 	window1: blendMode = 'avg'
10.3150 	EXP 	window1: blendMode = 'avg'
10.3233 	EXP 	window1: blendMode = 'avg'
10.3316 	EXP 	window1: blendMode = 'avg'
10.3400 	EXP 	window1: blendMode = 'avg'
10.3483 	EXP 	window1: blendMode = 'avg'
10.3566 	EXP 	window1: blendMode = 'avg'
10.3650 	EXP 	window1: blendMode = 'avg'
10.3733 	EXP 	window1: blendMode = 'avg'
10.3818 	EXP 	window1: blendMode = 'avg'
10.3900 	EXP 	window1: blendMode = 'avg'
10.3983 	EXP 	window1: blendMode = 'avg'
10.4067 	EXP 	window1: blendMode = 'avg'
10.4150 	EXP 	window1: blendMode = 'avg'
10.4233 	EXP 	window1: blendMode = 'avg'
10.4317 	EXP 	window1: blendMode = 'avg'
10.4400 	EXP 	window1: blendMode = 'avg'
10.4483 	EXP 	window1: blendMode = 'avg'
10.4567 	EXP 	window1: blendMode = 'avg'
10.4651 	EXP 	window1: blendMode = 'avg'
10.4733 	EXP 	window1: blendMode = 'avg'
10.4817 	EXP 	window1: blendMode = 'avg'
10.4900 	EXP 	window1: blendMode = 'avg'
10.4984 	EXP 	window1: blendMode = 'avg'
10.5067 	EXP 	window1: blendMode = 'avg'
10.5150 	EXP 	window1: blendMode = 'avg'
10.5233 	EXP 	window1: blendMode = 'avg'
10.5317 	EXP 	window1: blendMode = 'avg'
10.5400 	EXP 	window1: blendMode = 'avg'
10.5483 	EXP 	window1: blendMode = 'avg'
10.5567 	EXP 	window1: blendMode = 'avg'
10.5650 	EXP 	window1: blendMode = 'avg'
10.5734 	EXP 	window1: blendMode = 'avg'
10.5817 	EXP 	window1: blendMode = 'avg'
10.5900 	EXP 	window1: blendMode = 'avg'
10.5984 	EXP 	window1: blendMode = 'avg'
