10.0939 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
11.2717 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F95F070>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.2717 	EXP 	window1: recordFrameIntervals = False
11.3549 	EXP 	window1: recordFrameIntervals = True
11.4466 	EXP 	window1: recordFrameIntervals = False
12.3072 	EXP 	Set  sound=C
12.3290 	EXP 	Set  sound=A
12.3290 	EXP 	Sound  set volume 1.000
12.3357 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='AlienTrumpet.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.196875  ,  0.48518519]), texRes=128, units=u'norm', win=Window(...))
12.4183 	EXP 	Created instr7_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr7_text', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.4232 	EXP 	Created instr7_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='instr7_image', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
12.4264 	EXP 	Set  sound=reminder_bi.wav
12.4264 	EXP 	Sound  set volume 1.000
12.4325 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press the button when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
12.4357 	EXP 	Set  sound=reminder_1C.wav
12.4357 	EXP 	Sound  set volume 1.000
12.4384 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
12.4601 	EXP 	Set  sound=A
12.4601 	EXP 	Sound  set volume 1.000
12.4658 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
12.4665 	EXP 	window1: blendMode = 'avg'
12.4690 	EXP 	instr7_text: autoDraw = True
12.4690 	EXP 	instr7_image: autoDraw = True
12.4692 	EXP 	window1: blendMode = 'avg'
12.4720 	EXP 	window1: blendMode = 'avg'
12.4805 	EXP 	window1: blendMode = 'avg'
12.4889 	EXP 	window1: blendMode = 'avg'
12.4971 	EXP 	window1: blendMode = 'avg'
12.5055 	EXP 	window1: blendMode = 'avg'
12.5138 	EXP 	window1: blendMode = 'avg'
12.5221 	EXP 	window1: blendMode = 'avg'
12.5305 	EXP 	window1: blendMode = 'avg'
12.5388 	EXP 	window1: blendMode = 'avg'
12.5472 	EXP 	window1: blendMode = 'avg'
12.5556 	EXP 	window1: blendMode = 'avg'
12.5639 	EXP 	window1: blendMode = 'avg'
12.5965 	EXP 	window1: blendMode = 'avg'
12.5995 	EXP 	window1: blendMode = 'avg'
12.6056 	EXP 	window1: blendMode = 'avg'
12.6139 	EXP 	window1: blendMode = 'avg'
12.6222 	EXP 	window1: blendMode = 'avg'
12.6305 	EXP 	window1: blendMode = 'avg'
12.6388 	EXP 	window1: blendMode = 'avg'
12.6472 	EXP 	window1: blendMode = 'avg'
12.6555 	EXP 	window1: blendMode = 'avg'
12.6638 	EXP 	window1: blendMode = 'avg'
12.6722 	EXP 	window1: blendMode = 'avg'
12.6806 	EXP 	window1: blendMode = 'avg'
12.6889 	EXP 	window1: blendMode = 'avg'
12.6971 	EXP 	window1: blendMode = 'avg'
12.7058 	EXP 	window1: blendMode = 'avg'
12.7141 	EXP 	window1: blendMode = 'avg'
