45.9764 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1DF060B0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
45.9765 	EXP 	window1: recordFrameIntervals = False
46.1420 	EXP 	window1: recordFrameIntervals = True
46.3253 	EXP 	window1: recordFrameIntervals = False
48.4835 	DATA 	Keypress: escape
49.2958 	EXP 	Set  sound=C
49.3706 	EXP 	Set  sound=A
49.3707 	EXP 	Sound  set volume 1.000
49.4353 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='AlienTrumpet.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.27672035,  0.68229167]), texRes=128, units=u'norm', win=Window(...))
49.7588 	EXP 	Created instr7_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr7_text', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
49.8289 	EXP 	Created instr7_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='instr7_image', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.47437775,  0.48958333]), texRes=128, units=u'norm', win=Window(...))
49.9332 	EXP 	Set  sound=reminder_bi.wav
49.9334 	EXP 	Sound  set volume 1.000
49.9444 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press the button when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
50.0166 	EXP 	Set  sound=reminder_2C.wav
50.0166 	EXP 	Sound  set volume 1.000
50.0323 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
50.0645 	EXP 	Set  sound=A
50.0647 	EXP 	Sound  set volume 1.000
50.0779 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.47437775,  0.48958333]), texRes=128, units=u'norm', win=Window(...))
50.0790 	EXP 	window1: blendMode = 'avg'
50.0843 	EXP 	instr7_text: autoDraw = True
50.0843 	EXP 	instr7_image: autoDraw = True
50.0850 	EXP 	window1: blendMode = 'avg'
50.1070 	EXP 	window1: blendMode = 'avg'
50.1246 	EXP 	window1: blendMode = 'avg'
50.1423 	EXP 	window1: blendMode = 'avg'
50.1580 	EXP 	window1: blendMode = 'avg'
50.1746 	EXP 	window1: blendMode = 'avg'
50.1914 	EXP 	window1: blendMode = 'avg'
50.2078 	EXP 	window1: blendMode = 'avg'
50.2245 	EXP 	window1: blendMode = 'avg'
50.2414 	EXP 	window1: blendMode = 'avg'
50.2579 	EXP 	window1: blendMode = 'avg'
50.2745 	EXP 	window1: blendMode = 'avg'
50.2915 	EXP 	window1: blendMode = 'avg'
50.3078 	EXP 	window1: blendMode = 'avg'
50.3245 	EXP 	window1: blendMode = 'avg'
50.3414 	EXP 	window1: blendMode = 'avg'
50.3579 	EXP 	window1: blendMode = 'avg'
50.3746 	EXP 	window1: blendMode = 'avg'
50.3921 	EXP 	window1: blendMode = 'avg'
50.4080 	EXP 	window1: blendMode = 'avg'
50.4245 	EXP 	window1: blendMode = 'avg'
50.4414 	EXP 	window1: blendMode = 'avg'
50.4580 	EXP 	window1: blendMode = 'avg'
50.4750 	EXP 	window1: blendMode = 'avg'
50.4913 	EXP 	window1: blendMode = 'avg'
50.5077 	DATA 	Keypress: escape
16.5700 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1DA3C0B0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.5701 	EXP 	window1: recordFrameIntervals = False
16.7358 	EXP 	window1: recordFrameIntervals = True
16.9196 	EXP 	window1: recordFrameIntervals = False
19.0443 	EXP 	Set  sound=C
19.1015 	EXP 	Set  sound=A
19.1015 	EXP 	Sound  set volume 1.000
19.1534 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='AlienTrumpet.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.27672035,  0.68229167]), texRes=128, units=u'norm', win=Window(...))
