8.0846 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
8.5798 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='white', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x198C0D90>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5798 	EXP 	window1: recordFrameIntervals = False
8.6628 	EXP 	window1: recordFrameIntervals = True
8.7546 	EXP 	window1: recordFrameIntervals = False
8.8325 	EXP 	Created instr7_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr7_text', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
8.8375 	EXP 	Created instr7_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='instr7_image', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.3375    ,  0.34444444]), texRes=128, units=u'norm', win=Window(...))
9.6438 	EXP 	Set  sound=C
9.6493 	EXP 	Set  sound=reminder_bi.wav
9.6493 	EXP 	Sound  set volume 1.000
9.6555 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press space when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
9.6586 	EXP 	Set  sound=reminder_1C.wav
9.6587 	EXP 	Sound  set volume 1.000
9.6615 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
9.6825 	EXP 	Set  sound=A
9.6825 	EXP 	Sound  set volume 1.000
9.6879 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3375    ,  0.34444444]), texRes=128, units=u'norm', win=Window(...))
9.7096 	EXP 	Set  sound=A
9.7096 	EXP 	Sound  set volume 1.000
9.7297 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='AlienTrumpet.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.41666667,  1.02407407]), texRes=128, units=u'norm', win=Window(...))
9.7304 	EXP 	window1: blendMode = 'avg'
9.7527 	EXP 	instr7_text: autoDraw = True
9.7527 	EXP 	instr7_image: autoDraw = True
9.7531 	EXP 	window1: blendMode = 'avg'
