16.5385 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
17.2143 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x20501030>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.2143 	EXP 	window1: recordFrameIntervals = False
17.2975 	EXP 	window1: recordFrameIntervals = True
17.3892 	EXP 	window1: recordFrameIntervals = False
18.2422 	EXP 	Set  sound=C
18.2654 	EXP 	Set  sound=A
18.2654 	EXP 	Sound  set volume 1.000
18.2721 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='AlienTrumpet.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.196875  ,  0.48518519]), texRes=128, units=u'norm', win=Window(...))
18.3598 	EXP 	Created instr7_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr7_text', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.3648 	EXP 	Created instr7_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='instr7_image', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
18.3681 	EXP 	Set  sound=reminder_du.wav
18.3681 	EXP 	Sound  set volume 1.000
18.3743 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press the button when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
18.3775 	EXP 	Set  sound=reminder_1C.wav
18.3775 	EXP 	Sound  set volume 1.000
18.3802 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
18.4026 	EXP 	Set  sound=A
18.4027 	EXP 	Sound  set volume 1.000
18.4083 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
18.4090 	EXP 	window1: blendMode = 'avg'
18.4115 	EXP 	instr7_text: autoDraw = True
18.4115 	EXP 	instr7_image: autoDraw = True
18.4117 	EXP 	window1: blendMode = 'avg'
18.4145 	EXP 	window1: blendMode = 'avg'
18.4230 	EXP 	window1: blendMode = 'avg'
18.4313 	EXP 	window1: blendMode = 'avg'
18.4397 	EXP 	window1: blendMode = 'avg'
18.4480 	EXP 	window1: blendMode = 'avg'
18.4564 	EXP 	window1: blendMode = 'avg'
18.4646 	EXP 	window1: blendMode = 'avg'
18.4730 	EXP 	window1: blendMode = 'avg'
18.4814 	EXP 	window1: blendMode = 'avg'
18.4897 	EXP 	window1: blendMode = 'avg'
18.4982 	EXP 	window1: blendMode = 'avg'
18.5063 	EXP 	window1: blendMode = 'avg'
18.5147 	EXP 	window1: blendMode = 'avg'
18.5230 	EXP 	window1: blendMode = 'avg'
18.5313 	EXP 	window1: blendMode = 'avg'
18.5397 	EXP 	window1: blendMode = 'avg'
18.5480 	EXP 	window1: blendMode = 'avg'
18.5564 	EXP 	window1: blendMode = 'avg'
18.5647 	EXP 	window1: blendMode = 'avg'
18.5730 	EXP 	window1: blendMode = 'avg'
18.5814 	EXP 	window1: blendMode = 'avg'
18.5897 	EXP 	window1: blendMode = 'avg'
18.5985 	EXP 	window1: blendMode = 'avg'
18.6063 	EXP 	window1: blendMode = 'avg'
18.6147 	EXP 	window1: blendMode = 'avg'
18.6231 	EXP 	window1: blendMode = 'avg'
18.6314 	EXP 	window1: blendMode = 'avg'
18.6428 	EXP 	window1: blendMode = 'avg'
18.6480 	EXP 	window1: blendMode = 'avg'
18.6614 	EXP 	window1: blendMode = 'avg'
18.6680 	EXP 	window1: blendMode = 'avg'
18.6728 	EXP 	window1: blendMode = 'avg'
18.6811 	EXP 	window1: blendMode = 'avg'
18.6895 	EXP 	window1: blendMode = 'avg'
18.6978 	EXP 	window1: blendMode = 'avg'
18.7365 	EXP 	window1: blendMode = 'avg'
18.7374 	EXP 	window1: blendMode = 'avg'
