13.9629 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x2084AD90>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.9630 	EXP 	window1: recordFrameIntervals = False
14.0461 	EXP 	window1: recordFrameIntervals = True
14.1379 	EXP 	window1: recordFrameIntervals = False
14.2081 	EXP 	Created start_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='start_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u"Are you ready? Let's get started!", units=u'norm', win=Window(...), wrapWidth=1)
14.2148 	EXP 	Created vreminder_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=u'Alien12.BMP', interpolate=True, mask=None, maskParams=None, name='vreminder_image', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), size=array([ 0.309375  ,  0.53333333]), texRes=128, units=u'norm', win=Window(...))
14.2218 	EXP 	Created vreminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='vreminder_text', opacity=1.0, ori=0, pos=array([ 0. ,  0.2]), rgb=array([ 0.,  0.,  0.]), text=u'Press the button when you see this!', units=u'norm', win=Window(...), wrapWidth=1)
15.0714 	EXP 	Set  sound=C
15.0744 	EXP 	Set  sound=reminder.wav
15.0744 	EXP 	Sound  set volume 1.000
15.1026 	EXP 	Created lreminder_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='G.png', interpolate=True, mask=None, maskParams=None, name='lreminder_image', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), size=array([ 0.5       ,  1.07407407]), texRes=128, units=u'norm', win=Window(...))
15.1074 	EXP 	Created lreminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='lreminder_text', opacity=1.0, ori=0, pos=array([-0. ,  0.4]), rgb=array([ 0.,  0.,  0.]), text=u'Press the button when you see this!', units=u'norm', win=Window(...), wrapWidth=1)
15.1099 	EXP 	Set  sound=reminder.wav
15.1099 	EXP 	Sound  set volume 1.000
15.1118 	EXP 	Created l_block_trial_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='l_block_trial_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
15.1327 	EXP 	Created l_block_trial_blank = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'blanka.png', interpolate=True, mask=None, maskParams=None, name='l_block_trial_blank', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5       ,  1.07407407]), texRes=128, units=u'norm', win=Window(...))
15.1345 	EXP 	Created v_block_trial_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='v_block_trial_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
15.1385 	EXP 	Created blank_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'blank.PNG', interpolate=True, mask=None, maskParams=None, name='blank_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3       ,  0.26666667]), texRes=128, units=u'norm', win=Window(...))
15.1400 	EXP 	Created blank_block_trial_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='blank_block_trial_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
15.1408 	EXP 	window1: blendMode = 'avg'
15.1706 	EXP 	start_text: autoDraw = True
15.1709 	EXP 	window1: blendMode = 'avg'
15.1738 	EXP 	window1: blendMode = 'avg'
15.1799 	EXP 	window1: blendMode = 'avg'
15.1883 	EXP 	window1: blendMode = 'avg'
15.1966 	EXP 	window1: blendMode = 'avg'
15.2049 	EXP 	window1: blendMode = 'avg'
15.2133 	EXP 	window1: blendMode = 'avg'
15.2216 	EXP 	window1: blendMode = 'avg'
15.2300 	EXP 	window1: blendMode = 'avg'
15.2383 	EXP 	window1: blendMode = 'avg'
15.2467 	EXP 	window1: blendMode = 'avg'
15.2551 	EXP 	window1: blendMode = 'avg'
15.2634 	EXP 	window1: blendMode = 'avg'
15.2717 	EXP 	window1: blendMode = 'avg'
15.2799 	EXP 	window1: blendMode = 'avg'
15.2914 	EXP 	window1: blendMode = 'avg'
15.2966 	EXP 	window1: blendMode = 'avg'
15.3049 	EXP 	window1: blendMode = 'avg'
15.3134 	EXP 	window1: blendMode = 'avg'
15.3253 	EXP 	window1: blendMode = 'avg'
15.3300 	EXP 	window1: blendMode = 'avg'
15.3383 	EXP 	window1: blendMode = 'avg'
15.3466 	EXP 	window1: blendMode = 'avg'
15.3550 	EXP 	window1: blendMode = 'avg'
15.3633 	EXP 	window1: blendMode = 'avg'
15.3748 	EXP 	window1: blendMode = 'avg'
15.3801 	EXP 	window1: blendMode = 'avg'
15.3882 	EXP 	window1: blendMode = 'avg'
15.3965 	EXP 	window1: blendMode = 'avg'
15.4048 	EXP 	window1: blendMode = 'avg'
15.4131 	EXP 	window1: blendMode = 'avg'
15.4214 	EXP 	window1: blendMode = 'avg'
15.4298 	EXP 	window1: blendMode = 'avg'
15.4382 	EXP 	window1: blendMode = 'avg'
15.4465 	EXP 	window1: blendMode = 'avg'
15.4548 	EXP 	window1: blendMode = 'avg'
15.4631 	EXP 	window1: blendMode = 'avg'
15.4715 	EXP 	window1: blendMode = 'avg'
