soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,tone_block_key_resp.keys,starget,Run,PartID,frameRate,ttarget,expName,date,
4A.wav,0,1,1,193,R,0,0,0,0,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
2B.wav,0,2,1,194,R,0,1,1,1,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
2C.wav,0,3,1,195,R,0,2,2,2,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
1C.wav,0,1,1,196,R,0,3,3,3,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
3B.wav,0,2,1,197,R,0,4,4,4,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
4C.wav,0,3,1,198,R,0,5,5,5,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
2B.wav,0,1,1,199,R,0,6,6,6,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
3A.wav,0,2,1,200,R,0,7,7,7,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
2A.wav,0,3,1,201,R,0,8,8,8,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
2C.wav,0,1,1,202,R,0,9,9,9,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
3A.wav,0,2,1,203,R,0,10,10,10,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
1B.wav,0,3,1,204,R,0,11,11,11,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
3C.wav,0,1,1,205,R,0,12,12,12,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
1C.wav,0,2,1,206,R,0,13,13,13,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
1A.wav,0,3,1,207,R,0,14,14,14,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
3B.wav,0,1,1,208,R,0,15,15,15,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
4B.wav,0,2,1,209,R,0,16,16,16,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
1B.wav,0,3,1,210,R,0,17,17,17,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
4A.wav,0,1,1,211,R,0,18,18,18,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
4C.wav,0,2,1,212,R,0,19,19,19,None,du,1,,59.9509493928,2c,auditory,2018_Jan_30_1359,
