10.8435 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
11.3927 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x205A4050>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.3928 	EXP 	window1: recordFrameIntervals = False
11.4758 	EXP 	window1: recordFrameIntervals = True
11.5675 	EXP 	window1: recordFrameIntervals = False
11.6456 	EXP 	Created instr7_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr7_text', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.6507 	EXP 	Created instr7_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='instr7_image', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
12.5339 	EXP 	Set  sound=C
12.5391 	EXP 	Set  sound=reminder_pu.wav
12.5391 	EXP 	Sound  set volume 1.000
12.5452 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press the button when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
12.5484 	EXP 	Set  sound=reminder_2C.wav
12.5484 	EXP 	Sound  set volume 1.000
12.5512 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
12.5727 	EXP 	Set  sound=A
12.5727 	EXP 	Sound  set volume 1.000
12.5781 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
12.5994 	EXP 	Set  sound=A
12.5994 	EXP 	Sound  set volume 1.000
12.6100 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='AlienTrumpet.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.196875  ,  0.48518519]), texRes=128, units=u'norm', win=Window(...))
12.6106 	EXP 	window1: blendMode = 'avg'
12.6518 	EXP 	instr7_text: autoDraw = True
12.6518 	EXP 	instr7_image: autoDraw = True
12.6521 	EXP 	window1: blendMode = 'avg'
12.6546 	EXP 	window1: blendMode = 'avg'
12.6596 	EXP 	window1: blendMode = 'avg'
12.6681 	EXP 	window1: blendMode = 'avg'
12.6762 	EXP 	window1: blendMode = 'avg'
12.6846 	EXP 	window1: blendMode = 'avg'
12.6931 	EXP 	window1: blendMode = 'avg'
12.7013 	EXP 	window1: blendMode = 'avg'
12.7097 	EXP 	window1: blendMode = 'avg'
12.7180 	EXP 	window1: blendMode = 'avg'
12.7263 	EXP 	window1: blendMode = 'avg'
12.7348 	EXP 	window1: blendMode = 'avg'
12.7430 	EXP 	window1: blendMode = 'avg'
12.7513 	EXP 	window1: blendMode = 'avg'
12.7596 	EXP 	window1: blendMode = 'avg'
12.7680 	EXP 	window1: blendMode = 'avg'
12.7763 	EXP 	window1: blendMode = 'avg'
12.7846 	EXP 	window1: blendMode = 'avg'
12.7930 	EXP 	window1: blendMode = 'avg'
12.8013 	EXP 	window1: blendMode = 'avg'
12.8096 	EXP 	window1: blendMode = 'avg'
12.8179 	EXP 	window1: blendMode = 'avg'
12.8262 	EXP 	window1: blendMode = 'avg'
12.8482 	EXP 	window1: blendMode = 'avg'
12.8490 	EXP 	window1: blendMode = 'avg'
12.8510 	EXP 	window1: blendMode = 'avg'
