word,location,image,repetition,trialnum,condition,letter6,letter5,letter4,letter3,letter2,letter1,corrAns,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_trials.thisRepN,forced_test_trials.thisTrialN,forced_test_trials.thisN,forced_test_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,0,0,0,,,,,,,,,None,0.356596703758,None,,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,None,,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,None,,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,None,,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,None,,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,None,,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,None,,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,None,,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,None,,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,None,,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
