word,location,image,repetition,trialnum,condition,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,Run,vtarget,PartID,ltarget,frameRate,expName,date,
1,1,Alien4.bmp,1.0,1,S,0,0,0,0,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
1,2,Alien5.bmp,1.0,2,S,0,1,1,1,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
1,3,Alien6.bmp,1.0,3,S,0,2,2,2,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
2,1,Alien1.bmp,1.0,4,S,0,3,3,3,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
2,2,Alien2.bmp,1.0,5,S,0,4,4,4,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
2,3,Alien3.bmp,1.0,6,S,0,5,5,5,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
3,1,Alien10.bmp,1.0,7,S,0,6,6,6,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
3,2,Alien11.bmp,1.0,8,S,0,7,7,7,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
3,3,Alien12.bmp,1.0,9,S,0,8,8,8,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
1,1,Alien4.bmp,2.0,10,S,0,9,9,9,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
1,2,Alien5.bmp,2.0,11,S,0,10,10,10,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
1,3,Alien6.bmp,2.0,12,S,0,11,11,11,,,,,,,,,3,0.3670033823,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
4,1,Alien7.bmp,1.0,13,S,0,12,12,12,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
4,2,Alien8.bmp,1.0,14,S,0,13,13,13,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
4,3,Alien9.bmp,1.0,15,S,0,14,14,14,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
2,1,Alien1.bmp,2.0,16,S,0,15,15,15,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
2,2,Alien2.bmp,2.0,17,S,0,16,16,16,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
2,3,Alien3.bmp,2.0,18,S,0,17,17,17,,,,,,,,,None,,,,,3,6,f008,H,119.954926768,visual,2018_Jan_30_1540,
