13.3974 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1D9478F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.3974 	EXP 	window1: recordFrameIntervals = False
13.4805 	EXP 	window1: recordFrameIntervals = True
13.5723 	EXP 	window1: recordFrameIntervals = False
13.7314 	EXP 	Created start_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='start_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u"Are you ready? Let's get started!", units=u'norm', win=Window(...), wrapWidth=1)
13.8750 	EXP 	Created firstTarget_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=u'U.png', interpolate=True, mask=None, maskParams=None, name='firstTarget_image', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), size=array([ 0.5       ,  1.07407407]), texRes=128, units=u'norm', win=Window(...))
13.8825 	EXP 	Created firstTarget_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='firstTarget_text', opacity=1.0, ori=0, pos=array([ 0. ,  0.4]), rgb=array([ 0.,  0.,  0.]), text=u'Press the button when you see this!', units=u'norm', win=Window(...), wrapWidth=1)
14.8770 	EXP 	Set  sound=C
15.0273 	EXP 	Set  sound=reminder.wav
15.0274 	EXP 	Sound  set volume 1.000
15.0897 	EXP 	Created secondTarget_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='Alien3.png', interpolate=True, mask=None, maskParams=None, name='secondTarget_image', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), size=array([ 0.20520833,  0.67407407]), texRes=128, units=u'norm', win=Window(...))
15.1028 	EXP 	Created secondTarget_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='secondTarget_text', opacity=1.0, ori=0, pos=array([-0. ,  0.4]), rgb=array([ 0.,  0.,  0.]), text=u'Press the button when you see this!', units=u'norm', win=Window(...), wrapWidth=1)
15.1064 	EXP 	Set  sound=reminder.wav
15.1064 	EXP 	Sound  set volume 1.000
15.1090 	EXP 	Created l_block_trial_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='l_block_trial_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
15.2340 	EXP 	Created l_block_trial_blank = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'blanka.png', interpolate=True, mask=None, maskParams=None, name='l_block_trial_blank', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5       ,  1.07407407]), texRes=128, units=u'norm', win=Window(...))
15.2357 	EXP 	Created v_block_trial_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='v_block_trial_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
15.2571 	EXP 	Created blank_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'blank.PNG', interpolate=True, mask=None, maskParams=None, name='blank_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3       ,  0.26666667]), texRes=128, units=u'norm', win=Window(...))
15.2580 	EXP 	window1: blendMode = 'avg'
15.2861 	EXP 	start_text: autoDraw = True
15.2864 	EXP 	window1: blendMode = 'avg'
15.2884 	EXP 	window1: blendMode = 'avg'
15.2936 	EXP 	window1: blendMode = 'avg'
15.3010 	EXP 	window1: blendMode = 'avg'
15.3062 	EXP 	window1: blendMode = 'avg'
15.3145 	EXP 	window1: blendMode = 'avg'
15.3229 	EXP 	window1: blendMode = 'avg'
15.3312 	EXP 	window1: blendMode = 'avg'
15.3427 	EXP 	window1: blendMode = 'avg'
15.3479 	EXP 	window1: blendMode = 'avg'
15.3564 	EXP 	window1: blendMode = 'avg'
15.3646 	EXP 	window1: blendMode = 'avg'
15.3729 	EXP 	window1: blendMode = 'avg'
15.3813 	EXP 	window1: blendMode = 'avg'
15.3895 	EXP 	window1: blendMode = 'avg'
15.3979 	EXP 	window1: blendMode = 'avg'
15.4063 	EXP 	window1: blendMode = 'avg'
15.4145 	EXP 	window1: blendMode = 'avg'
15.4229 	EXP 	window1: blendMode = 'avg'
15.4312 	EXP 	window1: blendMode = 'avg'
15.4395 	EXP 	window1: blendMode = 'avg'
15.4479 	EXP 	window1: blendMode = 'avg'
15.4562 	EXP 	window1: blendMode = 'avg'
15.4646 	EXP 	window1: blendMode = 'avg'
15.4731 	EXP 	window1: blendMode = 'avg'
15.4813 	EXP 	window1: blendMode = 'avg'
15.4896 	EXP 	window1: blendMode = 'avg'
15.4979 	EXP 	window1: blendMode = 'avg'
15.5110 	EXP 	window1: blendMode = 'avg'
15.5144 	EXP 	window1: blendMode = 'avg'
15.5227 	EXP 	window1: blendMode = 'avg'
15.5311 	EXP 	window1: blendMode = 'avg'
15.5395 	EXP 	window1: blendMode = 'avg'
15.5477 	EXP 	window1: blendMode = 'avg'
15.5561 	EXP 	window1: blendMode = 'avg'
15.5644 	EXP 	window1: blendMode = 'avg'
15.5728 	EXP 	window1: blendMode = 'avg'
15.5811 	EXP 	window1: blendMode = 'avg'
15.5894 	EXP 	window1: blendMode = 'avg'
15.5979 	EXP 	window1: blendMode = 'avg'
15.6061 	EXP 	window1: blendMode = 'avg'
15.6144 	EXP 	window1: blendMode = 'avg'
15.6227 	EXP 	window1: blendMode = 'avg'
15.6311 	EXP 	window1: blendMode = 'avg'
15.6394 	EXP 	window1: blendMode = 'avg'
15.6477 	EXP 	window1: blendMode = 'avg'
15.6561 	EXP 	window1: blendMode = 'avg'
15.6644 	EXP 	window1: blendMode = 'avg'
15.6728 	EXP 	window1: blendMode = 'avg'
15.6811 	EXP 	window1: blendMode = 'avg'
15.6894 	EXP 	window1: blendMode = 'avg'
