word,location,image,repetition,trialnum,condition,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,v_block_trial_key_resp.keys,date,expName,frameRate,PartID,
4,1,Alien7.bmp,21,241,S,0,0,0,0,None,2018_Feb_09_1335,vv,59.1210159589,1,
4,2,Alien18.bmp,21,242,S,0,1,1,1,None,2018_Feb_09_1335,vv,59.1210159589,1,
4,3,Alien9.bmp,21,243,S,0,2,2,2,None,2018_Feb_09_1335,vv,59.1210159589,1,
1,1,Alien14.bmp,21,244,S,0,3,3,3,None,2018_Feb_09_1335,vv,59.1210159589,1,
1,2,Alien15.bmp,21,245,S,0,4,4,4,None,2018_Feb_09_1335,vv,59.1210159589,1,
1,3,Alien6.bmp,21,246,S,0,5,5,5,None,2018_Feb_09_1335,vv,59.1210159589,1,
3,1,Alien10.bmp,21,247,S,0,6,6,6,None,2018_Feb_09_1335,vv,59.1210159589,1,
3,2,Alien11.bmp,21,248,S,0,7,7,7,None,2018_Feb_09_1335,vv,59.1210159589,1,
3,3,Alien22.bmp,21,249,S,0,8,8,8,None,2018_Feb_09_1335,vv,59.1210159589,1,
4,1,Alien7.bmp,22,250,S,0,9,9,9,None,2018_Feb_09_1335,vv,59.1210159589,1,
4,2,Alien18.bmp,22,251,S,0,10,10,10,None,2018_Feb_09_1335,vv,59.1210159589,1,
4,3,Alien9.bmp,22,252,S,0,11,11,11,None,2018_Feb_09_1335,vv,59.1210159589,1,
1,1,Alien14.bmp,22,253,S,0,12,12,12,None,2018_Feb_09_1335,vv,59.1210159589,1,
1,2,Alien15.bmp,22,254,S,0,13,13,13,None,2018_Feb_09_1335,vv,59.1210159589,1,
1,3,Alien6.bmp,22,255,S,0,14,14,14,None,2018_Feb_09_1335,vv,59.1210159589,1,
3,1,Alien10.bmp,22,256,S,0,15,15,15,None,2018_Feb_09_1335,vv,59.1210159589,1,
3,2,Alien11.bmp,22,257,S,0,16,16,16,None,2018_Feb_09_1335,vv,59.1210159589,1,
3,3,Alien22.bmp,22,258,S,0,17,17,17,None,2018_Feb_09_1335,vv,59.1210159589,1,
2,1,Alien1.bmp,21,259,S,0,18,18,18,None,2018_Feb_09_1335,vv,59.1210159589,1,
2,2,Alien2.bmp,21,260,S,0,19,19,19,None,2018_Feb_09_1335,vv,59.1210159589,1,
2,3,Alien13.bmp,21,261,S,0,20,20,20,None,2018_Feb_09_1335,vv,59.1210159589,1,
4,1,Alien7.bmp,23,262,S,0,21,21,21,None,2018_Feb_09_1335,vv,59.1210159589,1,
4,2,Alien18.bmp,23,263,S,0,22,22,22,None,2018_Feb_09_1335,vv,59.1210159589,1,
4,3,Alien9.bmp,23,264,S,0,23,23,23,None,2018_Feb_09_1335,vv,59.1210159589,1,
2,1,Alien1.bmp,22,265,S,0,24,24,24,None,2018_Feb_09_1335,vv,59.1210159589,1,
2,2,Alien2.bmp,22,266,S,0,25,25,25,None,2018_Feb_09_1335,vv,59.1210159589,1,
2,3,Alien13.bmp,22,267,S,0,26,26,26,None,2018_Feb_09_1335,vv,59.1210159589,1,
3,1,Alien10.bmp,23,268,S,0,27,27,27,None,2018_Feb_09_1335,vv,59.1210159589,1,
3,2,Alien11.bmp,23,269,S,0,28,28,28,None,2018_Feb_09_1335,vv,59.1210159589,1,
3,3,Alien22.bmp,23,270,S,0,29,29,29,None,2018_Feb_09_1335,vv,59.1210159589,1,
1,1,Alien14.bmp,23,271,S,0,30,30,30,None,2018_Feb_09_1335,vv,59.1210159589,1,
1,2,Alien15.bmp,23,272,S,0,31,31,31,None,2018_Feb_09_1335,vv,59.1210159589,1,
1,3,Alien6.bmp,23,273,S,0,32,32,32,None,2018_Feb_09_1335,vv,59.1210159589,1,
2,1,Alien1.bmp,23,274,S,0,33,33,33,None,2018_Feb_09_1335,vv,59.1210159589,1,
2,2,Alien2.bmp,23,275,S,0,34,34,34,None,2018_Feb_09_1335,vv,59.1210159589,1,
2,3,Alien13.bmp,23,276,S,0,35,35,35,None,2018_Feb_09_1335,vv,59.1210159589,1,
