8.3437 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
9.0042 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F05B8D0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.0043 	EXP 	window1: recordFrameIntervals = False
9.0875 	EXP 	window1: recordFrameIntervals = True
9.1792 	EXP 	window1: recordFrameIntervals = False
9.2999 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.4817 	EXP 	Created image_15 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='image_15', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
10.3657 	EXP 	Set  sound=C
10.9013 	EXP 	Set  sound=reminder_bi.wav
10.9014 	EXP 	Sound  set volume 0.800
10.9144 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
10.9602 	EXP 	Set  sound=A
10.9603 	EXP 	Sound  set volume 0.800
10.9736 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
10.9961 	EXP 	Set  sound=A
10.9961 	EXP 	Sound  set volume 1.000
11.0674 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='AlienTrumpet.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.196875  ,  0.48518519]), texRes=128, units=u'norm', win=Window(...))
11.1049 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press the button when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
11.6083 	EXP 	Set  sound=reminder_1c.wav
11.6084 	EXP 	Sound  set volume 0.500
11.6127 	EXP 	window1: blendMode = 'avg'
11.6762 	EXP 	text_11: autoDraw = True
11.6762 	EXP 	image_15: autoDraw = True
11.6765 	EXP 	window1: blendMode = 'avg'
11.6788 	EXP 	window1: blendMode = 'avg'
11.6844 	EXP 	window1: blendMode = 'avg'
11.6883 	EXP 	window1: blendMode = 'avg'
11.6994 	EXP 	window1: blendMode = 'avg'
11.7049 	EXP 	window1: blendMode = 'avg'
11.7132 	EXP 	window1: blendMode = 'avg'
11.7216 	EXP 	window1: blendMode = 'avg'
11.7299 	EXP 	window1: blendMode = 'avg'
11.7383 	EXP 	window1: blendMode = 'avg'
11.7465 	EXP 	window1: blendMode = 'avg'
11.7549 	EXP 	window1: blendMode = 'avg'
11.7633 	EXP 	window1: blendMode = 'avg'
11.7716 	EXP 	window1: blendMode = 'avg'
11.7800 	EXP 	window1: blendMode = 'avg'
11.7883 	EXP 	window1: blendMode = 'avg'
11.7966 	EXP 	window1: blendMode = 'avg'
11.8050 	EXP 	window1: blendMode = 'avg'
11.8132 	EXP 	window1: blendMode = 'avg'
11.8216 	EXP 	window1: blendMode = 'avg'
11.8299 	EXP 	window1: blendMode = 'avg'
11.8383 	EXP 	window1: blendMode = 'avg'
11.8494 	EXP 	window1: blendMode = 'avg'
11.8549 	EXP 	window1: blendMode = 'avg'
11.8635 	EXP 	window1: blendMode = 'avg'
11.8716 	EXP 	window1: blendMode = 'avg'
11.8800 	EXP 	window1: blendMode = 'avg'
11.8882 	EXP 	window1: blendMode = 'avg'
11.8966 	EXP 	window1: blendMode = 'avg'
11.9049 	EXP 	window1: blendMode = 'avg'
11.9132 	EXP 	window1: blendMode = 'avg'
11.9264 	EXP 	window1: blendMode = 'avg'
11.9297 	EXP 	window1: blendMode = 'avg'
11.9382 	EXP 	window1: blendMode = 'avg'
11.9464 	EXP 	window1: blendMode = 'avg'
11.9548 	EXP 	window1: blendMode = 'avg'
11.9631 	EXP 	window1: blendMode = 'avg'
11.9715 	EXP 	window1: blendMode = 'avg'
11.9798 	EXP 	window1: blendMode = 'avg'
11.9881 	EXP 	window1: blendMode = 'avg'
11.9964 	EXP 	window1: blendMode = 'avg'
12.0048 	EXP 	window1: blendMode = 'avg'
12.0131 	EXP 	window1: blendMode = 'avg'
12.0215 	EXP 	window1: blendMode = 'avg'
12.0298 	EXP 	window1: blendMode = 'avg'
12.0381 	EXP 	window1: blendMode = 'avg'
12.0464 	EXP 	window1: blendMode = 'avg'
12.0548 	EXP 	window1: blendMode = 'avg'
12.0631 	EXP 	window1: blendMode = 'avg'
12.0715 	EXP 	window1: blendMode = 'avg'
12.0798 	EXP 	window1: blendMode = 'avg'
12.0883 	EXP 	window1: blendMode = 'avg'
12.0964 	EXP 	window1: blendMode = 'avg'
12.1048 	EXP 	window1: blendMode = 'avg'
12.1131 	EXP 	window1: blendMode = 'avg'
12.1215 	EXP 	window1: blendMode = 'avg'
12.1298 	EXP 	window1: blendMode = 'avg'
12.1381 	EXP 	window1: blendMode = 'avg'
12.1466 	EXP 	window1: blendMode = 'avg'
12.1548 	EXP 	window1: blendMode = 'avg'
12.1631 	EXP 	window1: blendMode = 'avg'
12.1715 	EXP 	window1: blendMode = 'avg'
12.1798 	EXP 	window1: blendMode = 'avg'
12.1882 	EXP 	window1: blendMode = 'avg'
12.1965 	EXP 	window1: blendMode = 'avg'
12.2048 	EXP 	window1: blendMode = 'avg'
12.2131 	EXP 	window1: blendMode = 'avg'
12.2215 	EXP 	window1: blendMode = 'avg'
12.2298 	EXP 	window1: blendMode = 'avg'
12.2382 	EXP 	window1: blendMode = 'avg'
12.2465 	EXP 	window1: blendMode = 'avg'
12.2549 	EXP 	window1: blendMode = 'avg'
12.2632 	EXP 	window1: blendMode = 'avg'
12.2716 	EXP 	window1: blendMode = 'avg'
12.2799 	EXP 	window1: blendMode = 'avg'
12.2882 	EXP 	window1: blendMode = 'avg'
12.2965 	EXP 	window1: blendMode = 'avg'
12.3049 	EXP 	window1: blendMode = 'avg'
12.3132 	EXP 	window1: blendMode = 'avg'
12.3215 	EXP 	window1: blendMode = 'avg'
12.3299 	EXP 	window1: blendMode = 'avg'
12.3382 	EXP 	window1: blendMode = 'avg'
12.3465 	EXP 	window1: blendMode = 'avg'
12.3549 	EXP 	window1: blendMode = 'avg'
12.3632 	EXP 	window1: blendMode = 'avg'
12.3716 	EXP 	window1: blendMode = 'avg'
12.3799 	EXP 	window1: blendMode = 'avg'
12.3882 	EXP 	window1: blendMode = 'avg'
12.3965 	EXP 	window1: blendMode = 'avg'
12.4049 	EXP 	window1: blendMode = 'avg'
12.4132 	EXP 	window1: blendMode = 'avg'
12.4215 	EXP 	window1: blendMode = 'avg'
12.4299 	EXP 	window1: blendMode = 'avg'
12.4382 	EXP 	window1: blendMode = 'avg'
12.4466 	EXP 	window1: blendMode = 'avg'
12.4549 	EXP 	window1: blendMode = 'avg'
12.4632 	EXP 	window1: blendMode = 'avg'
12.4716 	EXP 	window1: blendMode = 'avg'
12.4799 	EXP 	window1: blendMode = 'avg'
12.4883 	EXP 	window1: blendMode = 'avg'
12.4966 	EXP 	window1: blendMode = 'avg'
12.5049 	EXP 	window1: blendMode = 'avg'
12.5132 	EXP 	window1: blendMode = 'avg'
12.5216 	EXP 	window1: blendMode = 'avg'
12.5299 	EXP 	window1: blendMode = 'avg'
12.5382 	EXP 	window1: blendMode = 'avg'
12.5465 	EXP 	window1: blendMode = 'avg'
12.5549 	EXP 	window1: blendMode = 'avg'
12.5632 	EXP 	window1: blendMode = 'avg'
12.5716 	EXP 	window1: blendMode = 'avg'
12.5799 	EXP 	window1: blendMode = 'avg'
12.5883 	EXP 	window1: blendMode = 'avg'
12.5966 	EXP 	window1: blendMode = 'avg'
12.6049 	EXP 	window1: blendMode = 'avg'
12.6133 	EXP 	window1: blendMode = 'avg'
12.6216 	EXP 	window1: blendMode = 'avg'
12.6299 	EXP 	window1: blendMode = 'avg'
12.6383 	EXP 	window1: blendMode = 'avg'
12.6467 	EXP 	window1: blendMode = 'avg'
12.6550 	EXP 	window1: blendMode = 'avg'
12.6633 	EXP 	window1: blendMode = 'avg'
12.6716 	EXP 	window1: blendMode = 'avg'
12.6799 	EXP 	window1: blendMode = 'avg'
12.6883 	EXP 	window1: blendMode = 'avg'
12.6966 	EXP 	window1: blendMode = 'avg'
12.7050 	EXP 	window1: blendMode = 'avg'
12.7133 	EXP 	window1: blendMode = 'avg'
12.7216 	EXP 	window1: blendMode = 'avg'
12.7299 	EXP 	window1: blendMode = 'avg'
12.7383 	EXP 	window1: blendMode = 'avg'
12.7466 	EXP 	window1: blendMode = 'avg'
12.7549 	EXP 	window1: blendMode = 'avg'
12.7633 	EXP 	window1: blendMode = 'avg'
12.7716 	EXP 	window1: blendMode = 'avg'
12.7800 	EXP 	window1: blendMode = 'avg'
12.7883 	EXP 	window1: blendMode = 'avg'
12.7966 	EXP 	window1: blendMode = 'avg'
12.8050 	EXP 	window1: blendMode = 'avg'
12.8133 	EXP 	window1: blendMode = 'avg'
12.8217 	EXP 	window1: blendMode = 'avg'
12.8299 	EXP 	window1: blendMode = 'avg'
12.8383 	EXP 	window1: blendMode = 'avg'
12.8466 	EXP 	window1: blendMode = 'avg'
12.8550 	EXP 	window1: blendMode = 'avg'
12.8633 	EXP 	window1: blendMode = 'avg'
12.8716 	EXP 	window1: blendMode = 'avg'
12.8800 	EXP 	window1: blendMode = 'avg'
12.8883 	EXP 	window1: blendMode = 'avg'
12.8966 	EXP 	window1: blendMode = 'avg'
12.9050 	EXP 	window1: blendMode = 'avg'
12.9133 	EXP 	window1: blendMode = 'avg'
12.9216 	EXP 	window1: blendMode = 'avg'
12.9300 	EXP 	window1: blendMode = 'avg'
12.9384 	EXP 	window1: blendMode = 'avg'
12.9466 	EXP 	window1: blendMode = 'avg'
12.9550 	EXP 	window1: blendMode = 'avg'
12.9633 	EXP 	window1: blendMode = 'avg'
12.9716 	EXP 	window1: blendMode = 'avg'
12.9799 	EXP 	window1: blendMode = 'avg'
12.9883 	EXP 	window1: blendMode = 'avg'
12.9966 	EXP 	window1: blendMode = 'avg'
13.0050 	EXP 	window1: blendMode = 'avg'
13.0133 	EXP 	window1: blendMode = 'avg'
13.0217 	EXP 	window1: blendMode = 'avg'
13.0300 	EXP 	window1: blendMode = 'avg'
13.0383 	EXP 	window1: blendMode = 'avg'
13.0466 	EXP 	window1: blendMode = 'avg'
13.0550 	EXP 	window1: blendMode = 'avg'
13.0633 	EXP 	window1: blendMode = 'avg'
13.0717 	EXP 	window1: blendMode = 'avg'
13.0800 	EXP 	window1: blendMode = 'avg'
13.0883 	EXP 	window1: blendMode = 'avg'
13.0966 	EXP 	window1: blendMode = 'avg'
13.1050 	EXP 	window1: blendMode = 'avg'
13.1133 	EXP 	window1: blendMode = 'avg'
13.1216 	EXP 	window1: blendMode = 'avg'
13.1300 	EXP 	window1: blendMode = 'avg'
13.1383 	EXP 	window1: blendMode = 'avg'
13.1468 	EXP 	window1: blendMode = 'avg'
13.1550 	EXP 	window1: blendMode = 'avg'
13.1633 	DATA 	Keypress: 5
13.1639 	EXP 	Sound  started
13.1715 	EXP 	text_11: autoDraw = False
13.1715 	EXP 	image_15: autoDraw = False
17.0139 	EXP 	Sound  stopped
17.0375 	EXP 	Imported auditory_run1_5.csv as conditions, 120 conditions, 6 params
17.0380 	EXP 	Created sequence: sequential, trialTypes=120, nReps=1, seed=None
17.0383 	EXP 	New trial (rep=0, index=0): {'soundFile': u'pi.wav', 'word': 1, 'location': 1, 'repetition': 17, 'trialnum': 193, 'condition': u'S'}
17.1199 	EXP 	Set  sound=pi.wav
17.1208 	EXP 	Sound  started
17.1225 	EXP 	fam_trials_image: autoDraw = True
17.4973 	EXP 	Sound  stopped
17.4977 	EXP 	New trial (rep=0, index=1): {'soundFile': u'tu.wav', 'word': 1, 'location': 2, 'repetition': 17, 'trialnum': 194, 'condition': u'S'}
18.1013 	EXP 	Set  sound=tu.wav
18.1019 	EXP 	Sound  stopped
18.1041 	EXP 	New trial (rep=0, index=2): {'soundFile': u'bi.wav', 'word': 1, 'location': 3, 'repetition': 17, 'trialnum': 195, 'condition': u'S'}
18.2047 	EXP 	Set  sound=bi.wav
18.2064 	EXP 	Sound  started
18.2104 	EXP 	fam_trials_image: autoDraw = False
18.2104 	EXP 	fam_trials_image: autoDraw = False
18.2104 	EXP 	fam_trials_image: autoDraw = True
18.4560 	EXP 	Sound  stopped
18.4563 	EXP 	New trial (rep=0, index=3): {'soundFile': u'bu.wav', 'word': 4, 'location': 1, 'repetition': 17, 'trialnum': 196, 'condition': u'S'}
18.5523 	EXP 	Set  sound=bu.wav
18.5533 	EXP 	Sound  started
18.5571 	EXP 	fam_trials_image: autoDraw = False
18.5571 	EXP 	fam_trials_image: autoDraw = True
18.9144 	EXP 	Sound  stopped
18.9348 	EXP 	Sound  stopped
18.9351 	EXP 	New trial (rep=0, index=4): {'soundFile': u'pa.wav', 'word': 4, 'location': 2, 'repetition': 17, 'trialnum': 197, 'condition': u'S'}
19.0245 	EXP 	Set  sound=pa.wav
19.0258 	EXP 	Sound  started
19.0288 	EXP 	fam_trials_image: autoDraw = False
19.0288 	EXP 	fam_trials_image: autoDraw = True
19.3893 	EXP 	Sound  stopped
19.4143 	EXP 	Sound  stopped
19.4147 	EXP 	New trial (rep=0, index=5): {'soundFile': u'da.wav', 'word': 4, 'location': 3, 'repetition': 17, 'trialnum': 198, 'condition': u'S'}
19.5044 	EXP 	Set  sound=da.wav
19.5055 	EXP 	Sound  started
19.5074 	EXP 	fam_trials_image: autoDraw = False
19.5074 	EXP 	fam_trials_image: autoDraw = True
19.8727 	EXP 	Sound  stopped
19.8894 	EXP 	Sound  stopped
19.8898 	EXP 	New trial (rep=0, index=6): {'soundFile': u'di.wav', 'word': 2, 'location': 1, 'repetition': 17, 'trialnum': 199, 'condition': u'S'}
19.9998 	EXP 	Set  sound=di.wav
20.0008 	EXP 	Sound  started
20.0025 	EXP 	fam_trials_image: autoDraw = False
20.0025 	EXP 	fam_trials_image: autoDraw = False
20.0025 	EXP 	fam_trials_image: autoDraw = True
20.3479 	EXP 	Sound  stopped
20.3645 	EXP 	Sound  stopped
20.3649 	EXP 	New trial (rep=0, index=7): {'soundFile': u'ba.wav', 'word': 2, 'location': 2, 'repetition': 17, 'trialnum': 200, 'condition': u'S'}
20.4571 	EXP 	Set  sound=ba.wav
20.4581 	EXP 	Sound  started
20.4598 	EXP 	fam_trials_image: autoDraw = False
20.4598 	EXP 	fam_trials_image: autoDraw = False
20.4598 	EXP 	fam_trials_image: autoDraw = True
20.8229 	EXP 	Sound  stopped
20.8396 	EXP 	Sound  stopped
20.8400 	EXP 	New trial (rep=0, index=8): {'soundFile': u'pu.wav', 'word': 2, 'location': 3, 'repetition': 17, 'trialnum': 201, 'condition': u'S'}
20.9320 	EXP 	Set  sound=pu.wav
20.9329 	EXP 	Sound  started
20.9347 	EXP 	fam_trials_image: autoDraw = False
20.9347 	EXP 	fam_trials_image: autoDraw = False
20.9347 	EXP 	fam_trials_image: autoDraw = True
21.2980 	EXP 	Sound  stopped
21.3147 	EXP 	Sound  stopped
21.3151 	EXP 	New trial (rep=0, index=9): {'soundFile': u'ta.wav', 'word': 3, 'location': 1, 'repetition': 17, 'trialnum': 202, 'condition': u'S'}
21.3944 	EXP 	Set  sound=ta.wav
21.3955 	EXP 	Sound  started
21.3973 	EXP 	fam_trials_image: autoDraw = False
21.3973 	EXP 	fam_trials_image: autoDraw = False
21.3973 	EXP 	fam_trials_image: autoDraw = True
21.7731 	EXP 	Sound  stopped
21.7898 	EXP 	Sound  stopped
21.7902 	EXP 	New trial (rep=0, index=10): {'soundFile': u'ti.wav', 'word': 3, 'location': 2, 'repetition': 17, 'trialnum': 203, 'condition': u'S'}
21.8747 	EXP 	Set  sound=ti.wav
21.8759 	EXP 	Sound  started
21.8779 	EXP 	fam_trials_image: autoDraw = False
21.8779 	EXP 	fam_trials_image: autoDraw = False
21.8779 	EXP 	fam_trials_image: autoDraw = True
22.2481 	EXP 	Sound  stopped
22.2649 	EXP 	Sound  stopped
22.2652 	EXP 	New trial (rep=0, index=11): {'soundFile': u'du.wav', 'word': 3, 'location': 3, 'repetition': 17, 'trialnum': 204, 'condition': u'S'}
22.3466 	EXP 	Set  sound=du.wav
22.3479 	EXP 	Sound  started
22.3501 	EXP 	fam_trials_image: autoDraw = False
22.3501 	EXP 	fam_trials_image: autoDraw = False
22.3501 	EXP 	fam_trials_image: autoDraw = True
22.7233 	EXP 	Sound  stopped
22.7400 	EXP 	Sound  stopped
22.7403 	EXP 	New trial (rep=0, index=12): {'soundFile': u'bu.wav', 'word': 4, 'location': 1, 'repetition': 18, 'trialnum': 205, 'condition': u'S'}
22.7417 	EXP 	Set  sound=bu.wav
22.7420 	EXP 	Sound  started
22.7482 	EXP 	fam_trials_image: autoDraw = False
22.7482 	EXP 	fam_trials_image: autoDraw = False
22.7482 	EXP 	fam_trials_image: autoDraw = True
23.1983 	EXP 	Sound  stopped
23.2151 	EXP 	Sound  stopped
23.2154 	EXP 	New trial (rep=0, index=13): {'soundFile': u'pa.wav', 'word': 4, 'location': 2, 'repetition': 18, 'trialnum': 206, 'condition': u'S'}
23.2167 	EXP 	Set  sound=pa.wav
23.2171 	EXP 	Sound  started
23.2233 	EXP 	fam_trials_image: autoDraw = False
23.2233 	EXP 	fam_trials_image: autoDraw = False
23.2233 	EXP 	fam_trials_image: autoDraw = True
23.6734 	EXP 	Sound  stopped
23.6902 	EXP 	Sound  stopped
23.6905 	EXP 	New trial (rep=0, index=14): {'soundFile': u'da.wav', 'word': 4, 'location': 3, 'repetition': 18, 'trialnum': 207, 'condition': u'S'}
23.6919 	EXP 	Set  sound=da.wav
23.6922 	EXP 	Sound  started
23.6984 	EXP 	fam_trials_image: autoDraw = False
23.6984 	EXP 	fam_trials_image: autoDraw = False
23.6984 	EXP 	fam_trials_image: autoDraw = True
24.1485 	EXP 	Sound  stopped
24.1653 	EXP 	Sound  stopped
24.1657 	EXP 	New trial (rep=0, index=15): {'soundFile': u'pi.wav', 'word': 1, 'location': 1, 'repetition': 18, 'trialnum': 208, 'condition': u'S'}
24.1670 	EXP 	Set  sound=pi.wav
24.1673 	EXP 	Sound  started
