soundFile,word,location,repetition,trialnum,condition,corrAns,soundFile3,soundFile2,soundFile1,soundFile6,soundFile5,soundFile4,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,twoAFC_1.thisRepN,twoAFC_1.thisTrialN,twoAFC_1.thisN,twoAFC_1.thisIndex,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date
3A.wav,1,1,33,379,S,,,,,,,,0,0,0,0,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3B.wav,1,2,33,380,S,,,,,,,,0,1,1,1,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3C.wav,1,3,33,381,S,,,,,,,,0,2,2,2,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3A.wav,1,1,34,385,S,,,,,,,,0,3,3,3,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3B.wav,1,2,34,386,S,,,,,,,,0,4,4,4,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3C.wav,1,3,34,387,S,,,,,,,,0,5,5,5,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2A.wav,4,1,33,391,S,,,,,,,,0,6,6,6,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2B.wav,4,2,33,392,S,,,,,,,,0,7,7,7,,,,,,,,,,,,3,0.25032199,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2C.wav,4,3,33,393,S,,,,,,,,0,8,8,8,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4A.wav,3,1,33,394,S,,,,,,,,0,9,9,9,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4B.wav,3,2,33,395,S,,,,,,,,0,10,10,10,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4C.wav,3,3,33,396,S,,,,,,,,0,11,11,11,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
