soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,random_block_key_resp.keys,random_block_key_resp.rt,structured_block_key_resp.keys,structured_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
4A.wav,0,1,1,193,R,0,0,0,0,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2B.wav,0,2,1,194,R,0,1,1,1,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2C.wav,0,3,1,195,R,0,2,2,2,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1C.wav,0,1,1,196,R,0,3,3,3,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3B.wav,0,2,1,197,R,0,4,4,4,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4C.wav,0,3,1,198,R,0,5,5,5,,,,,3,0.149136896944,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2B.wav,0,1,1,199,R,0,6,6,6,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3A.wav,0,2,1,200,R,0,7,7,7,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2A.wav,0,3,1,201,R,0,8,8,8,,,,,3,0.341940233135,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2C.wav,0,1,1,202,R,0,9,9,9,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3A.wav,0,2,1,203,R,0,10,10,10,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1B.wav,0,3,1,204,R,0,11,11,11,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3C.wav,0,1,1,205,R,0,12,12,12,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1C.wav,0,2,1,206,R,0,13,13,13,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1A.wav,0,3,1,207,R,0,14,14,14,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3B.wav,0,1,1,208,R,0,15,15,15,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4B.wav,0,2,1,209,R,0,16,16,16,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1B.wav,0,3,1,210,R,0,17,17,17,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4A.wav,0,1,1,211,R,0,18,18,18,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4C.wav,0,2,1,212,R,0,19,19,19,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2A.wav,0,3,1,213,R,0,20,20,20,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1A.wav,0,1,1,214,R,0,21,21,21,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4B.wav,0,2,1,215,R,0,22,22,22,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3C.wav,0,3,1,216,R,0,23,23,23,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pi.wav,1,1,17,193,S,,,,,0,0,0,0,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
tu.wav,1,2,17,194,S,,,,,0,1,1,1,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bi.wav,1,3,17,195,S,,,,,0,2,2,2,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bu.wav,4,1,17,196,S,,,,,0,3,3,3,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pa.wav,4,2,17,197,S,,,,,0,4,4,4,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
da.wav,4,3,17,198,S,,,,,0,5,5,5,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
di.wav,2,1,17,199,S,,,,,0,6,6,6,,,3,0.274625963124,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ba.wav,2,2,17,200,S,,,,,0,7,7,7,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pu.wav,2,3,17,201,S,,,,,0,8,8,8,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ta.wav,3,1,17,202,S,,,,,0,9,9,9,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ti.wav,3,2,17,203,S,,,,,0,10,10,10,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
du.wav,3,3,17,204,S,,,,,0,11,11,11,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bu.wav,4,1,18,205,S,,,,,0,12,12,12,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pa.wav,4,2,18,206,S,,,,,0,13,13,13,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
da.wav,4,3,18,207,S,,,,,0,14,14,14,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pi.wav,1,1,18,208,S,,,,,0,15,15,15,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
tu.wav,1,2,18,209,S,,,,,0,16,16,16,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bi.wav,1,3,18,210,S,,,,,0,17,17,17,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
di.wav,2,1,18,211,S,,,,,0,18,18,18,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ba.wav,2,2,18,212,S,,,,,0,19,19,19,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pu.wav,2,3,18,213,S,,,,,0,20,20,20,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ta.wav,3,1,18,214,S,,,,,0,21,21,21,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ti.wav,3,2,18,215,S,,,,,0,22,22,22,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
du.wav,3,3,18,216,S,,,,,0,23,23,23,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2C.wav,0,1,1,217,R,0,0,0,0,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1C.wav,0,2,1,218,R,0,1,1,1,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
