9.1560 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
10.1648 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x208250F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.1648 	EXP 	window1: recordFrameIntervals = False
10.2479 	EXP 	window1: recordFrameIntervals = True
10.3397 	EXP 	window1: recordFrameIntervals = False
10.5162 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.5220 	EXP 	Created image_15 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='image_15', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
11.6777 	EXP 	Set  sound=C
11.6834 	EXP 	Set  sound=reminder_bi.wav
11.6835 	EXP 	Sound  set volume 1.000
11.6863 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
11.7089 	EXP 	Set  sound=A
11.7089 	EXP 	Sound  set volume 1.000
11.7145 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
11.7366 	EXP 	Set  sound=A
11.7366 	EXP 	Sound  set volume 1.000
11.7569 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='AlienTrumpet.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.196875  ,  0.48518519]), texRes=128, units=u'norm', win=Window(...))
11.7692 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press the button when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
11.7731 	EXP 	Set  sound=reminder_1c.wav
11.7731 	EXP 	Sound  set volume 1.000
11.7740 	EXP 	window1: blendMode = 'avg'
11.8159 	EXP 	text_11: autoDraw = True
11.8159 	EXP 	image_15: autoDraw = True
11.8162 	EXP 	window1: blendMode = 'avg'
11.8186 	EXP 	window1: blendMode = 'avg'
11.8236 	EXP 	window1: blendMode = 'avg'
11.8320 	EXP 	window1: blendMode = 'avg'
11.8403 	EXP 	window1: blendMode = 'avg'
11.8486 	EXP 	window1: blendMode = 'avg'
11.8569 	EXP 	window1: blendMode = 'avg'
11.8653 	EXP 	window1: blendMode = 'avg'
11.8737 	EXP 	window1: blendMode = 'avg'
11.8819 	EXP 	window1: blendMode = 'avg'
11.8904 	EXP 	window1: blendMode = 'avg'
11.8986 	EXP 	window1: blendMode = 'avg'
11.9069 	EXP 	window1: blendMode = 'avg'
11.9153 	EXP 	window1: blendMode = 'avg'
11.9237 	EXP 	window1: blendMode = 'avg'
11.9320 	EXP 	window1: blendMode = 'avg'
11.9402 	EXP 	window1: blendMode = 'avg'
11.9487 	EXP 	window1: blendMode = 'avg'
11.9570 	EXP 	window1: blendMode = 'avg'
11.9654 	EXP 	window1: blendMode = 'avg'
11.9738 	EXP 	window1: blendMode = 'avg'
11.9821 	EXP 	window1: blendMode = 'avg'
11.9974 	EXP 	window1: blendMode = 'avg'
12.0031 	EXP 	window1: blendMode = 'avg'
12.0071 	EXP 	window1: blendMode = 'avg'
12.0153 	EXP 	window1: blendMode = 'avg'
12.0239 	EXP 	window1: blendMode = 'avg'
12.0321 	EXP 	window1: blendMode = 'avg'
12.0403 	EXP 	window1: blendMode = 'avg'
12.0487 	EXP 	window1: blendMode = 'avg'
12.0572 	EXP 	window1: blendMode = 'avg'
12.0654 	EXP 	window1: blendMode = 'avg'
12.0737 	EXP 	window1: blendMode = 'avg'
12.0822 	EXP 	window1: blendMode = 'avg'
12.0903 	EXP 	window1: blendMode = 'avg'
12.0987 	EXP 	window1: blendMode = 'avg'
12.1069 	EXP 	window1: blendMode = 'avg'
12.1153 	EXP 	window1: blendMode = 'avg'
12.1236 	EXP 	window1: blendMode = 'avg'
12.1318 	EXP 	window1: blendMode = 'avg'
12.1403 	EXP 	window1: blendMode = 'avg'
12.1485 	EXP 	window1: blendMode = 'avg'
12.1569 	EXP 	window1: blendMode = 'avg'
12.1653 	EXP 	window1: blendMode = 'avg'
12.1736 	EXP 	window1: blendMode = 'avg'
12.1818 	EXP 	window1: blendMode = 'avg'
12.1902 	EXP 	window1: blendMode = 'avg'
12.1986 	EXP 	window1: blendMode = 'avg'
12.2070 	EXP 	window1: blendMode = 'avg'
12.2153 	EXP 	window1: blendMode = 'avg'
12.2236 	EXP 	window1: blendMode = 'avg'
12.2319 	EXP 	window1: blendMode = 'avg'
12.2402 	EXP 	window1: blendMode = 'avg'
12.2487 	EXP 	window1: blendMode = 'avg'
12.2570 	EXP 	window1: blendMode = 'avg'
12.2653 	EXP 	window1: blendMode = 'avg'
12.2737 	EXP 	window1: blendMode = 'avg'
12.2820 	EXP 	window1: blendMode = 'avg'
12.2903 	EXP 	window1: blendMode = 'avg'
12.2988 	EXP 	window1: blendMode = 'avg'
12.3070 	EXP 	window1: blendMode = 'avg'
12.3152 	EXP 	window1: blendMode = 'avg'
12.3239 	EXP 	window1: blendMode = 'avg'
12.3318 	EXP 	window1: blendMode = 'avg'
12.3404 	EXP 	window1: blendMode = 'avg'
12.3485 	EXP 	window1: blendMode = 'avg'
12.3569 	EXP 	window1: blendMode = 'avg'
12.3652 	EXP 	window1: blendMode = 'avg'
12.3735 	EXP 	window1: blendMode = 'avg'
12.3819 	EXP 	window1: blendMode = 'avg'
12.3902 	EXP 	window1: blendMode = 'avg'
12.3985 	EXP 	window1: blendMode = 'avg'
12.4068 	EXP 	window1: blendMode = 'avg'
12.4152 	EXP 	window1: blendMode = 'avg'
12.4237 	EXP 	window1: blendMode = 'avg'
12.4320 	EXP 	window1: blendMode = 'avg'
12.4402 	EXP 	window1: blendMode = 'avg'
12.4486 	EXP 	window1: blendMode = 'avg'
12.4568 	EXP 	window1: blendMode = 'avg'
12.4652 	EXP 	window1: blendMode = 'avg'
12.4736 	EXP 	window1: blendMode = 'avg'
12.4819 	EXP 	window1: blendMode = 'avg'
12.4902 	EXP 	window1: blendMode = 'avg'
12.4986 	EXP 	window1: blendMode = 'avg'
12.5069 	EXP 	window1: blendMode = 'avg'
12.5152 	EXP 	window1: blendMode = 'avg'
12.5236 	EXP 	window1: blendMode = 'avg'
12.5320 	EXP 	window1: blendMode = 'avg'
12.5403 	EXP 	window1: blendMode = 'avg'
12.5486 	EXP 	window1: blendMode = 'avg'
12.5569 	EXP 	window1: blendMode = 'avg'
12.5652 	EXP 	window1: blendMode = 'avg'
12.5737 	EXP 	window1: blendMode = 'avg'
12.5819 	EXP 	window1: blendMode = 'avg'
12.5904 	EXP 	window1: blendMode = 'avg'
12.5986 	EXP 	window1: blendMode = 'avg'
12.6069 	EXP 	window1: blendMode = 'avg'
12.6152 	EXP 	window1: blendMode = 'avg'
12.6236 	EXP 	window1: blendMode = 'avg'
12.6321 	EXP 	window1: blendMode = 'avg'
12.6403 	EXP 	window1: blendMode = 'avg'
12.6486 	EXP 	window1: blendMode = 'avg'
12.6569 	EXP 	window1: blendMode = 'avg'
12.6654 	EXP 	window1: blendMode = 'avg'
12.6736 	EXP 	window1: blendMode = 'avg'
12.6820 	EXP 	window1: blendMode = 'avg'
12.6903 	EXP 	window1: blendMode = 'avg'
12.6986 	EXP 	window1: blendMode = 'avg'
12.7069 	EXP 	window1: blendMode = 'avg'
12.7153 	EXP 	window1: blendMode = 'avg'
12.7236 	EXP 	window1: blendMode = 'avg'
12.7321 	EXP 	window1: blendMode = 'avg'
12.7404 	EXP 	window1: blendMode = 'avg'
12.7487 	EXP 	window1: blendMode = 'avg'
12.7569 	EXP 	window1: blendMode = 'avg'
12.7653 	EXP 	window1: blendMode = 'avg'
12.7736 	EXP 	window1: blendMode = 'avg'
12.7820 	EXP 	window1: blendMode = 'avg'
12.7903 	EXP 	window1: blendMode = 'avg'
12.7986 	EXP 	window1: blendMode = 'avg'
12.8071 	EXP 	window1: blendMode = 'avg'
12.8154 	EXP 	window1: blendMode = 'avg'
12.8237 	EXP 	window1: blendMode = 'avg'
12.8320 	EXP 	window1: blendMode = 'avg'
12.8403 	EXP 	window1: blendMode = 'avg'
12.8486 	EXP 	window1: blendMode = 'avg'
12.8569 	EXP 	window1: blendMode = 'avg'
12.8653 	EXP 	window1: blendMode = 'avg'
12.8736 	EXP 	window1: blendMode = 'avg'
12.8819 	EXP 	window1: blendMode = 'avg'
12.8903 	EXP 	window1: blendMode = 'avg'
12.8987 	EXP 	window1: blendMode = 'avg'
12.9070 	EXP 	window1: blendMode = 'avg'
12.9153 	EXP 	window1: blendMode = 'avg'
12.9236 	EXP 	window1: blendMode = 'avg'
12.9321 	EXP 	window1: blendMode = 'avg'
12.9403 	EXP 	window1: blendMode = 'avg'
12.9487 	EXP 	window1: blendMode = 'avg'
12.9569 	EXP 	window1: blendMode = 'avg'
12.9653 	EXP 	window1: blendMode = 'avg'
12.9737 	EXP 	window1: blendMode = 'avg'
12.9820 	EXP 	window1: blendMode = 'avg'
12.9903 	EXP 	window1: blendMode = 'avg'
12.9986 	EXP 	window1: blendMode = 'avg'
13.0070 	EXP 	window1: blendMode = 'avg'
13.0153 	EXP 	window1: blendMode = 'avg'
13.0237 	EXP 	window1: blendMode = 'avg'
13.0321 	EXP 	window1: blendMode = 'avg'
13.0403 	EXP 	window1: blendMode = 'avg'
13.0487 	EXP 	window1: blendMode = 'avg'
13.0571 	EXP 	window1: blendMode = 'avg'
13.0653 	EXP 	window1: blendMode = 'avg'
13.0737 	EXP 	window1: blendMode = 'avg'
13.0820 	EXP 	window1: blendMode = 'avg'
13.0906 	EXP 	window1: blendMode = 'avg'
13.0987 	EXP 	window1: blendMode = 'avg'
13.1070 	EXP 	window1: blendMode = 'avg'
13.1154 	EXP 	window1: blendMode = 'avg'
13.1237 	EXP 	window1: blendMode = 'avg'
13.1322 	EXP 	window1: blendMode = 'avg'
13.1404 	EXP 	window1: blendMode = 'avg'
13.1487 	EXP 	window1: blendMode = 'avg'
13.1570 	EXP 	window1: blendMode = 'avg'
13.1653 	EXP 	window1: blendMode = 'avg'
13.1737 	EXP 	window1: blendMode = 'avg'
13.1820 	EXP 	window1: blendMode = 'avg'
13.1903 	EXP 	window1: blendMode = 'avg'
13.1988 	EXP 	window1: blendMode = 'avg'
13.2070 	EXP 	window1: blendMode = 'avg'
13.2154 	EXP 	window1: blendMode = 'avg'
13.2237 	EXP 	window1: blendMode = 'avg'
13.2322 	EXP 	window1: blendMode = 'avg'
13.2405 	EXP 	window1: blendMode = 'avg'
13.2487 	EXP 	window1: blendMode = 'avg'
13.2570 	EXP 	window1: blendMode = 'avg'
13.2653 	EXP 	window1: blendMode = 'avg'
13.2737 	EXP 	window1: blendMode = 'avg'
13.2821 	EXP 	window1: blendMode = 'avg'
13.2904 	EXP 	window1: blendMode = 'avg'
13.2987 	EXP 	window1: blendMode = 'avg'
13.3070 	EXP 	window1: blendMode = 'avg'
13.3156 	EXP 	window1: blendMode = 'avg'
13.3238 	EXP 	window1: blendMode = 'avg'
13.3320 	EXP 	window1: blendMode = 'avg'
13.3405 	EXP 	window1: blendMode = 'avg'
13.3488 	EXP 	window1: blendMode = 'avg'
13.3571 	EXP 	window1: blendMode = 'avg'
13.3654 	EXP 	window1: blendMode = 'avg'
13.3738 	EXP 	window1: blendMode = 'avg'
13.3820 	EXP 	window1: blendMode = 'avg'
13.3904 	DATA 	Keypress: 5
13.3911 	EXP 	Sound  started
13.3985 	EXP 	text_11: autoDraw = False
13.3985 	EXP 	image_15: autoDraw = False
16.2742 	EXP 	Sound  stopped
16.2786 	EXP 	Imported auditory_run1_1.csv as conditions, 84 conditions, 6 params
16.2789 	EXP 	Created sequence: sequential, trialTypes=84, nReps=1, seed=None
16.2792 	EXP 	New trial (rep=0, index=0): {'soundFile': u'pi.wav', 'word': 1, 'location': 1, 'repetition': 1, 'trialnum': 1, 'condition': u'S'}
16.2832 	EXP 	Set  sound=pi.wav
16.2836 	EXP 	Sound  started
16.3238 	EXP 	fam_trials_image: autoDraw = True
16.7408 	EXP 	Sound  stopped
16.7575 	EXP 	Sound  stopped
16.7582 	EXP 	New trial (rep=0, index=1): {'soundFile': u'tu.wav', 'word': 1, 'location': 2, 'repetition': 1, 'trialnum': 2, 'condition': u'S'}
16.7601 	EXP 	Set  sound=tu.wav
16.7605 	EXP 	Sound  started
16.7658 	EXP 	fam_trials_image: autoDraw = False
16.7658 	EXP 	fam_trials_image: autoDraw = True
17.2159 	EXP 	Sound  stopped
17.2326 	EXP 	Sound  stopped
17.2330 	EXP 	New trial (rep=0, index=2): {'soundFile': u'bi.wav', 'word': 1, 'location': 3, 'repetition': 1, 'trialnum': 3, 'condition': u'S'}
17.2344 	EXP 	Set  sound=bi.wav
17.2347 	EXP 	Sound  started
17.2409 	EXP 	fam_trials_image: autoDraw = False
17.2409 	EXP 	fam_trials_image: autoDraw = False
17.2409 	EXP 	fam_trials_image: autoDraw = True
17.6910 	EXP 	Sound  stopped
17.7077 	EXP 	Sound  stopped
17.7080 	EXP 	New trial (rep=0, index=3): {'soundFile': u'di.wav', 'word': 2, 'location': 1, 'repetition': 1, 'trialnum': 4, 'condition': u'S'}
17.7099 	EXP 	Set  sound=di.wav
17.7103 	EXP 	Sound  started
17.7160 	EXP 	fam_trials_image: autoDraw = False
17.7160 	EXP 	fam_trials_image: autoDraw = False
17.7160 	EXP 	fam_trials_image: autoDraw = True
18.1162 	DATA 	Keypress: escape
