10.1439 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
10.7566 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x20203050>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.7567 	EXP 	window1: recordFrameIntervals = False
10.8398 	EXP 	window1: recordFrameIntervals = True
11.1135 	EXP 	window1: recordFrameIntervals = False
12.0041 	EXP 	Set  sound=C
12.0274 	EXP 	Set  sound=A
12.0275 	EXP 	Sound  set volume 1.000
12.0344 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='AlienTrumpet.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.196875  ,  0.48518519]), texRes=128, units=u'norm', win=Window(...))
12.1181 	EXP 	Created instr7_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instr7_text', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.1231 	EXP 	Created instr7_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='instr7_image', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
12.1264 	EXP 	Set  sound=reminder_da.wav
12.1264 	EXP 	Sound  set volume 1.000
12.1324 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press the button when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
12.1355 	EXP 	Set  sound=reminder_1C.wav
12.1356 	EXP 	Sound  set volume 1.000
12.1382 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
12.1600 	EXP 	Set  sound=A
12.1600 	EXP 	Sound  set volume 1.000
12.1657 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien11.BMP', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3375    ,  0.34814815]), texRes=128, units=u'norm', win=Window(...))
12.1663 	EXP 	window1: blendMode = 'avg'
12.2075 	EXP 	instr7_text: autoDraw = True
12.2075 	EXP 	instr7_image: autoDraw = True
12.2078 	EXP 	window1: blendMode = 'avg'
12.2100 	EXP 	window1: blendMode = 'avg'
12.2135 	EXP 	window1: blendMode = 'avg'
12.2219 	EXP 	window1: blendMode = 'avg'
12.2302 	EXP 	window1: blendMode = 'avg'
12.2386 	EXP 	window1: blendMode = 'avg'
12.2469 	EXP 	window1: blendMode = 'avg'
12.2553 	EXP 	window1: blendMode = 'avg'
12.2636 	EXP 	window1: blendMode = 'avg'
12.2719 	EXP 	window1: blendMode = 'avg'
12.2802 	EXP 	window1: blendMode = 'avg'
12.2888 	EXP 	window1: blendMode = 'avg'
12.2969 	EXP 	window1: blendMode = 'avg'
12.3054 	EXP 	window1: blendMode = 'avg'
12.3136 	EXP 	window1: blendMode = 'avg'
12.3219 	EXP 	window1: blendMode = 'avg'
12.3302 	EXP 	window1: blendMode = 'avg'
12.3386 	EXP 	window1: blendMode = 'avg'
12.3469 	EXP 	window1: blendMode = 'avg'
12.3552 	EXP 	window1: blendMode = 'avg'
12.3637 	EXP 	window1: blendMode = 'avg'
12.3719 	EXP 	window1: blendMode = 'avg'
12.3803 	EXP 	window1: blendMode = 'avg'
12.3892 	EXP 	window1: blendMode = 'avg'
12.3969 	EXP 	window1: blendMode = 'avg'
12.4052 	EXP 	window1: blendMode = 'avg'
12.4137 	EXP 	window1: blendMode = 'avg'
12.4219 	EXP 	window1: blendMode = 'avg'
12.4302 	EXP 	window1: blendMode = 'avg'
12.4386 	EXP 	window1: blendMode = 'avg'
12.4469 	EXP 	window1: blendMode = 'avg'
12.4553 	EXP 	window1: blendMode = 'avg'
12.4636 	EXP 	window1: blendMode = 'avg'
12.4719 	EXP 	window1: blendMode = 'avg'
12.4812 	EXP 	window1: blendMode = 'avg'
12.4884 	EXP 	window1: blendMode = 'avg'
12.4968 	EXP 	window1: blendMode = 'avg'
12.5051 	EXP 	window1: blendMode = 'avg'
12.5135 	EXP 	window1: blendMode = 'avg'
12.5218 	EXP 	window1: blendMode = 'avg'
12.5301 	EXP 	window1: blendMode = 'avg'
12.5385 	EXP 	window1: blendMode = 'avg'
12.5468 	EXP 	window1: blendMode = 'avg'
12.5551 	EXP 	window1: blendMode = 'avg'
12.5635 	EXP 	window1: blendMode = 'avg'
12.5718 	EXP 	window1: blendMode = 'avg'
12.5801 	EXP 	window1: blendMode = 'avg'
12.5884 	EXP 	window1: blendMode = 'avg'
12.5968 	EXP 	window1: blendMode = 'avg'
12.6051 	EXP 	window1: blendMode = 'avg'
12.6135 	EXP 	window1: blendMode = 'avg'
12.6218 	EXP 	window1: blendMode = 'avg'
12.6304 	EXP 	window1: blendMode = 'avg'
12.6385 	EXP 	window1: blendMode = 'avg'
12.6468 	EXP 	window1: blendMode = 'avg'
12.6551 	EXP 	window1: blendMode = 'avg'
12.6635 	EXP 	window1: blendMode = 'avg'
12.6718 	EXP 	window1: blendMode = 'avg'
12.6801 	EXP 	window1: blendMode = 'avg'
12.6885 	EXP 	window1: blendMode = 'avg'
12.6968 	EXP 	window1: blendMode = 'avg'
12.7051 	EXP 	window1: blendMode = 'avg'
12.7135 	EXP 	window1: blendMode = 'avg'
12.7219 	EXP 	window1: blendMode = 'avg'
12.7301 	EXP 	window1: blendMode = 'avg'
12.7385 	EXP 	window1: blendMode = 'avg'
12.7468 	EXP 	window1: blendMode = 'avg'
12.7551 	EXP 	window1: blendMode = 'avg'
12.7635 	EXP 	window1: blendMode = 'avg'
12.7718 	EXP 	window1: blendMode = 'avg'
12.7801 	EXP 	window1: blendMode = 'avg'
12.7885 	EXP 	window1: blendMode = 'avg'
12.7969 	EXP 	window1: blendMode = 'avg'
12.8052 	EXP 	window1: blendMode = 'avg'
12.8135 	EXP 	window1: blendMode = 'avg'
12.8218 	EXP 	window1: blendMode = 'avg'
12.8302 	EXP 	window1: blendMode = 'avg'
12.8384 	EXP 	window1: blendMode = 'avg'
12.8468 	EXP 	window1: blendMode = 'avg'
12.8551 	EXP 	window1: blendMode = 'avg'
12.8635 	EXP 	window1: blendMode = 'avg'
12.8718 	EXP 	window1: blendMode = 'avg'
12.8802 	EXP 	window1: blendMode = 'avg'
12.8885 	EXP 	window1: blendMode = 'avg'
12.8968 	EXP 	window1: blendMode = 'avg'
12.9052 	EXP 	window1: blendMode = 'avg'
12.9135 	EXP 	window1: blendMode = 'avg'
12.9218 	EXP 	window1: blendMode = 'avg'
12.9302 	EXP 	window1: blendMode = 'avg'
12.9385 	EXP 	window1: blendMode = 'avg'
12.9468 	EXP 	window1: blendMode = 'avg'
12.9552 	EXP 	window1: blendMode = 'avg'
12.9636 	EXP 	window1: blendMode = 'avg'
12.9718 	EXP 	window1: blendMode = 'avg'
12.9801 	EXP 	window1: blendMode = 'avg'
12.9885 	EXP 	window1: blendMode = 'avg'
12.9968 	EXP 	window1: blendMode = 'avg'
13.0052 	EXP 	window1: blendMode = 'avg'
13.0136 	EXP 	window1: blendMode = 'avg'
13.0219 	EXP 	window1: blendMode = 'avg'
13.0302 	EXP 	window1: blendMode = 'avg'
13.0386 	EXP 	window1: blendMode = 'avg'
13.0469 	EXP 	window1: blendMode = 'avg'
13.0552 	EXP 	window1: blendMode = 'avg'
13.0636 	EXP 	window1: blendMode = 'avg'
13.0718 	EXP 	window1: blendMode = 'avg'
13.0802 	EXP 	window1: blendMode = 'avg'
13.0885 	EXP 	window1: blendMode = 'avg'
13.0969 	EXP 	window1: blendMode = 'avg'
13.1052 	EXP 	window1: blendMode = 'avg'
13.1137 	EXP 	window1: blendMode = 'avg'
13.1219 	EXP 	window1: blendMode = 'avg'
13.1302 	EXP 	window1: blendMode = 'avg'
13.1387 	EXP 	window1: blendMode = 'avg'
13.1469 	EXP 	window1: blendMode = 'avg'
13.1552 	EXP 	window1: blendMode = 'avg'
13.1636 	EXP 	window1: blendMode = 'avg'
13.1719 	EXP 	window1: blendMode = 'avg'
13.1802 	EXP 	window1: blendMode = 'avg'
13.1886 	EXP 	window1: blendMode = 'avg'
13.1969 	EXP 	window1: blendMode = 'avg'
13.2052 	EXP 	window1: blendMode = 'avg'
13.2136 	EXP 	window1: blendMode = 'avg'
13.2219 	EXP 	window1: blendMode = 'avg'
13.2302 	EXP 	window1: blendMode = 'avg'
13.2386 	EXP 	window1: blendMode = 'avg'
13.2469 	EXP 	window1: blendMode = 'avg'
13.2552 	EXP 	window1: blendMode = 'avg'
13.2635 	EXP 	window1: blendMode = 'avg'
13.2719 	EXP 	window1: blendMode = 'avg'
13.2802 	EXP 	window1: blendMode = 'avg'
13.2886 	EXP 	window1: blendMode = 'avg'
13.2969 	EXP 	window1: blendMode = 'avg'
13.3052 	EXP 	window1: blendMode = 'avg'
13.3136 	EXP 	window1: blendMode = 'avg'
13.3219 	EXP 	window1: blendMode = 'avg'
13.3302 	EXP 	window1: blendMode = 'avg'
13.3386 	EXP 	window1: blendMode = 'avg'
13.3469 	EXP 	window1: blendMode = 'avg'
13.3552 	EXP 	window1: blendMode = 'avg'
13.3636 	EXP 	window1: blendMode = 'avg'
13.3719 	EXP 	window1: blendMode = 'avg'
