word,location,image,repetition,trialnum,condition,corrAns,image3,image2,image1,image6,image5,image4,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_1_block.thisRepN,forced_test_1_block.thisTrialN,forced_test_1_block.thisN,forced_test_1_block.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,0,0,0,,,,,,,,,None,0.375338737504,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,0,0,0,,,,,,,,,None,0.358675707132,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,1,Alien4.bmp,17,193,S,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,2,Alien5.bmp,17,194,S,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,3,Alien6.bmp,17,195,S,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,3,0.358588667121,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,1,Alien7.bmp,17,196,S,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,2,Alien8.bmp,17,197,S,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
