"","image","trialnum","condition","l_block_trial_key_resp.keys","l_block_trial_key_resp.rt","v_block_trial_key_resp.keys","v_block_trial_key_resp.rt","vtarget","Run","PartID","ltarget","expName"
"1","M.png",379,"S","None",NA,"",NA,6,3,"f001","h","visual"
"2","K.png",380,"S","None",NA,"",NA,6,3,"f001","h","visual"
"3","B.png",381,"S","None",NA,"",NA,6,3,"f001","h","visual"
"4","M.png",385,"S","None",NA,"",NA,6,3,"f001","h","visual"
"5","K.png",386,"S","None",NA,"",NA,6,3,"f001","h","visual"
"6","B.png",387,"S","None",NA,"",NA,6,3,"f001","h","visual"
"7","E.png",391,"S","None",NA,"",NA,6,3,"f001","h","visual"
"8","L.png",392,"S","None",NA,"",NA,6,3,"f001","h","visual"
"9","H.png",393,"S","3",0.125172835309,"",NA,6,3,"f001","h","visual"
"10","D.png",394,"S","None",NA,"",NA,6,3,"f001","h","visual"
"11","G.png",395,"S","None",NA,"",NA,6,3,"f001","h","visual"
"12","C.png",396,"S","None",NA,"",NA,6,3,"f001","h","visual"
"13","A.png",397,"S","None",NA,"",NA,6,3,"f001","h","visual"
"14","J.png",398,"S","None",NA,"",NA,6,3,"f001","h","visual"
"15","F.png",399,"S","None",NA,"",NA,6,3,"f001","h","visual"
"16","M.png",400,"S","None",NA,"",NA,6,3,"f001","h","visual"
"17","K.png",401,"S","None",NA,"",NA,6,3,"f001","h","visual"
"18","B.png",402,"S","None",NA,"",NA,6,3,"f001","h","visual"
"19","D.png",403,"S","None",NA,"",NA,6,3,"f001","h","visual"
"20","G.png",404,"S","None",NA,"",NA,6,3,"f001","h","visual"
"21","C.png",405,"S","None",NA,"",NA,6,3,"f001","h","visual"
"22","E.png",406,"S","None",NA,"",NA,6,3,"f001","h","visual"
"23","L.png",407,"S","None",NA,"",NA,6,3,"f001","h","visual"
"24","H.png",408,"S","3",0.142085608095,"",NA,6,3,"f001","h","visual"
"25","A.png",409,"S","None",NA,"",NA,6,3,"f001","h","visual"
"26","J.png",410,"S","None",NA,"",NA,6,3,"f001","h","visual"
"27","F.png",411,"S","None",NA,"",NA,6,3,"f001","h","visual"
"28","M.png",412,"S","None",NA,"",NA,6,3,"f001","h","visual"
"29","K.png",413,"S","None",NA,"",NA,6,3,"f001","h","visual"
"30","B.png",414,"S","None",NA,"",NA,6,3,"f001","h","visual"
"31","A.png",415,"S","None",NA,"",NA,6,3,"f001","h","visual"
"32","J.png",416,"S","None",NA,"",NA,6,3,"f001","h","visual"
"33","F.png",417,"S","None",NA,"",NA,6,3,"f001","h","visual"
"34","E.png",418,"S","None",NA,"",NA,6,3,"f001","h","visual"
"35","L.png",419,"S","3",0.950512952637,"",NA,6,3,"f001","h","visual"
"36","H.png",420,"S","None",NA,"",NA,6,3,"f001","h","visual"
"37","D.png",421,"S","None",NA,"",NA,6,3,"f001","h","visual"
"38","G.png",422,"S","None",NA,"",NA,6,3,"f001","h","visual"
"39","C.png",423,"S","None",NA,"",NA,6,3,"f001","h","visual"
"40","E.png",424,"S","None",NA,"",NA,6,3,"f001","h","visual"
"41","L.png",425,"S","None",NA,"",NA,6,3,"f001","h","visual"
"42","H.png",426,"S","3",0.0170689322986,"",NA,6,3,"f001","h","visual"
"43","D.png",427,"S","None",NA,"",NA,6,3,"f001","h","visual"
"44","G.png",428,"S","None",NA,"",NA,6,3,"f001","h","visual"
"45","C.png",429,"S","None",NA,"",NA,6,3,"f001","h","visual"
"46","A.png",430,"S","None",NA,"",NA,6,3,"f001","h","visual"
"47","J.png",431,"S","None",NA,"",NA,6,3,"f001","h","visual"
"48","F.png",432,"S","None",NA,"",NA,6,3,"f001","h","visual"
"49","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"50","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"51","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"52","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"53","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"54","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"55","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"56","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"57","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"58","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"59","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"60","blank.png",0,"B","",NA,"",NA,6,3,"f001","h","visual"
"61","Alien5.bmp",385,"R","",NA,"None",NA,6,3,"f001","h","visual"
"62","Alien7.bmp",386,"R","",NA,"None",NA,6,3,"f001","h","visual"
"63","Alien7.bmp",387,"R","",NA,"None",NA,6,3,"f001","h","visual"
"64","Alien9.bmp",388,"R","",NA,"None",NA,6,3,"f001","h","visual"
"65","Alien5.bmp",389,"R","",NA,"None",NA,6,3,"f001","h","visual"
"66","Alien12.bmp",390,"R","",NA,"None",NA,6,3,"f001","h","visual"
"67","Alien8.bmp",391,"R","",NA,"None",NA,6,3,"f001","h","visual"
"68","Alien4.bmp",392,"R","",NA,"None",NA,6,3,"f001","h","visual"
"69","Alien5.bmp",393,"R","",NA,"None",NA,6,3,"f001","h","visual"
"70","Alien10.bmp",394,"R","",NA,"None",NA,6,3,"f001","h","visual"
"71","Alien11.bmp",395,"R","",NA,"None",NA,6,3,"f001","h","visual"
"72","Alien6.bmp",396,"R","",NA,"3",0.500310471281,6,3,"f001","h","visual"
"73","Alien10.bmp",397,"R","",NA,"None",NA,6,3,"f001","h","visual"
"74","Alien8.bmp",398,"R","",NA,"None",NA,6,3,"f001","h","visual"
"75","Alien1.bmp",399,"R","",NA,"None",NA,6,3,"f001","h","visual"
"76","Alien9.bmp",400,"R","",NA,"None",NA,6,3,"f001","h","visual"
"77","Alien11.bmp",401,"R","",NA,"None",NA,6,3,"f001","h","visual"
"78","Alien4.bmp",402,"R","",NA,"None",NA,6,3,"f001","h","visual"
"79","Alien6.bmp",403,"R","",NA,"3",0.408691252116,6,3,"f001","h","visual"
"80","Alien12.bmp",404,"R","",NA,"None",NA,6,3,"f001","h","visual"
"81","Alien4.bmp",405,"R","",NA,"None",NA,6,3,"f001","h","visual"
"82","Alien3.bmp",406,"R","",NA,"None",NA,6,3,"f001","h","visual"
