"","part_id","task","domain","type","modality","mean_rt","upper_bound","lower_bound","rt_slope"
"1","1","LSL","visual","random","linguistic",0.517,0.300224512,0.675366485,-2e-04
"2","4","LSL","visual","random","linguistic",0.554,0.300224512,0.675366485,-0.0036
"3","6","LSL","visual","random","linguistic",0.466,0.300224512,0.675366485,0.0017
"4","8","LSL","visual","random","linguistic",0.42,0.300224512,0.675366485,-4e-04
"5","11","LSL","visual","random","linguistic",0.469,0.300224512,0.675366485,0.0031
"6","13","LSL","visual","random","linguistic",0.486,0.300224512,0.675366485,2e-04
"7","12","LSL","visual","random","linguistic",0.627,0.300224512,0.675366485,0.0076
"8","16","LSL","visual","random","linguistic",0.418,0.300224512,0.675366485,8e-04
"9","2","SSL","auditory","random","linguistic",0.779,0.350245418027,0.905263224402,-9e-04
"10","3","SSL","auditory","random","linguistic",0.706,0.241913260659,0.921946142353,-0.002
"11","5","SSL","auditory","random","linguistic",0.717,0.175285979873,0.930356009882,5e-04
"12","7","SSL","auditory","random","linguistic",0.759,0.200696122833,0.914835513937,5e-04
"13","10","SSL","auditory","random","linguistic",0.756,0.241942342633,0.930330538093,-5e-04
"14","14","SSL","auditory","random","linguistic",0.753,0.291941783391,0.930368625345,0.0024
"15","15","SSL","auditory","random","linguistic",0.709,0.200922584161,0.897392649222,0.0014
"16","2","TSL","auditory","random","non-linguistic",0.646,0.057833414,0.905313571,0.001
"17","3","TSL","auditory","random","non-linguistic",0.672,0.0855220342055,0.871975895036,-0.0024
"18","5","TSL","auditory","random","non-linguistic",0.512,0.0168953975663,0.863637991734,-0.0017
"19","7","TSL","auditory","random","non-linguistic",0.715,0.267915377277,0.897253572377,-0.0045
"20","10","TSL","auditory","random","non-linguistic",0.541,0.0353865351644,0.863656021,-0.0013
"21","14","TSL","auditory","random","non-linguistic",0.467,0.0917699222337,0.871968265176,0.0045
"22","15","TSL","auditory","random","non-linguistic",0.66,0.233696724754,0.830688266335,7e-04
"23","1","VSL","visual","random","non-linguistic",0.531,0.33358383365,0.867003713734,0
"24","4","VSL","visual","random","non-linguistic",0.533,0.391846757615,1.0252150965389,6e-04
"25","6","VSL","visual","random","non-linguistic",0.463,0.341909603141,0.683673570975,-0.0012
"26","8","VSL","visual","random","non-linguistic",0.511,0.358594516874,1.0668272637267,0.0014
"27","11","VSL","visual","random","non-linguistic",0.526,0.333619104858,1.458593327101,0.0024
"28","12","VSL","visual","random","non-linguistic",0.515,0.367019955753,0.890884959692,0.0016
"29","13","VSL","visual","random","non-linguistic",0.566,0.367621592712,0.900784450932,0
"30","16","VSL","visual","random","non-linguistic",0.465,0.325226865534,0.733666151878,-6e-04
"31","1","LSL","visual","structured","linguistic",0.403,0.122762280051,0.714119111421,-0.0028
"32","4","LSL","visual","structured","linguistic",0.47,0.347857227316,0.664657449815,0.0016
"33","6","LSL","visual","structured","linguistic",0.497,0.364700959799,0.873219629704,0.0015
"34","8","LSL","visual","structured","linguistic",0.329,0.0147535392607,0.598276667835,-0.0052
"35","11","LSL","visual","structured","linguistic",0.478,0.314598895391,0.922921616599,6e-04
"36","12","LSL","visual","structured","linguistic",0.495,0.397779742969,0.656375573191,9e-04
"37","13","LSL","visual","structured","linguistic",0.482,0.338498322642,0.654183116276,0.0023
"38","16","LSL","visual","structured","linguistic",0.33,0.0147666320554,0.581265258661,-0.0057
"39","2","SSL","auditory","structured","linguistic",0.707,0.588704779,0.93028433,-6e-04
"40","3","SSL","auditory","structured","linguistic",0.748,0.5552223213203,0.905284842,0.0034
"41","5","SSL","auditory","structured","linguistic",0.728,0.621909335274,0.880293034036,0.0014
"42","7","SSL","auditory","structured","linguistic",0.748,0.647181469849,0.879603118189,8e-04
"43","10","SSL","auditory","structured","linguistic",0.748,0.596903622693,0.888627355966,4e-04
"44","14","SSL","auditory","structured","linguistic",0.794,0.713594045334,0.921951924,-0.0025
"45","15","SSL","auditory","structured","linguistic",0.64,0.250960717443,0.780854851026,2e-04
"46","2","TSL","auditory","structured","non-linguistic",0.759,0.604346063472,0.905283704419,0.0055
"47","3","TSL","auditory","structured","non-linguistic",0.755,0.646897729971,0.863610685123,0.0012
"48","5","TSL","auditory","structured","non-linguistic",0.639,0.0252512209117,0.821962127946,-0.0027
"49","7","TSL","auditory","structured","non-linguistic",0.684,0.21765529539,0.863651124663,6e-04
"50","10","TSL","auditory","structured","non-linguistic",0.62,0.0919169275439,0.88032699678,0.0024
"51","14","TSL","auditory","structured","non-linguistic",0.629,0.191922981641,0.838624587534,0.003
"52","15","TSL","auditory","structured","non-linguistic",0.7,0.613588868193,0.881106707053,1e-04
"53","1","VSL","visual","structured","non-linguistic",0.516,0.333625647,0.833693344379,-9e-04
"54","4","VSL","visual","structured","non-linguistic",0.515,0.416913943365,0.733700512443,-0.0012
"55","6","VSL","visual","structured","non-linguistic",0.436,0.225239793369,0.691976490138,-0.0023
"56","8","VSL","visual","structured","non-linguistic",0.303,0.0418806751841,0.983783849893,-0.0078
"57","11","VSL","visual","structured","non-linguistic",0.407,0.291877214579,0.666977090019,-4e-04
"58","13","VSL","visual","structured","non-linguistic",0.537,0.352180368267,0.750398008,-5e-04
"59","12","VSL","visual","structured","non-linguistic",0.446,0.183569996,0.633655883,-0.0054
"60","16","VSL","visual","structured","non-linguistic",0.454,0.300224512,0.675366485,-0.0012
