soundFile,trialnum,condition,word,location,repetition
4A.wav,481,R,0,1,1
2B.wav,482,R,0,2,1
4B.wav,483,R,0,3,1
1A.wav,484,R,0,1,1
2C.wav,485,R,0,2,1
3B.wav,486,R,0,3,1
3A.wav,487,R,0,1,1
3C.wav,488,R,0,2,1
4C.wav,489,R,0,3,1
4A.wav,490,R,0,1,1
1C.wav,491,R,0,2,1
2A.wav,492,R,0,3,1
2A.wav,493,R,0,1,1
1B.wav,494,R,0,2,1
3B.wav,495,R,0,3,1
4C.wav,496,R,0,1,1
3A.wav,497,R,0,2,1
1B.wav,498,R,0,3,1
4B.wav,499,R,0,1,1
1A.wav,500,R,0,2,1
1C.wav,501,R,0,3,1
2C.wav,502,R,0,1,1
2B.wav,503,R,0,2,1
3C.wav,504,R,0,3,1
3B.wav,505,R,0,1,1
3B.wav,506,R,0,2,1
4A.wav,507,R,0,3,1
4A.wav,508,R,0,1,1
1B.wav,509,R,0,2,1
2C.wav,510,R,0,3,1
1A.wav,511,R,0,1,1
3C.wav,512,R,0,2,1
1C.wav,513,R,0,3,1
4C.wav,514,R,0,1,1
2B.wav,515,R,0,2,1
1A.wav,516,R,0,3,1
1B.wav,517,R,0,1,1
2B.wav,518,R,0,2,1
2A.wav,519,R,0,3,1
3A.wav,520,R,0,1,1
4B.wav,521,R,0,2,1
2C.wav,522,R,0,3,1
3C.wav,523,R,0,1,1
4C.wav,524,R,0,2,1
1C.wav,525,R,0,3,1
3A.wav,526,R,0,1,1
4B.wav,527,R,0,2,1
2A.wav,528,R,0,3,1
4A.wav,529,R,0,1,1
3A.wav,530,R,0,2,1
2A.wav,531,R,0,3,1
4B.wav,532,R,0,1,1
2A.wav,533,R,0,2,1
2B.wav,534,R,0,3,1
2B.wav,535,R,0,1,1
2C.wav,536,R,0,2,1
4B.wav,537,R,0,3,1
3B.wav,538,R,0,1,1
2B.wav,539,R,0,2,1
4A.wav,540,R,0,3,1
3C.wav,541,R,0,1,1
2C.wav,542,R,0,2,1
4C.wav,543,R,0,3,1
3C.wav,544,R,0,1,1
1A.wav,545,R,0,2,1
4C.wav,546,R,0,3,1
2C.wav,547,R,0,1,1
1C.wav,548,R,0,2,1
1B.wav,549,R,0,3,1
2A.wav,550,R,0,1,1
3A.wav,551,R,0,2,1
3B.wav,552,R,0,3,1
1A.wav,553,R,0,1,1
2C.wav,554,R,0,2,1
2B.wav,555,R,0,3,1
4B.wav,556,R,0,1,1
1B.wav,557,R,0,2,1
4B.wav,558,R,0,3,1
1B.wav,559,R,0,1,1
4A.wav,560,R,0,2,1
3A.wav,561,R,0,3,1
2A.wav,562,R,0,1,1
4A.wav,563,R,0,2,1
3B.wav,564,R,0,3,1
4C.wav,565,R,0,1,1
1A.wav,566,R,0,2,1
1C.wav,567,R,0,3,1
3B.wav,568,R,0,1,1
4C.wav,569,R,0,2,1
3C.wav,570,R,0,3,1
1C.wav,571,R,0,1,1
3A.wav,572,R,0,2,1
1C.wav,573,R,0,3,1
1B.wav,574,R,0,1,1
3C.wav,575,R,0,2,1
1A.wav,576,R,0,3,1
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
silence.wav,0,B,0,0,0
