subject,group,gender,age,vocabulary,authortask,familiarity,task,accuracy,taskorder,Q1,Q2,Q3,Q4,Q5,Average English Likeness
a_001,English,Female,21,102,,1,Linguistic,56,1,1,1,1,1,1,1
a_002,English,Female,19,98,-9,,Linguistic,,,,,,,,
a_003,English,Male,19,92,-4,1,Linguistic,44,1,2,1,2,1,1,1.4
a_004,English,Female,19,115,12,0,Linguistic,76,0,1,1,1,2,0,1
a_005,English,Female,21,102,19,4,Linguistic,76,1,4,2,2,4,2,2.8
a_006,English,Female,21,102,14,2,Linguistic,60,0,1,1,2,5,2,2.2
a_007,English,Male,19,133,4,1,Linguistic,64,0,1,0,0,1,0,0.4
a_008,English,Female,21,96,8,3,Linguistic,76,0,2,2,2,1,4,2.2
a_009,English,Female,20,114,3,0,Linguistic,60,0,2,2,1,1,1,1.4
a_010,English,Female,20,103,1,2,Linguistic,48,0,4,2,1,3,2,2.4
a_011,English,Female,20,97,2,1,Linguistic,36,0,1,2,0,1,0,0.8
a_012,English,Female,21,96,10,1,Linguistic,56,0,1,1,0,0,0,0.4
a_013,English,Female,18,110,9,0,Linguistic,44,0,0,0,0,0,0,0
a_014,English,Female,21,119,18,1,Linguistic,52,1,1,1,4,4,0,2
a_015,English,Female,22,113,11,0,Linguistic,56,0,1,1,2,1,0,1
a_016,English,Male,19,127,6,2,Linguistic,68,0,2,3,2,3,2,2.4
a_017,English,Female,20,120,5,1,Linguistic,48,1,2,2,4,1,0,1.8
a_019,English,Female,30,114,23,1,Linguistic,52,0,2,2,1,5,4,2.8
a_020,English,Female,20,126,20,3,Linguistic,60,0,1,3,2,4,4,2.8
a_021,English,Female,21,113,12,1,Linguistic,44,0,1,0,0,0,0,0.2
a_022,English,Female,21,131,32,1,Linguistic,68,0,2,1,0,1,2,1.2
a_023,English,Female,18,116,23,1,Linguistic,56,0,0,1,1,0,1,0.6
a_024,English,Female,19,115,17,1,Linguistic,64,1,1,0,0,0,0,0.2
a_025,English,Female,19,,18,1,Linguistic,64,1,0,0,0,0,1,0.2
a_026,English,Female,21,,20,4,Linguistic,80,1,1,2,4,5,2,2.8
a_027,English,Male,26,88,-7,0,Linguistic,28,1,1,1,2,1,1,1.2
a_028,English,Female,37,79,6,0,Linguistic,40,1,0,0,0,0,1,0.2
a_029,English,Female,20,114,14,2,Linguistic,60,1,2,1,1,1,1,1.2
a_030,English,Female,20,91,4,2,Linguistic,48,0,2,0,2,5,0,1.8
a_031,English,Male,35,107,2,1,Linguistic,36,0,1,1,1,0,0,0.6
a_032,English,Male,18,128,23,0,Linguistic,60,0,0,0,0,1,0,0.2
a_033,English,Female,34,96,16,1,Linguistic,56,1,1,1,1,1,2,1.2
a_034,English,Female,20,120,4,4,Linguistic,76,0,4,3,1,1,2,2.2
a_035,English,Female,25,128,33,2,Linguistic,76,0,,,,,,
a_036,English,Female,20,103,0,1,Linguistic,52,1,1,1,1,2,2,1.4
a_037,English,Female,20,97,17,2,Linguistic,40,0,0,0,0,0,0,0
a_038,English,Female,21,119,13,0,Linguistic,44,0,1,1,0,1,1,0.8
a_039,English,Female,20,103,5,1,Linguistic,56,0,2,1,1,4,1,1.8
a_040,English,Male,20,103,9,1,Linguistic,48,1,1,4,2,3,5,3
a_041,English,Female,18,104,4,1,Linguistic,60,0,1,0,0,4,0,1
a_042,English,Male,20,126,7,2,Linguistic,48,0,2,2,3,1,4,2.4
a_043,English,Female,20,,18,0,Linguistic,76,0,2,1,1,2,0,1.2
a_044,English,Female,20,108,8,1,Linguistic,36,1,1,2,0,4,2,1.8
a_045,English,Female,21,113,9,1,Linguistic,32,0,1,1,1,4,1,1.6
a_046,English,Female,20,120,7,1,Linguistic,68,1,3,1,1,4,1,2
a_047,English,Female,19,140,19,0,Linguistic,60,1,0,0,0,1,0,0.2
a_048,English,Female,20,120,8,0,Linguistic,68,1,1,1,2,3,1,1.6
a_049,English,Female,20,114,8,1,Linguistic,44,0,2,2,1,3,1,1.8
a_050,English,Female,19,116,15,2,Linguistic,56,1,,,,,,
a_051,English,Female,19,98,6,1,Linguistic,72,0,0,1,1,1,1,0.8
a_052,English,Female,19,109,0,1,Linguistic,72,0,1,1,1,1,1,1
a_053,English,Female,18,110,11,0,Linguistic,72,0,1,2,0,2,2,1.4
a_054,English,Female,19,133,11,0,Linguistic,44,1,0,0,0,1,1,0.4
a_055,English,Male,21,113,10,0,Linguistic,72,1,0,4,1,5,3,2.6
a_056,English,Male,20,143,,1,Linguistic,84,0,2,1,0,2,1,1.2
a_057,English,Male,21,108,-1,1,Linguistic,64,0,2,2,2,3,2,2.2
a_058,English,Female,19,121,6,1,Linguistic,56,1,1,0,2,1,2,1.2
a_059,English,Male,22,95,7,0,Linguistic,68,0,0,0,0,1,1,0.4
101,Hebrew,Male,25,,,,Linguistic,80,1,,,,,,
102,Hebrew,Female,20,,,,Linguistic,56,0,,,,,,
103,Hebrew,Female,24,,,,Linguistic,60,0,,,,,,
104,Hebrew,Female,21,,,,Linguistic,68,1,,,,,,
105,Hebrew,Female,31,,,,Linguistic,88,0,,,,,,
106,Hebrew,Female,24,,,,Linguistic,68,0,,,,,,
107,Hebrew,Female,22,,,,Linguistic,76,1,,,,,,
110,Hebrew,Female,23,,,,Linguistic,84,1,,,,,,
111,Hebrew,Female,23,,,,Linguistic,68,0,,,,,,
112,Hebrew,Female,22,,,,Linguistic,64,0,,,,,,
113,Hebrew,Female,22,,,,Linguistic,64,1,,,,,,
114,Hebrew,Male,23,,,,Linguistic,64,0,,,,,,
116,Hebrew,Male,27,,,,Linguistic,68,1,,,,,,
117,Hebrew,Female,24,,,,Linguistic,88,0,,,,,,
119,Hebrew,Female,22,,,,Linguistic,48,1,,,,,,
120,Hebrew,Female,20,,,,Linguistic,72,0,,,,,,
121,Hebrew,Female,22,,,,Linguistic,76,0,,,,,,
122,Hebrew,Female,23,,,,Linguistic,88,1,,,,,,
123,Hebrew,Female,23,,,,Linguistic,72,0,,,,,,
125,Hebrew,Male,19,,,,Linguistic,40,1,,,,,,
126,Hebrew,Female,23,,,,Linguistic,60,0,,,,,,
127,Hebrew,Female,23,,,,Linguistic,48,0,,,,,,
128,Hebrew,Male,27,,,,Linguistic,88,1,,,,,,
129,Hebrew,Female,24,,,,Linguistic,68,0,,,,,,
130,Hebrew,Female,23,,,,Linguistic,76,0,,,,,,
131,Hebrew,Female,23,,,,Linguistic,84,1,,,,,,
133,Hebrew,Female,21,,,,Linguistic,80,0,,,,,,
134,Hebrew,Male,25,,,,Linguistic,60,1,,,,,,
135,Hebrew,Female,23,,,,Linguistic,96,0,,,,,,
136,Hebrew,Female,23,,,,Linguistic,68,0,,,,,,
137,Hebrew,Female,23,,,,Linguistic,60,1,,,,,,
138,Hebrew,Male,24,,,,Linguistic,52,0,,,,,,
139,Hebrew,Female,23,,,,Linguistic,72,0,,,,,,
141,Hebrew,Male,24,,,,Linguistic,72,0,,,,,,
142,Hebrew,Female,21,,,,Linguistic,100,0,,,,,,
145,Hebrew,Male,23,,,,Linguistic,88,0,,,,,,
146,Hebrew,Female,22,,,,Linguistic,92,1,,,,,,
148,Hebrew,Female,24,,,,Linguistic,56,0,,,,,,
149,Hebrew,Female,25,,,,Linguistic,64,1,,,,,,
150,Hebrew,Female,23,,,,Linguistic,64,0,,,,,,
152,Hebrew,Female,20,,,,Linguistic,64,1,,,,,,
153,Hebrew,Female,22,,,,Linguistic,68,0,,,,,,
154,Hebrew,Male,25,,,,Linguistic,80,0,,,,,,
155,Hebrew,Female,22,,,,Linguistic,72,1,,,,,,
156,Hebrew,Female,19,,,,Linguistic,92,0,,,,,,
157,Hebrew,Female,25,,,,Linguistic,88,1,,,,,,
159,Hebrew,Male,24,,,,Linguistic,68,0,,,,,,
160,Hebrew,Female,22,,,,Linguistic,72,0,,,,,,
161,Hebrew,Male,22,,,,Linguistic,68,1,,,,,,
162,Hebrew,Female,25,,,,Linguistic,52,0,,,,,,
164,Hebrew,Female,21,,,,Linguistic,56,1,,,,,,
165,Hebrew,Male,24,,,,Linguistic,76,0,,,,,,
166,Hebrew,Female,25,,,,Linguistic,76,0,,,,,,
a_001,English,Female,21,102,,,Non-Linguistic,64,1,,,,,,
a_002,English,Female,19,98,-9,,Non-Linguistic,,,,,,,,
a_003,English,Male,19,92,-4,,Non-Linguistic,52,1,,,,,,
a_004,English,Female,19,115,12,,Non-Linguistic,84,0,,,,,,
a_005,English,Female,21,102,19,,Non-Linguistic,,1,,,,,,
a_006,English,Female,21,102,14,,Non-Linguistic,56,0,,,,,,
a_007,English,Male,19,133,4,,Non-Linguistic,56,0,,,,,,
a_008,English,Female,21,96,8,,Non-Linguistic,68,0,,,,,,
a_009,English,Female,20,114,3,,Non-Linguistic,68,0,,,,,,
a_010,English,Female,20,103,1,,Non-Linguistic,68,0,,,,,,
a_011,English,Female,20,97,2,,Non-Linguistic,40,0,,,,,,
a_012,English,Female,21,96,10,,Non-Linguistic,64,0,,,,,,
a_013,English,Female,18,110,9,,Non-Linguistic,60,0,,,,,,
a_014,English,Female,21,119,18,,Non-Linguistic,52,1,,,,,,
a_015,English,Female,22,113,11,,Non-Linguistic,44,0,,,,,,
a_016,English,Male,19,127,6,,Non-Linguistic,68,0,,,,,,
a_017,English,Female,20,120,5,,Non-Linguistic,56,1,,,,,,
a_019,English,Female,30,114,23,,Non-Linguistic,56,0,,,,,,
a_020,English,Female,20,126,20,,Non-Linguistic,64,0,,,,,,
a_021,English,Female,21,113,12,,Non-Linguistic,64,0,,,,,,
a_022,English,Female,21,131,32,,Non-Linguistic,68,0,,,,,,
a_023,English,Female,18,116,23,,Non-Linguistic,72,0,,,,,,
a_024,English,Female,19,115,17,,Non-Linguistic,68,1,,,,,,
a_025,English,Female,19,,18,,Non-Linguistic,64,1,,,,,,
a_026,English,Female,21,,20,,Non-Linguistic,,1,,,,,,
a_027,English,Male,26,88,-7,,Non-Linguistic,44,1,,,,,,
a_028,English,Female,37,79,6,,Non-Linguistic,80,1,,,,,,
a_029,English,Female,20,114,14,,Non-Linguistic,76,1,,,,,,
a_030,English,Female,20,91,4,,Non-Linguistic,68,0,,,,,,
a_031,English,Male,35,107,2,,Non-Linguistic,52,0,,,,,,
a_032,English,Male,18,128,23,,Non-Linguistic,52,0,,,,,,
a_033,English,Female,34,96,16,,Non-Linguistic,64,1,,,,,,
a_034,English,Female,20,120,4,,Non-Linguistic,60,0,,,,,,
a_035,English,Female,25,128,33,,Non-Linguistic,32,0,,,,,,
a_036,English,Female,20,103,0,,Non-Linguistic,80,1,,,,,,
a_037,English,Female,20,97,17,,Non-Linguistic,72,0,,,,,,
a_038,English,Female,21,119,13,,Non-Linguistic,60,0,,,,,,
a_039,English,Female,20,103,5,,Non-Linguistic,52,0,,,,,,
a_040,English,Male,20,103,9,,Non-Linguistic,64,1,,,,,,
a_041,English,Female,18,104,4,,Non-Linguistic,68,0,,,,,,
a_042,English,Male,20,126,7,,Non-Linguistic,52,0,,,,,,
a_043,English,Female,20,,18,,Non-Linguistic,68,0,,,,,,
a_044,English,Female,20,108,8,,Non-Linguistic,52,1,,,,,,
a_045,English,Female,21,113,9,,Non-Linguistic,64,0,,,,,,
a_046,English,Female,20,120,7,,Non-Linguistic,56,1,,,,,,
a_047,English,Female,19,140,19,,Non-Linguistic,60,1,,,,,,
a_048,English,Female,20,120,8,,Non-Linguistic,48,1,,,,,,
a_049,English,Female,20,114,8,,Non-Linguistic,48,0,,,,,,
a_050,English,Female,19,116,15,,Non-Linguistic,64,1,,,,,,
a_051,English,Female,19,98,6,,Non-Linguistic,56,0,,,,,,
a_052,English,Female,19,109,0,,Non-Linguistic,76,0,,,,,,
a_053,English,Female,18,110,11,,Non-Linguistic,84,0,,,,,,
a_054,English,Female,19,133,11,,Non-Linguistic,60,1,,,,,,
a_055,English,Male,21,113,10,,Non-Linguistic,52,1,,,,,,
a_056,English,Male,20,143,,,Non-Linguistic,64,0,,,,,,
a_057,English,Male,21,108,-1,,Non-Linguistic,56,0,,,,,,
a_058,English,Female,19,121,6,,Non-Linguistic,60,1,,,,,,
a_059,English,Male,22,95,7,,Non-Linguistic,48,0,,,,,,
101,Hebrew,Male,25,,,,Non-Linguistic,72,1,,,,,,
102,Hebrew,Female,20,,,,Non-Linguistic,44,0,,,,,,
103,Hebrew,Female,24,,,,Non-Linguistic,72,0,,,,,,
104,Hebrew,Female,21,,,,Non-Linguistic,48,1,,,,,,
105,Hebrew,Female,31,,,,Non-Linguistic,60,0,,,,,,
106,Hebrew,Female,24,,,,Non-Linguistic,56,0,,,,,,
107,Hebrew,Female,22,,,,Non-Linguistic,64,1,,,,,,
110,Hebrew,Female,23,,,,Non-Linguistic,92,1,,,,,,
111,Hebrew,Female,23,,,,Non-Linguistic,64,0,,,,,,
112,Hebrew,Female,22,,,,Non-Linguistic,48,0,,,,,,
113,Hebrew,Female,22,,,,Non-Linguistic,100,1,,,,,,
114,Hebrew,Male,23,,,,Non-Linguistic,96,0,,,,,,
116,Hebrew,Male,27,,,,Non-Linguistic,48,1,,,,,,
117,Hebrew,Female,24,,,,Non-Linguistic,44,0,,,,,,
119,Hebrew,Female,22,,,,Non-Linguistic,48,1,,,,,,
120,Hebrew,Female,20,,,,Non-Linguistic,56,0,,,,,,
121,Hebrew,Female,22,,,,Non-Linguistic,80,0,,,,,,
122,Hebrew,Female,23,,,,Non-Linguistic,92,1,,,,,,
123,Hebrew,Female,23,,,,Non-Linguistic,68,0,,,,,,
125,Hebrew,Male,19,,,,Non-Linguistic,60,1,,,,,,
126,Hebrew,Female,23,,,,Non-Linguistic,100,0,,,,,,
127,Hebrew,Female,23,,,,Non-Linguistic,64,0,,,,,,
128,Hebrew,Male,27,,,,Non-Linguistic,68,1,,,,,,
129,Hebrew,Female,24,,,,Non-Linguistic,80,0,,,,,,
130,Hebrew,Female,23,,,,Non-Linguistic,92,0,,,,,,
131,Hebrew,Female,23,,,,Non-Linguistic,88,1,,,,,,
133,Hebrew,Female,21,,,,Non-Linguistic,76,0,,,,,,
134,Hebrew,Male,25,,,,Non-Linguistic,56,1,,,,,,
135,Hebrew,Female,23,,,,Non-Linguistic,80,0,,,,,,
136,Hebrew,Female,23,,,,Non-Linguistic,56,0,,,,,,
137,Hebrew,Female,23,,,,Non-Linguistic,88,1,,,,,,
138,Hebrew,Male,24,,,,Non-Linguistic,96,0,,,,,,
139,Hebrew,Female,23,,,,Non-Linguistic,68,0,,,,,,
141,Hebrew,Male,24,,,,Non-Linguistic,64,0,,,,,,
142,Hebrew,Female,21,,,,Non-Linguistic,80,0,,,,,,
145,Hebrew,Male,23,,,,Non-Linguistic,84,0,,,,,,
146,Hebrew,Female,22,,,,Non-Linguistic,48,1,,,,,,
148,Hebrew,Female,24,,,,Non-Linguistic,88,0,,,,,,
149,Hebrew,Female,25,,,,Non-Linguistic,64,1,,,,,,
150,Hebrew,Female,23,,,,Non-Linguistic,72,0,,,,,,
152,Hebrew,Female,20,,,,Non-Linguistic,68,1,,,,,,
153,Hebrew,Female,22,,,,Non-Linguistic,64,0,,,,,,
154,Hebrew,Male,25,,,,Non-Linguistic,68,0,,,,,,
155,Hebrew,Female,22,,,,Non-Linguistic,72,1,,,,,,
156,Hebrew,Female,19,,,,Non-Linguistic,84,0,,,,,,
157,Hebrew,Female,25,,,,Non-Linguistic,76,1,,,,,,
159,Hebrew,Male,24,,,,Non-Linguistic,84,0,,,,,,
160,Hebrew,Female,22,,,,Non-Linguistic,56,0,,,,,,
161,Hebrew,Male,22,,,,Non-Linguistic,92,1,,,,,,
162,Hebrew,Female,25,,,,Non-Linguistic,56,0,,,,,,
164,Hebrew,Female,21,,,,Non-Linguistic,80,1,,,,,,
165,Hebrew,Male,24,,,,Non-Linguistic,60,0,,,,,,
166,Hebrew,Female,25,,,,Non-Linguistic,52,0,,,,,,
