Q4,Q29,Q70_1,Q71_1,Q68_1,Q67_1,Q72_1,Q73_1,Q74_1,Q75_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,Q81_1,Q82_1,Q83_1,Q84_1,Q85_1,Q86_1,Q87_1,FL_5_DO
Please enter your Prolific ID:,"INFORMED CONSENT TO PARTICIPATE IN RESEARCH

 

Title of Project: Human Visual and Auditory Processing

Principal Investigator(s): Zhenghan Qi, M.D/Ph.D.

You are being invited to participate in a research study. This consent form tells you about the study including its purpose, what you will be asked to do if you decide to take part, and the risks and benefits of being in the study. Please read the information below and ask us any questions you may have before you decide whether or not you agree to participate. 

 

WHAT IS THE PURPOSE OF THIS STUDY?

 

The purpose of the study is to examine the mechanism of language acquisition. We are interested in learning about your ability to learn new information. You will be one of approximately 350 participants in this study. You are being asked to participate because you have signed up as a Mechanical Turk or Prolific worker and have selected this project. You will be excluded from this study if you are not between 18 and 35 years old. You will also be excluded if English or Hebrew is not your first language.

 

WHAT WILL YOU BE ASKED TO DO?   

 

You can participate in this study remotely using an online webpage. As part of this study you will be asked to complete a short screening survey and a cognitive task. This should take no longer than 5 minutes. After that, you will be asked to work on language tasks. In the tasks, you will either read stories, or you will first be asked to listen to a set of sounds or view a set of images while keeping track of a target stimulus. You then will be asked to either fill in the blanks in the stories or make judgments about the sounds or the images presented to you. The whole study can last up to an hour.

 

WHAT ARE THE POSSIBLE RISKS AND DISCOMFORTS?

 

Possible risks of participating in this research study include slight tiredness from looking at the computer screen for a long time. However, you can take a break between each task as needed. 

 

WHAT ARE THE POTENTIAL BENEFITS?

 

You will not benefit directly from taking part in this research. However, as a participant, you will contribute to the improved understanding of language learning and acquisition.  

 

HOW WILL CONFIDENTIALITY BE MAINTAINED? WHO MAY KNOW THAT YOU PARTICIPATED IN THIS RESEARCH?

 

Your information and agreement to participate in the study will be kept confidential by the researchers. The confidentiality of your records will be protected to the extent permitted by law. Your agreement to participate and contact information may be viewed by the University of Delaware Institutional Review Board, which is a committee formally designated to approve, monitor, and review biomedical and behavioral research involving humans. Records relating to this research will be kept for at least three years after the research study has been completed. The data will be stored on a secure. The access to the server is limited to responsible researchers only. 



WILL THERE BE ANY COSTS TO YOU FOR PARTICIPATING IN THIS RESEARCH?



There are no direct costs for you to participate in the study. 



WILL YOU RECEIVE ANY COMPENSATION FOR PARTICIPATION?

                                 

You will not receive payment unless you complete the study. You will be compensated up to $5 for participating in this study. After you have completed the study, the compensation will be deposited into your account through Amazon’s Mechanical Turk or Prolific. 



DO YOU HAVE TO TAKE PART IN THIS STUDY?



Taking part in this research study is entirely voluntary. You do not have to participate in this research. If you choose to take part, you have the right to stop at any time. Your decision to stop participation, or not to participate, will not influence current or future relationships with the University of Delaware 



WHO SHOULD YOU CALL IF YOU HAVE QUESTIONS OR CONCERNS?



If you have any questions about this study, please contact the Principal Investigator, Zhenghan Qi at zqi@udel.edu. 

If you have any questions or concerns about your rights as a research participant, you may contact the University of Delaware Institutional Review Board at hsrb-research@udel.edu or (302) 831-2137.



Checking the box below means that: 1) you are at least 18 years old; 2) you have read and understand the information given in this form; 3) you have asked any questions you have about the research and the questions have been answered to your satisfaction; 4) you are willing to be contacted again by the researchers in the future; and 5) you accept the terms in the form and volunteer to participate in the study.",Q70 - How similar is this word to English?,Q71 - How similar is this word to English?,Q68 - How similar is this word to English?,Q67 - How similar is this word to English?,Q72 - How similar is this word to English?,Q73 - How similar is this word to English?,Q74 - How similar is this word to English?,Q75 - How similar is this word to English?,Q76 - How similar is this word to English?,Q77 - How similar is this word to English?,Q78 - How similar is this word to English?,Q79 - How similar is this word to English?,Q80 - How similar is this word to English?,Q81 - How similar is this word to English?,Q82 - How similar is this word to English?,Q83 - How similar is this word to English?,Q84 - How similar is this word to English?,Q85 - How similar is this word to English?,Q86 - How similar is this word to English?,Q87 - How similar is this word to English?,FL_5 - Block Randomizer - Display Order
5c818e8ebae6c40016f58e91,1,2,3,3,3,2,3,3,1,1,3,5,2,3,3,1,3,3,3,3,5,3|8|15|9|12|4|6|17|10|1|5|16|2|13|20|11|19|18|7|14
5f26d52acb7a44460b4d25ef,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,13|14|17|9|1|3|20|4|16|6|12|5|15|19|18|8|7|11|2|10
5da984cd10839e0014aa146a,1,6,3,3,2,3,6,3,5,6,2,4,6,5,3,7,4,3,4,6,4,10|8|1|20|6|16|7|19|5|9|15|11|14|3|13|12|18|2|4|17
5aa27b81dbdb470001ef34af,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10|20|8|15|12|17|2|11|9|7|18|1|16|3|19|13|4|14|5|6
5f3fac9aecaa2b027a89663b,1,3,2,5,6,5,6,2,6,2,2,2,4,5,5,7,2,1,5,2,5,11|18|9|3|14|19|8|16|20|4|10|6|17|1|2|7|15|13|12|5
5faaf094c43a6654c24f7023,1,2,3,2,3,1,3,2,5,2,3,1,1,3,1,3,3,5,4,1,2,9|5|7|12|11|14|20|4|19|15|18|16|13|3|17|10|2|8|1|6
5ca1241ffd16b8000173e4ee,1,4,5,5,6,5,6,4,4,5,7,6,4,4,2,3,4,3,3,3,3,17|7|19|12|6|14|15|1|3|10|18|16|4|20|2|13|11|5|9|8
592adb3ba0c89900019f215e,1,2,1,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,5|3|20|18|7|11|2|9|19|17|14|12|1|10|16|4|6|15|13|8
5dcd4f4b5d7d3901be04c8c1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9|16|19|1|18|20|12|8|6|13|7|4|2|11|17|3|5|14|15|10
5f4ad407dc1bde6964737d06,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4|13|19|3|18|6|1|20|17|11|8|7|14|9|2|5|15|12|10|16
