,X.1,X,subject,gender,age,language,task_order,task,trial,trial_order,trial_accuracy,fam_ratings,trial_number
1,1,1,1,female,21,english,1,1,1,foil,1,1,1
2,2,2,1,female,21,english,1,1,2,foil,0,1,13
3,3,3,1,female,21,english,1,1,3,word,1,1,18
4,4,4,1,female,21,english,1,1,4,word,1,5,19
5,5,5,1,female,21,english,1,1,5,foil,0,0,2
6,6,6,1,female,21,english,1,1,6,word,1,2,15
7,7,7,1,female,21,english,1,1,7,foil,0,2,11
8,8,8,1,female,21,english,1,1,8,foil,1,3,7
9,9,9,1,female,21,english,1,1,9,word,1,1,24
10,10,10,1,female,21,english,1,1,10,foil,1,1,23
11,11,11,1,female,21,english,1,1,11,word,1,0,3
12,12,12,1,female,21,english,1,1,12,word,1,1,20
13,13,13,1,female,21,english,1,1,13,word,1,0,17
14,14,14,1,female,21,english,1,1,14,foil,0,2,21
15,15,15,1,female,21,english,1,1,15,foil,0,2,6
16,16,16,1,female,21,english,1,1,16,word,1,5,5
17,17,17,1,female,21,english,1,1,17,foil,0,1,8
18,18,18,1,female,21,english,1,1,18,foil,1,0,12
19,19,19,1,female,21,english,1,1,19,word,1,1,10
20,20,20,1,female,21,english,1,1,20,word,0,1,14
21,21,21,1,female,21,english,1,1,21,foil,0,0,16
22,22,22,1,female,21,english,1,1,22,word,1,0,9
23,23,23,1,female,21,english,1,1,23,word,0,1,25
24,24,24,1,female,21,english,1,1,24,foil,0,0,22
25,25,25,1,female,21,english,1,1,25,word,0,1,4
26,26,26,1,female,21,english,1,0,1,word,0,NA,NA
27,27,27,1,female,21,english,1,0,2,word,1,NA,NA
28,28,28,1,female,21,english,1,0,3,foil,1,NA,NA
29,29,29,1,female,21,english,1,0,4,foil,0,NA,NA
30,30,30,1,female,21,english,1,0,5,word,1,NA,NA
31,31,31,1,female,21,english,1,0,6,word,0,NA,NA
32,32,32,1,female,21,english,1,0,7,foil,0,NA,NA
33,33,33,1,female,21,english,1,0,8,foil,1,NA,NA
34,34,34,1,female,21,english,1,0,9,word,1,NA,NA
35,35,35,1,female,21,english,1,0,10,word,0,NA,NA
36,36,36,1,female,21,english,1,0,11,word,1,NA,NA
37,37,37,1,female,21,english,1,0,12,word,1,NA,NA
38,38,38,1,female,21,english,1,0,13,word,1,NA,NA
39,39,39,1,female,21,english,1,0,14,foil,0,NA,NA
40,40,40,1,female,21,english,1,0,15,foil,1,NA,NA
41,41,41,1,female,21,english,1,0,16,foil,1,NA,NA
