Q4,Q28,Q27,Q70_1,Q71_1,Q68_1,Q67_1,Q72_1,Q73_1,Q74_1,Q75_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,Q81_1,Q82_1,Q83_1,Q84_1,Q85_1,Q86_1,Q87_1,FL_5_DO
Please enter your Prolific ID:,"INFORMED CONSENT TO PARTICIPATE IN RESEARCH
 

Title of Project: Human Visual and Auditory Processing

Principal Investigator(s): Zhenghan Qi, M.D/Ph.D.

You are being invited to participate in a research study. This consent form tells you about the study including its purpose, what you will be asked to do if you decide to take part, and the risks and benefits of being in the study. Please read the information below and ask us any questions you may have before you decide whether or not you agree to participate. 

 

WHAT IS THE PURPOSE OF THIS STUDY?

 

The purpose of the study is to examine the mechanism of language acquisition. We are interested in learning about your ability to learn new information. You will be one of approximately 350 participants in this study. You are being asked to participate because you have signed up as a Mechanical Turk or Prolific worker and have selected this project. You will be excluded from this study if you are not between 18 and 35 years old. You will also be excluded if English or Hebrew is not your first language.

 

WHAT WILL YOU BE ASKED TO DO?   

 

You can participate in this study remotely using an online webpage. As part of this study you will be asked to complete a short screening survey and a cognitive task. This should take no longer than 5 minutes. After that, you will be asked to work on language tasks. In the tasks, you will either read stories, or you will first be asked to listen to a set of sounds or view a set of images while keeping track of a target stimulus. You then will be asked to either fill in the blanks in the stories or make judgments about the sounds or the images presented to you. The whole study can last up to an hour.

 

WHAT ARE THE POSSIBLE RISKS AND DISCOMFORTS?

 

Possible risks of participating in this research study include slight tiredness from looking at the computer screen for a long time. However, you can take a break between each task as needed. 

 

WHAT ARE THE POTENTIAL BENEFITS?

 

You will not benefit directly from taking part in this research. However, as a participant, you will contribute to the improved understanding of language learning and acquisition. 

 

HOW WILL CONFIDENTIALITY BE MAINTAINED? WHO MAY KNOW THAT YOU PARTICIPATED IN THIS RESEARCH?

 

Your information and agreement to participate in the study will be kept confidential by the researchers. The confidentiality of your records will be protected to the extent permitted by law. Your agreement to participate and contact information may be viewed by the University of Delaware Institutional Review Board, which is a committee formally designated to approve, monitor, and review biomedical and behavioral research involving humans. Records relating to this research will be kept for at least three years after the research study has been completed. The data will be stored on a secure. The access to the server is limited to responsible researchers only. 



WILL THERE BE ANY COSTS TO YOU FOR PARTICIPATING IN THIS RESEARCH?



There are no direct costs for you to participate in the study. 



WILL YOU RECEIVE ANY COMPENSATION FOR PARTICIPATION?

                                 

You will not receive payment unless you complete the study. You will be compensated up to $5 for participating in this study. After you have completed the study, the compensation will be deposited into your account through Amazon’s Mechanical Turk or Prolific. 



DO YOU HAVE TO TAKE PART IN THIS STUDY?



Taking part in this research study is entirely voluntary. You do not have to participate in this research. If you choose to take part, you have the right to stop at any time. Your decision to stop participation, or not to participate, will not influence current or future relationships with the University of Delaware 



WHO SHOULD YOU CALL IF YOU HAVE QUESTIONS OR CONCERNS?



If you have any questions about this study, please contact the Principal Investigator, Zhenghan Qi at zqi@udel.edu. 

If you have any questions or concerns about your rights as a research participant, you may contact the University of Delaware Institutional Review Board at hsrb-research@udel.edu or (302) 831-2137.



Checking the box below means that: 1) you are at least 18 years old; 2) you have read and understand the information given in this form; 3) you have asked any questions you have about the research and the questions have been answered to your satisfaction; 4) you are willing to be contacted again by the researchers in the future; and 5) you accept the terms in the form and volunteer to participate in the study.",How many years have you been exposed to English?,Q70 - How similar is this word to Hebrew?,Q71 - How similar is this word to Hebrew?,Q68 - How similar is this word to Hebrew?,Q67 - How similar is this word to Hebrew?,Q72 - How similar is this word to Hebrew?,Q73 - How similar is this word to Hebrew?,Q74 - How similar is this word to Hebrew?,Q75 - How similar is this word to Hebrew?,Q76 - How similar is this word to Hebrew?,Q77 - How similar is this word to Hebrew?,Q78 - How similar is this word to Hebrew?,Q79 - How similar is this word to Hebrew?,Q80 - How similar is this word to Hebrew?,Q81 - How similar is this word to Hebrew?,Q82 - How similar is this word to Hebrew?,Q83 - How similar is this word to Hebrew?,Q84 - How similar is this word to Hebrew?,Q85 - How similar is this word to Hebrew?,Q86 - How similar is this word to Hebrew?,Q87 - How similar is this word to Hebrew?,FL_5 - Block Randomizer - Display Order
5e7203b601f4ef124350d249,1,17,2,3,2,2,2,1,2,1,2,3,2,3,5,6,5,3,3,3,5,1,6|8|13|18|4|5|1|11|14|19|15|10|17|2|9|20|16|12|7|3
5f76815c98f49612c8d1dc39,1,11,2,3,3,3,3,5,2,3,2,3,3,4,4,4,3,5,4,2,5,2,20|18|9|19|4|3|7|11|8|12|10|1|13|14|16|2|17|6|15|5
5e3d83525c97c402748149fe,1,25,1,1,2,1,1,5,1,1,1,1,2,2,3,2,4,5,4,5,3,3,11|9|12|19|7|10|14|3|13|5|15|20|18|4|6|2|8|16|17|1
5d0d0446da74930017b3a8b9,1,17,1,3,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,9|4|15|5|18|2|10|1|16|7|12|14|19|13|6|3|17|11|8|20
5ed0cb9ca76207000b1d18ce,1,18,3,2,2,4,2,1,1,2,2,4,2,2,2,3,3,3,3,2,2,5,6|7|10|20|1|17|3|16|19|15|8|14|5|18|2|11|9|13|4|12
5e29c7b8884487028f82e333,1,16,3,3,2,2,2,3,2,3,2,2,2,2,2,2,2,1,2,2,3,1,6|12|13|16|20|2|3|5|8|4|1|7|18|15|19|10|11|9|14|17
5e5180bee64243000be60d10,1,18,2,5,1,1,5,3,1,3,3,3,4,6,5,3,7,7,7,6,5,6,10|5|3|9|15|12|17|6|11|18|2|19|13|14|7|4|16|20|1|8
5f75ce20817166287293b825,1,15,2,2,2,2,2,3,2,3,3,2,3,2,3,2,3,2,2,2,2,2,1|14|20|2|4|8|10|3|6|9|11|17|15|5|18|16|13|19|12|7
5f75c08d59b8cb2603cbee64,1,18,2,3,2,2,3,2,2,2,2,2,2,3,3,5,4,2,1,3,4,1,13|1|10|19|16|11|15|5|3|17|20|9|7|14|8|4|2|6|18|12
