rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,correct,view_history,responses
9954,backround.jpg,49,image-keyboard-response,0,9955,0.0-0.0,,,
null,sound/asl/5words_lanaguage.mp3,null,audio-keyboard-response,1,145515,0.0-1.0,,,
4466,Instructions2-eng.png,49,image-keyboard-response,2,149981,0.0-2.0,,,
null,sound/asl/tomubi.wav,null,audio-keyboard-response,3,151185,0.0-3.0-0.0,,,
null,sound/asl/nalobi.wav,null,audio-keyboard-response,4,152011,0.0-3.0-1.0,,,
1353,sound/asl/silence.wav,50,audio-keyboard-response,5,153368,0.0-3.0-2.0,TRUE,,
null,sound/asl/dukame.wav,null,audio-keyboard-response,6,154570,0.0-4.0-0.0,,,
null,sound/asl/duloga.wav,null,audio-keyboard-response,7,155407,0.0-4.0-1.0,,,
1300,sound/asl/silence.wav,49,audio-keyboard-response,8,156712,0.0-4.0-2.0,TRUE,,
null,sound/asl/tomubi.wav,null,audio-keyboard-response,9,157914,0.0-5.0-0.0,,,
null,sound/asl/tobelu.wav,null,audio-keyboard-response,10,158779,0.0-5.0-1.0,,,
3779,sound/asl/silence.wav,49,audio-keyboard-response,11,162561,0.0-5.0-2.0,FALSE,,
null,sound/asl/nalobi.wav,null,audio-keyboard-response,12,163766,0.0-6.0-0.0,,,
null,sound/asl/gekalu.wav,null,audio-keyboard-response,13,164683,0.0-6.0-1.0,,,
650,sound/asl/silence.wav,49,audio-keyboard-response,14,165334,0.0-6.0-2.0,TRUE,,
null,sound/asl/dukame.wav,null,audio-keyboard-response,15,166541,0.0-7.0-0.0,,,
null,sound/asl/gekalu.wav,null,audio-keyboard-response,16,167458,0.0-7.0-1.0,,,
2978,sound/asl/silence.wav,50,audio-keyboard-response,17,170436,0.0-7.0-2.0,FALSE,,
null,sound/asl/dukame.wav,null,audio-keyboard-response,18,171638,0.0-8.0-0.0,,,
null,sound/asl/kibeno.wav,null,audio-keyboard-response,19,172497,0.0-8.0-1.0,,,
1086,sound/asl/silence.wav,49,audio-keyboard-response,20,173583,0.0-8.0-2.0,TRUE,,
null,sound/asl/nalobi.wav,null,audio-keyboard-response,21,174784,0.0-9.0-0.0,,,
null,sound/asl/duloga.wav,null,audio-keyboard-response,22,175620,0.0-9.0-1.0,,,
958,sound/asl/silence.wav,50,audio-keyboard-response,23,176583,0.0-9.0-2.0,FALSE,,
null,sound/asl/nalobi.wav,null,audio-keyboard-response,24,177786,0.0-10.0-0.0,,,
null,sound/asl/nadime.wav,null,audio-keyboard-response,25,178598,0.0-10.0-1.0,,,
1080,sound/asl/silence.wav,49,audio-keyboard-response,26,179683,0.0-10.0-2.0,TRUE,,
null,sound/asl/tomubi.wav,null,audio-keyboard-response,27,180885,0.0-11.0-0.0,,,
null,sound/asl/gedino.wav,null,audio-keyboard-response,28,181750,0.0-11.0-1.0,,,
778,sound/asl/silence.wav,49,audio-keyboard-response,29,182530,0.0-11.0-2.0,FALSE,,
null,sound/asl/nadime.wav,null,audio-keyboard-response,30,183735,0.0-12.0-0.0,,,
null,sound/asl/tobelu.wav,null,audio-keyboard-response,31,184601,0.0-12.0-1.0,,,
557,sound/asl/silence.wav,50,audio-keyboard-response,32,185162,0.0-12.0-2.0,TRUE,,
null,sound/asl/nadime.wav,null,audio-keyboard-response,33,186366,0.0-13.0-0.0,,,
null,sound/asl/kimuga.wav,null,audio-keyboard-response,34,187208,0.0-13.0-1.0,,,
3106,sound/asl/silence.wav,50,audio-keyboard-response,35,190315,0.0-13.0-2.0,TRUE,,
null,sound/asl/tomubi.wav,null,audio-keyboard-response,36,191521,0.0-14.0-0.0,,,
null,sound/asl/kimuga.wav,null,audio-keyboard-response,37,192362,0.0-14.0-1.0,,,
2781,sound/asl/silence.wav,50,audio-keyboard-response,38,195145,0.0-14.0-2.0,TRUE,,
null,sound/asl/duloga.wav,null,audio-keyboard-response,39,196350,0.0-15.0-0.0,,,
null,sound/asl/kimuga.wav,null,audio-keyboard-response,40,197192,0.0-15.0-1.0,,,
3518,sound/asl/silence.wav,49,audio-keyboard-response,41,200713,0.0-15.0-2.0,FALSE,,
null,sound/asl/kimuga.wav,null,audio-keyboard-response,42,201915,0.0-16.0-0.0,,,
null,sound/asl/kibeno.wav,null,audio-keyboard-response,43,202771,0.0-16.0-1.0,,,
3326,sound/asl/silence.wav,50,audio-keyboard-response,44,206100,0.0-16.0-2.0,FALSE,,
null,sound/asl/nadime.wav,null,audio-keyboard-response,45,207305,0.0-17.0-0.0,,,
