"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","view_history","responses"
"8696","backround.jpg","49","image-keyboard-response","0","8698","0.0-0.0","","",""
"null","sound/asl/5words_lanaguage.mp3","null","audio-keyboard-response","1","144258","0.0-1.0","","",""
"27821","Instructions2-eng.png","49","image-keyboard-response","2","172079","0.0-2.0","","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","3","173280","0.0-3.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","4","174150","0.0-3.0-1.0","","",""
"1131","sound/asl/silence.wav","49","audio-keyboard-response","5","175286","0.0-3.0-2.0","false","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","6","176501","0.0-4.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","7","177341","0.0-4.0-1.0","","",""
"819","sound/asl/silence.wav","50","audio-keyboard-response","8","178165","0.0-4.0-2.0","true","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","9","179380","0.0-5.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","10","180241","0.0-5.0-1.0","","",""
"581","sound/asl/silence.wav","50","audio-keyboard-response","11","180824","0.0-5.0-2.0","false","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","12","182030","0.0-6.0-0.0","","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","13","182880","0.0-6.0-1.0","","",""
"691","sound/asl/silence.wav","50","audio-keyboard-response","14","183570","0.0-6.0-2.0","true","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","15","184780","0.0-7.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","16","185641","0.0-7.0-1.0","","",""
"709","sound/asl/silence.wav","50","audio-keyboard-response","17","186352","0.0-7.0-2.0","false","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","18","187560","0.0-8.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","19","188481","0.0-8.0-1.0","","",""
"461","sound/asl/silence.wav","50","audio-keyboard-response","20","188942","0.0-8.0-2.0","false","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","21","190150","0.0-9.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","22","190991","0.0-9.0-1.0","","",""
"512","sound/asl/silence.wav","49","audio-keyboard-response","23","191508","0.0-9.0-2.0","false","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","24","192710","0.0-10.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","25","193631","0.0-10.0-1.0","","",""
"512","sound/asl/silence.wav","49","audio-keyboard-response","26","194141","0.0-10.0-2.0","true","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","27","195349","0.0-11.0-0.0","","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","28","196181","0.0-11.0-1.0","","",""
"499","sound/asl/silence.wav","49","audio-keyboard-response","29","196685","0.0-11.0-2.0","true","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","30","197890","0.0-12.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","31","198761","0.0-12.0-1.0","","",""
"581","sound/asl/silence.wav","50","audio-keyboard-response","32","199343","0.0-12.0-2.0","true","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","33","200561","0.0-13.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","34","201481","0.0-13.0-1.0","","",""
"520","sound/asl/silence.wav","50","audio-keyboard-response","35","202001","0.0-13.0-2.0","false","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","36","203220","0.0-14.0-0.0","","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","37","204061","0.0-14.0-1.0","","",""
"1859","sound/asl/silence.wav","50","audio-keyboard-response","38","205921","0.0-14.0-2.0","false","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","39","207134","0.0-15.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","40","208004","0.0-15.0-1.0","","",""
"2651","sound/asl/silence.wav","49","audio-keyboard-response","41","210661","0.0-15.0-2.0","false","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","42","211864","0.0-16.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","43","212735","0.0-16.0-1.0","","",""
"659","sound/asl/silence.wav","49","audio-keyboard-response","44","213403","0.0-16.0-2.0","false","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","45","214623","0.0-17.0-0.0","","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","46","215454","0.0-17.0-1.0","","",""
"440","sound/asl/silence.wav","50","audio-keyboard-response","47","215894","0.0-17.0-2.0","true","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","48","217114","0.0-18.0-0.0","","",""
